,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.8555
1,RandomForestClassifier-50-None-2-2,0.8681
2,RandomForestClassifier-50-None-2-4,0.8664
3,RandomForestClassifier-50-None-5-1,0.8726
4,RandomForestClassifier-50-None-5-2,0.8620
5,RandomForestClassifier-50-None-5-4,0.8632
6,RandomForestClassifier-50-None-10-1,0.8612
7,RandomForestClassifier-50-None-10-2,0.8665
8,RandomForestClassifier-50-None-10-4,0.8721
9,RandomForestClassifier-50-10-2-1,0.8641
10,RandomForestClassifier-50-10-2-2,0.8630
11,RandomForestClassifier-50-10-2-4,0.8636
12,RandomForestClassifier-50-10-5-1,0.8631
13,RandomForestClassifier-50-10-5-2,0.8621
14,RandomForestClassifier-50-10-5-4,0.8651
15,RandomForestClassifier-50-10-10-1,0.8651
16,RandomForestClassifier-50-10-10-2,0.8619
17,RandomForestClassifier-50-10-10-4,0.8632
18,RandomForestClassifier-50-20-2-1,0.8616
19,RandomForestClassifier-50-20-2-2,0.8694
20,RandomForestClassifier-50-20-2-4,0.8679
21,RandomForestClassifier-50-20-5-1,0.8647
22,RandomForestClassifier-50-20-5-2,0.8623
23,RandomForestClassifier-50-20-5-4,0.8675
24,RandomForestClassifier-50-20-10-1,0.8630
25,RandomForestClassifier-50-20-10-2,0.8708
26,RandomForestClassifier-50-20-10-4,0.8650
27,RandomForestClassifier-100-None-2-1,0.8620
28,RandomForestClassifier-100-None-2-2,0.8718
29,RandomForestClassifier-100-None-2-4,0.8737
30,RandomForestClassifier-100-None-5-1,0.8679
31,RandomForestClassifier-100-None-5-2,0.8688
32,RandomForestClassifier-100-None-5-4,0.8667
33,RandomForestClassifier-100-None-10-1,0.8711
34,RandomForestClassifier-100-None-10-2,0.8744
35,RandomForestClassifier-100-None-10-4,0.8672
36,RandomForestClassifier-100-10-2-1,0.8664
37,RandomForestClassifier-100-10-2-2,0.8676
38,RandomForestClassifier-100-10-2-4,0.8728
39,RandomForestClassifier-100-10-5-1,0.8654
40,RandomForestClassifier-100-10-5-2,0.8695
41,RandomForestClassifier-100-10-5-4,0.8659
42,RandomForestClassifier-100-10-10-1,0.8703
43,RandomForestClassifier-100-10-10-2,0.8680
44,RandomForestClassifier-100-10-10-4,0.8730
45,RandomForestClassifier-100-20-2-1,0.8706
46,RandomForestClassifier-100-20-2-2,0.8679
47,RandomForestClassifier-100-20-2-4,0.8738
48,RandomForestClassifier-100-20-5-1,0.8664
49,RandomForestClassifier-100-20-5-2,0.8715
