,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.8819
1,RandomForestClassifier-50-None-2-2,0.8869
2,RandomForestClassifier-50-None-2-4,0.8823
3,RandomForestClassifier-50-None-5-1,0.8870
4,RandomForestClassifier-50-None-5-2,0.8896
5,RandomForestClassifier-50-None-5-4,0.8771
6,RandomForestClassifier-50-None-10-1,0.8838
7,RandomForestClassifier-50-None-10-2,0.8874
8,RandomForestClassifier-50-None-10-4,0.8827
9,RandomForestClassifier-50-10-2-1,0.8781
10,RandomForestClassifier-50-10-2-2,0.8788
11,RandomForestClassifier-50-10-2-4,0.8742
12,RandomForestClassifier-50-10-5-1,0.8764
13,RandomForestClassifier-50-10-5-2,0.8752
14,RandomForestClassifier-50-10-5-4,0.8703
15,RandomForestClassifier-50-10-10-1,0.8797
16,RandomForestClassifier-50-10-10-2,0.8745
17,RandomForestClassifier-50-10-10-4,0.8716
18,RandomForestClassifier-50-20-2-1,0.8818
19,RandomForestClassifier-50-20-2-2,0.8842
20,RandomForestClassifier-50-20-2-4,0.8777
21,RandomForestClassifier-50-20-5-1,0.8817
22,RandomForestClassifier-50-20-5-2,0.8890
23,RandomForestClassifier-50-20-5-4,0.8808
24,RandomForestClassifier-50-20-10-1,0.8882
25,RandomForestClassifier-50-20-10-2,0.8836
26,RandomForestClassifier-50-20-10-4,0.8799
27,RandomForestClassifier-100-None-2-1,0.8789
28,RandomForestClassifier-100-None-2-2,0.8865
29,RandomForestClassifier-100-None-2-4,0.8799
30,RandomForestClassifier-100-None-5-1,0.8875
31,RandomForestClassifier-100-None-5-2,0.8856
32,RandomForestClassifier-100-None-5-4,0.8791
33,RandomForestClassifier-100-None-10-1,0.8869
34,RandomForestClassifier-100-None-10-2,0.8864
35,RandomForestClassifier-100-None-10-4,0.8791
36,RandomForestClassifier-100-10-2-1,0.8768
37,RandomForestClassifier-100-10-2-2,0.8788
38,RandomForestClassifier-100-10-2-4,0.8719
39,RandomForestClassifier-100-10-5-1,0.8804
40,RandomForestClassifier-100-10-5-2,0.8787
41,RandomForestClassifier-100-10-5-4,0.8745
42,RandomForestClassifier-100-10-10-1,0.8785
43,RandomForestClassifier-100-10-10-2,0.8736
44,RandomForestClassifier-100-10-10-4,0.8713
45,RandomForestClassifier-100-20-2-1,0.8874
46,RandomForestClassifier-100-20-2-2,0.8853
47,RandomForestClassifier-100-20-2-4,0.8812
48,RandomForestClassifier-100-20-5-1,0.8859
49,RandomForestClassifier-100-20-5-2,0.8865
50,RandomForestClassifier-100-20-5-4,0.8777
51,RandomForestClassifier-100-20-10-1,0.8879
52,RandomForestClassifier-100-20-10-2,0.8852
53,RandomForestClassifier-100-20-10-4,0.8784
54,LogisticRegression-0.001-l1-liblinear,0.5000
55,LogisticRegression-0.001-l1-saga,0.5000
56,LogisticRegression-0.001-l2-liblinear,0.8848
57,LogisticRegression-0.001-l2-saga,0.8866
58,LogisticRegression-0.01-l1-liblinear,0.5951
59,LogisticRegression-0.01-l1-saga,0.6026
60,LogisticRegression-0.01-l2-liblinear,0.8799
61,LogisticRegression-0.01-l2-saga,0.8819
62,LogisticRegression-0.1-l1-liblinear,0.8818
63,LogisticRegression-0.1-l1-saga,0.8861
64,LogisticRegression-0.1-l2-liblinear,0.8622
65,LogisticRegression-0.1-l2-saga,0.8717
66,LogisticRegression-1-l1-liblinear,0.8533
67,LogisticRegression-1-l1-saga,0.8743
68,LogisticRegression-1-l2-liblinear,0.8472
69,LogisticRegression-1-l2-saga,0.8706
70,LogisticRegression-10-l1-liblinear,0.8347
71,LogisticRegression-10-l1-saga,0.8713
