,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.8294
1,RandomForestClassifier-50-None-2-2,0.8396
2,RandomForestClassifier-50-None-2-4,0.8374
3,RandomForestClassifier-50-None-5-1,0.8318
4,RandomForestClassifier-50-None-5-2,0.8380
5,RandomForestClassifier-50-None-5-4,0.8295
6,RandomForestClassifier-50-None-10-1,0.8403
7,RandomForestClassifier-50-None-10-2,0.8448
8,RandomForestClassifier-50-None-10-4,0.8333
9,RandomForestClassifier-50-10-2-1,0.8415
10,RandomForestClassifier-50-10-2-2,0.8494
11,RandomForestClassifier-50-10-2-4,0.8415
12,RandomForestClassifier-50-10-5-1,0.8451
13,RandomForestClassifier-50-10-5-2,0.8418
14,RandomForestClassifier-50-10-5-4,0.8371
15,RandomForestClassifier-50-10-10-1,0.8447
16,RandomForestClassifier-50-10-10-2,0.8420
17,RandomForestClassifier-50-10-10-4,0.8504
18,RandomForestClassifier-50-20-2-1,0.8385
19,RandomForestClassifier-50-20-2-2,0.8339
20,RandomForestClassifier-50-20-2-4,0.8432
21,RandomForestClassifier-50-20-5-1,0.8282
22,RandomForestClassifier-50-20-5-2,0.8404
23,RandomForestClassifier-50-20-5-4,0.8393
24,RandomForestClassifier-50-20-10-1,0.8458
25,RandomForestClassifier-50-20-10-2,0.8543
26,RandomForestClassifier-50-20-10-4,0.8386
27,RandomForestClassifier-100-None-2-1,0.8512
28,RandomForestClassifier-100-None-2-2,0.8475
29,RandomForestClassifier-100-None-2-4,0.8564
30,RandomForestClassifier-100-None-5-1,0.8467
31,RandomForestClassifier-100-None-5-2,0.8487
32,RandomForestClassifier-100-None-5-4,0.8534
33,RandomForestClassifier-100-None-10-1,0.8442
34,RandomForestClassifier-100-None-10-2,0.8480
35,RandomForestClassifier-100-None-10-4,0.8598
36,RandomForestClassifier-100-10-2-1,0.8456
37,RandomForestClassifier-100-10-2-2,0.8501
38,RandomForestClassifier-100-10-2-4,0.8610
39,RandomForestClassifier-100-10-5-1,0.8540
40,RandomForestClassifier-100-10-5-2,0.8496
41,RandomForestClassifier-100-10-5-4,0.8543
42,RandomForestClassifier-100-10-10-1,0.8477
43,RandomForestClassifier-100-10-10-2,0.8589
44,RandomForestClassifier-100-10-10-4,0.8498
45,RandomForestClassifier-100-20-2-1,0.8487
46,RandomForestClassifier-100-20-2-2,0.8584
47,RandomForestClassifier-100-20-2-4,0.8554
48,RandomForestClassifier-100-20-5-1,0.8509
49,RandomForestClassifier-100-20-5-2,0.8557
50,RandomForestClassifier-100-20-5-4,0.8563
51,RandomForestClassifier-100-20-10-1,0.8484
52,RandomForestClassifier-100-20-10-2,0.8600
53,RandomForestClassifier-100-20-10-4,0.8532
54,LogisticRegression-0.001-l1-liblinear,0.5000
55,LogisticRegression-0.001-l1-saga,0.5000
56,LogisticRegression-0.001-l2-liblinear,0.8843
57,LogisticRegression-0.001-l2-saga,0.8863
58,LogisticRegression-0.01-l1-liblinear,0.8203
59,LogisticRegression-0.01-l1-saga,0.8201
60,LogisticRegression-0.01-l2-liblinear,0.8745
61,LogisticRegression-0.01-l2-saga,0.8772
62,LogisticRegression-0.1-l1-liblinear,0.8781
63,LogisticRegression-0.1-l1-saga,0.8821
64,LogisticRegression-0.1-l2-liblinear,0.8438
65,LogisticRegression-0.1-l2-saga,0.8631
66,LogisticRegression-1-l1-liblinear,0.8278
67,LogisticRegression-1-l1-saga,0.8664
68,LogisticRegression-1-l2-liblinear,0.8145
69,LogisticRegression-1-l2-saga,0.8612
70,LogisticRegression-10-l1-liblinear,0.7962
71,LogisticRegression-10-l1-saga,0.8615
72,LogisticRegression-10-l2-liblinear,0.7972
73,LogisticRegression-10-l2-saga,0.8606
74,LogisticRegression-100-l1-liblinear,0.7789
75,LogisticRegression-100-l1-saga,0.8607
76,LogisticRegression-100-l2-liblinear,0.7883
77,LogisticRegression-100-l2-saga,0.8607
78,"MLPClassifier-(50,)-relu-0.0001-200",0.8147
79,"MLPClassifier-(50,)-relu-0.0001-500",0.8187
80,"MLPClassifier-(50,)-relu-0.0001-1000",0.8275
81,"MLPClassifier-(50,)-relu-0.001-200",0.8118
82,"MLPClassifier-(50,)-relu-0.001-500",0.8212
83,"MLPClassifier-(50,)-relu-0.001-1000",0.8209
84,"MLPClassifier-(50,)-relu-0.01-200",0.8240
85,"MLPClassifier-(50,)-relu-0.01-500",0.8252
86,"MLPClassifier-(50,)-relu-0.01-1000",0.8267
87,"MLPClassifier-(50,)-tanh-0.0001-200",0.8194
88,"MLPClassifier-(50,)-tanh-0.0001-500",0.8282
89,"MLPClassifier-(50,)-tanh-0.0001-1000",0.8186
90,"MLPClassifier-(50,)-tanh-0.001-200",0.8190
91,"MLPClassifier-(50,)-tanh-0.001-500",0.8168
92,"MLPClassifier-(50,)-tanh-0.001-1000",0.8212
93,"MLPClassifier-(50,)-tanh-0.01-200",0.8293
94,"MLPClassifier-(50,)-tanh-0.01-500",0.8262
95,"MLPClassifier-(50,)-tanh-0.01-1000",0.8254
96,"MLPClassifier-(100,)-relu-0.0001-200",0.8226
97,"MLPClassifier-(100,)-relu-0.0001-500",0.8356
98,"MLPClassifier-(100,)-relu-0.0001-1000",0.8285
99,"MLPClassifier-(100,)-relu-0.001-200",0.8257
100,"MLPClassifier-(100,)-relu-0.001-500",0.8326
101,"MLPClassifier-(100,)-relu-0.001-1000",0.8210
102,"MLPClassifier-(100,)-relu-0.01-200",0.8159
103,"MLPClassifier-(100,)-relu-0.01-500",0.8190
104,"MLPClassifier-(100,)-relu-0.01-1000",0.8265
105,"MLPClassifier-(100,)-tanh-0.0001-200",0.8236
106,"MLPClassifier-(100,)-tanh-0.0001-500",0.8225
107,"MLPClassifier-(100,)-tanh-0.0001-1000",0.8285
108,"MLPClassifier-(100,)-tanh-0.001-200",0.8184
109,"MLPClassifier-(100,)-tanh-0.001-500",0.8189
110,"MLPClassifier-(100,)-tanh-0.001-1000",0.8198
111,"MLPClassifier-(100,)-tanh-0.01-200",0.8247
112,"MLPClassifier-(100,)-tanh-0.01-500",0.8300
113,"MLPClassifier-(100,)-tanh-0.01-1000",0.8351
114,"MLPClassifier-(50, 50)-relu-0.0001-200",0.8312
115,"MLPClassifier-(50, 50)-relu-0.0001-500",0.8188
116,"MLPClassifier-(50, 50)-relu-0.0001-1000",0.8156
117,"MLPClassifier-(50, 50)-relu-0.001-200",0.8267
118,"MLPClassifier-(50, 50)-relu-0.001-500",0.8216
119,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8264
120,"MLPClassifier-(50, 50)-relu-0.01-200",0.8229
121,"MLPClassifier-(50, 50)-relu-0.01-500",0.8193
122,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8092
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8173
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8200
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8265
126,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8228
127,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8242
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.8393
129,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8314
130,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8304
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8302
132,GradientBoostingClassifier-10-0.1,0.8358
133,GradientBoostingClassifier-10-0.5,0.8340
134,GradientBoostingClassifier-10-1.0,0.7931
135,GradientBoostingClassifier-10-2.0,0.7134
136,GradientBoostingClassifier-100-0.1,0.8688
137,GradientBoostingClassifier-100-0.5,0.8605
138,GradientBoostingClassifier-100-1.0,0.8351
139,GradientBoostingClassifier-100-2.0,0.7083
