,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,Accuracy: 0.6869565217391305 | ROC-AUC: 0.7173462837579667 | Precision: 0.5856164383561644 | Recall: 0.9395604395604396 | F1: 0.7215189873417722
1,RandomForestClassifier-50-None-2-2,Accuracy: 0.6743083003952569 | ROC-AUC: 0.7040163128480235 | Precision: 0.5768348623853211 | Recall: 0.9212454212454212 | F1: 0.7094499294781381
2,RandomForestClassifier-50-None-2-4,Accuracy: 0.6814229249011857 | ROC-AUC: 0.7104953461003531 | Precision: 0.5826589595375723 | Recall: 0.9230769230769231 | F1: 0.7143869596031185
3,RandomForestClassifier-50-None-5-1,Accuracy: 0.6679841897233202 | ROC-AUC: 0.6997750742535165 | Precision: 0.570627802690583 | Recall: 0.9322344322344323 | F1: 0.7079276773296245
4,RandomForestClassifier-50-None-5-2,Accuracy: 0.6679841897233202 | ROC-AUC: 0.6991140523824807 | Precision: 0.5711060948081265 | Recall: 0.9267399267399268 | F1: 0.7067039106145253
5,RandomForestClassifier-50-None-5-4,Accuracy: 0.6743083003952569 | ROC-AUC: 0.7037959722243449 | Precision: 0.5770114942528736 | Recall: 0.9194139194139194 | F1: 0.7090395480225989
6,RandomForestClassifier-50-None-10-1,Accuracy: 0.6766798418972332 | ROC-AUC: 0.7069839062189549 | Precision: 0.5781071835803877 | Recall: 0.9285714285714286 | F1: 0.7125790583274771
7,RandomForestClassifier-50-None-10-2,Accuracy: 0.6774703557312253 | ROC-AUC: 0.7065776133926343 | Precision: 0.5796766743648961 | Recall: 0.9194139194139194 | F1: 0.7110481586402266
8,RandomForestClassifier-50-None-10-4,Accuracy: 0.6656126482213439 | ROC-AUC: 0.6968074808825852 | Precision: 0.5693348365276212 | Recall: 0.924908424908425 | F1: 0.7048150732728542
9,RandomForestClassifier-50-10-2-1,Accuracy: 0.6774703557312253 | ROC-AUC: 0.7050352290268841 | Precision: 0.5809859154929577 | Recall: 0.9065934065934066 | F1: 0.7081545064377682
10,RandomForestClassifier-50-10-2-2,Accuracy: 0.6735177865612648 | ROC-AUC: 0.7046429462980228 | Precision: 0.5751412429378531 | Recall: 0.9322344322344323 | F1: 0.7113906359189378
11,RandomForestClassifier-50-10-2-4,Accuracy: 0.6758893280632411 | ROC-AUC: 0.7069495177979184 | Precision: 0.5769230769230769 | Recall: 0.9340659340659341 | F1: 0.7132867132867132
12,RandomForestClassifier-50-10-5-1,Accuracy: 0.6640316205533597 | ROC-AUC: 0.6967387040405122 | Precision: 0.5671476137624861 | Recall: 0.9358974358974359 | F1: 0.7062888735314443
13,RandomForestClassifier-50-10-5-2,Accuracy: 0.666403162055336 | ROC-AUC: 0.6968418693036217 | Precision: 0.5704545454545454 | Recall: 0.9194139194139194 | F1: 0.7040673211781205
