,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,MAE: 0.8135857773133329 | MSE: 1.241335765504651 | R2: 0.2368126692614958
1,RandomForestRegressor-50-None-2-2,MAE: 0.8145648243582045 | MSE: 1.234008620995528 | R2: 0.2413174809452061
2,RandomForestRegressor-50-None-2-4,MAE: 0.8330944243354715 | MSE: 1.2792752768218325 | R2: 0.21348702669458597
3,RandomForestRegressor-50-None-5-1,MAE: 0.8135078846178758 | MSE: 1.2393622821253145 | R2: 0.23802598926272878
4,RandomForestRegressor-50-None-5-2,MAE: 0.8156925775572432 | MSE: 1.2479419457482324 | R2: 0.23275111459870357
5,RandomForestRegressor-50-None-5-4,MAE: 0.816447231477016 | MSE: 1.2321661112867566 | R2: 0.24245027684585874
6,RandomForestRegressor-50-None-10-1,MAE: 0.8149698115031331 | MSE: 1.2321910371932707 | R2: 0.24243495211536492
7,RandomForestRegressor-50-None-10-2,MAE: 0.8080754975970892 | MSE: 1.2232160359551794 | R2: 0.24795288483640365
8,RandomForestRegressor-50-None-10-4,MAE: 0.8148252180849644 | MSE: 1.2169396042301492 | R2: 0.25181170636390615
9,RandomForestRegressor-50-10-2-1,MAE: 0.8057437386387047 | MSE: 1.208251758672747 | R2: 0.25715309251024554
10,RandomForestRegressor-50-10-2-2,MAE: 0.8180844661524526 | MSE: 1.2309901782191373 | R2: 0.2431732538549347
11,RandomForestRegressor-50-10-2-4,MAE: 0.825078971700579 | MSE: 1.2653785774683854 | R2: 0.22203087532954502
12,RandomForestRegressor-50-10-5-1,MAE: 0.8146812068366651 | MSE: 1.240998090959725 | R2: 0.2370202754078441
13,RandomForestRegressor-50-10-5-2,MAE: 0.8173488140235402 | MSE: 1.2378243323560092 | R2: 0.23897153825266626
14,RandomForestRegressor-50-10-5-4,MAE: 0.8149655857104191 | MSE: 1.2416330230233392 | R2: 0.23662991196203365
15,RandomForestRegressor-50-10-10-1,MAE: 0.810079162114846 | MSE: 1.2038748103359105 | R2: 0.25984409007174136
16,RandomForestRegressor-50-10-10-2,MAE: 0.8055325044084134 | MSE: 1.2025340490410437 | R2: 0.2606684053474485
17,RandomForestRegressor-50-10-10-4,MAE: 0.8115058127288148 | MSE: 1.2314887344568242 | R2: 0.24286673581619234
18,RandomForestRegressor-50-20-2-1,MAE: 0.8096065004150045 | MSE: 1.2343063419285456 | R2: 0.2411344387333496
19,RandomForestRegressor-50-20-2-2,MAE: 0.8011569447475944 | MSE: 1.2185118732494324 | R2: 0.25084505750920105
20,RandomForestRegressor-50-20-2-4,MAE: 0.8193373176064965 | MSE: 1.2444581290823027 | R2: 0.23489300466256746
21,RandomForestRegressor-50-20-5-1,MAE: 0.8152216434935711 | MSE: 1.2301795578399983 | R2: 0.24367163247302415
22,RandomForestRegressor-50-20-5-2,MAE: 0.8196053555157355 | MSE: 1.2705505546993145 | R2: 0.21885108497209216
23,RandomForestRegressor-50-20-5-4,MAE: 0.8254327497865367 | MSE: 1.2728524153344323 | R2: 0.21743587490349847
24,RandomForestRegressor-50-20-10-1,MAE: 0.8101022588558651 | MSE: 1.2223974790751715 | R2: 0.2484561429053893
25,RandomForestRegressor-50-20-10-2,MAE: 0.8154414565368056 | MSE: 1.2343058547703931 | R2: 0.24113473824371612
26,RandomForestRegressor-50-20-10-4,MAE: 0.8254136476735139 | MSE: 1.2629515463360477 | R2: 0.22352304164182002
27,RandomForestRegressor-100-None-2-1,MAE: 0.809272964766768 | MSE: 1.2178339334344392 | R2: 0.25126186260914574
28,RandomForestRegressor-100-None-2-2,MAE: 0.8162714195949081 | MSE: 1.2414313535143142 | R2: 0.23675390066723423
29,RandomForestRegressor-100-None-2-4,MAE: 0.8117055116788033 | MSE: 1.2337323764891908 | R2: 0.24148731920595834
30,RandomForestRegressor-100-None-5-1,MAE: 0.8150457559701987 | MSE: 1.2330967478665023 | R2: 0.24187811090420086
31,RandomForestRegressor-100-None-5-2,MAE: 0.8082659206437207 | MSE: 1.2216113227524346 | R2: 0.24893948074368077
32,RandomForestRegressor-100-None-5-4,MAE: 0.8065474331939316 | MSE: 1.2112314990367252 | R2: 0.25532111428334425
33,RandomForestRegressor-100-None-10-1,MAE: 0.8161891405591364 | MSE: 1.236632975273005 | R2: 0.23970399812162424
34,RandomForestRegressor-100-None-10-2,MAE: 0.8098055586587787 | MSE: 1.2185269605460394 | R2: 0.2508357816678489
35,RandomForestRegressor-100-None-10-4,MAE: 0.816632150160608 | MSE: 1.2392097515760165 | R2: 0.23811976677724966
36,RandomForestRegressor-100-10-2-1,MAE: 0.8051840963307653 | MSE: 1.20996171961303 | R2: 0.25610178909827064
37,RandomForestRegressor-100-10-2-2,MAE: 0.8102374799168103 | MSE: 1.2246731984606503 | R2: 0.24705700477404957
38,RandomForestRegressor-100-10-2-4,MAE: 0.8138638366100275 | MSE: 1.2317316317918452 | R2: 0.24271739977520357
39,RandomForestRegressor-100-10-5-1,MAE: 0.8085211993954872 | MSE: 1.2148358723893846 | R2: 0.25310510459890345
40,RandomForestRegressor-100-10-5-2,MAE: 0.8120025539415099 | MSE: 1.2252542583180528 | R2: 0.2466997625726296
41,RandomForestRegressor-100-10-5-4,MAE: 0.826301163858774 | MSE: 1.2638093517444693 | R2: 0.22299565313168546
42,RandomForestRegressor-100-10-10-1,MAE: 0.8135162441578567 | MSE: 1.2306814239189743 | R2: 0.24336307950625602
43,RandomForestRegressor-100-10-10-2,MAE: 0.816737692103056 | MSE: 1.2380235565433513 | R2: 0.23884905295901626
44,RandomForestRegressor-100-10-10-4,MAE: 0.8218910896055446 | MSE: 1.2471639648073052 | R2: 0.23322942611938258
45,RandomForestRegressor-100-20-2-1,MAE: 0.8105107335606588 | MSE: 1.229546139016254 | R2: 0.24406106556177143
46,RandomForestRegressor-100-20-2-2,MAE: 0.8092455854034415 | MSE: 1.2158473983727238 | R2: 0.2524832069329779
47,RandomForestRegressor-100-20-2-4,MAE: 0.8250580313775641 | MSE: 1.2541467279119811 | R2: 0.2289363440354465
48,RandomForestRegressor-100-20-5-1,MAE: 0.8108458349374947 | MSE: 1.2378611944067863 | R2: 0.23894887504507978
49,RandomForestRegressor-100-20-5-2,MAE: 0.8084777847480523 | MSE: 1.2273281391037834 | R2: 0.24542471710538794
50,RandomForestRegressor-100-20-5-4,MAE: 0.8100187370754672 | MSE: 1.2212692521355966 | R2: 0.24914978964498158
51,RandomForestRegressor-100-20-10-1,MAE: 0.8111497183911959 | MSE: 1.2360194824617536 | R2: 0.24008118047152283
52,RandomForestRegressor-100-20-10-2,MAE: 0.8073802191376618 | MSE: 1.2221282696285898 | R2: 0.24862165593148244
53,RandomForestRegressor-100-20-10-4,MAE: 0.8119098436330047 | MSE: 1.2209376386812005 | R2: 0.24935366936401515
54,LinearRegression-0.001-l1-liblinear,MAE: 5.661737962389903 | MSE: 54.819672841122056 | R2: -32.703757637697144
55,"MLPRegressor-(50,)-relu-0.0001-200",MAE: 13048.200363298318 | MSE: 37594941816.511284 | R2: -23113797322.4407
56,"MLPRegressor-(50,)-relu-0.0001-500",MAE: 2407.6076618675806 | MSE: 67832937.51975895 | R2: -41704459.59838642
