,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,MAE: 1.1374621214624518 | MSE: 2.2050071282594828 | R2: -0.3556634322798169
1,RandomForestRegressor-50-None-2-2,MAE: 1.1292327038830052 | MSE: 2.166765788236124 | R2: -0.3321522219954458
2,RandomForestRegressor-50-None-2-4,MAE: 1.110697103280964 | MSE: 2.0775465487679856 | R2: -0.27729922000164064
3,RandomForestRegressor-50-None-5-1,MAE: 1.131288857562564 | MSE: 2.1763325735942485 | R2: -0.3380339903164018
4,RandomForestRegressor-50-None-5-2,MAE: 1.1349171889554397 | MSE: 2.1931902180715177 | R2: -0.3483982616510921
5,RandomForestRegressor-50-None-5-4,MAE: 1.126478650713126 | MSE: 2.1540672165979187 | R2: -0.3243449958910616
6,RandomForestRegressor-50-None-10-1,MAE: 1.1143741793911 | MSE: 2.095402983410436 | R2: -0.2882775588765689
7,RandomForestRegressor-50-None-10-2,MAE: 1.1293817612933374 | MSE: 2.16745724695075 | R2: -0.33257733866846473
8,RandomForestRegressor-50-None-10-4,MAE: 1.1396406216911674 | MSE: 2.215109231314783 | R2: -0.36187432000243525
9,RandomForestRegressor-50-10-2-1,MAE: 1.1586223260567599 | MSE: 2.302367866808159 | R2: -0.41552192039925484
10,RandomForestRegressor-50-10-2-2,MAE: 1.1471566725898257 | MSE: 2.2502989987654214 | R2: -0.38350938880192564
11,RandomForestRegressor-50-10-2-4,MAE: 1.1395148352721205 | MSE: 2.2145266712740854 | R2: -0.36151615547128246
12,RandomForestRegressor-50-10-5-1,MAE: 1.1329764317181847 | MSE: 2.184176543798254 | R2: -0.3428565523086873
13,RandomForestRegressor-50-10-5-2,MAE: 1.1209894104459779 | MSE: 2.1279287590194826 | R2: -0.3082747752277599
14,RandomForestRegressor-50-10-5-4,MAE: 1.122259445444973 | MSE: 2.134204301421995 | R2: -0.3121330499896755
15,RandomForestRegressor-50-10-10-1,MAE: 1.1231385945898777 | MSE: 2.138463872221069 | R2: -0.31475188250749553
16,RandomForestRegressor-50-10-10-2,MAE: 1.1255257984483038 | MSE: 2.1496696972071003 | R2: -0.32164135101188185
17,RandomForestRegressor-50-10-10-4,MAE: 1.1285385712620595 | MSE: 2.1635516182008465 | R2: -0.33017611374340805
18,RandomForestRegressor-50-20-2-1,MAE: 1.1489652811462459 | MSE: 2.2588313905390334 | R2: -0.3887552001959691
19,RandomForestRegressor-50-20-2-2,MAE: 1.1298993046494665 | MSE: 2.1698614992027405 | R2: -0.3340555002663248
20,RandomForestRegressor-50-20-2-4,MAE: 1.1203196551770949 | MSE: 2.124610523505599 | R2: -0.3062346863372467
21,RandomForestRegressor-50-20-5-1,MAE: 1.13218405382349 | MSE: 2.180487000002849 | R2: -0.3405881788684739
22,RandomForestRegressor-50-20-5-2,MAE: 1.1370351960324092 | MSE: 2.2030292415124726 | R2: -0.35444740503811367
23,RandomForestRegressor-50-20-5-4,MAE: 1.1199457213655146 | MSE: 2.1227626979974623 | R2: -0.30509862222275475
24,RandomForestRegressor-50-20-10-1,MAE: 1.139172732808787 | MSE: 2.212943736442917 | R2: -0.3605429491542622
25,RandomForestRegressor-50-20-10-2,MAE: 1.1314872541127239 | MSE: 2.1772519435228457 | R2: -0.33859922939293985
26,RandomForestRegressor-50-20-10-4,MAE: 1.1419333020786164 | MSE: 2.225777960548938 | R2: -0.3684335759369295
27,RandomForestRegressor-100-None-2-1,MAE: 1.1591203202189702 | MSE: 2.304606840795237 | R2: -0.41689846704221445
28,RandomForestRegressor-100-None-2-2,MAE: 1.1174364370028396 | MSE: 2.1104257100318566 | R2: -0.29751370186803006
29,RandomForestRegressor-100-None-2-4,MAE: 1.1242072309631228 | MSE: 2.1436095360906737 | R2: -0.3179154951114753
30,RandomForestRegressor-100-None-5-1,MAE: 1.1248715565264105 | MSE: 2.1466583761001408 | R2: -0.31978995658542475
