,Model,Accuracy,ROC-AUC,Precision,Recall,F1
0, RandomForestClassifier-50-None-2-1, 0.7960526315789473, 0.796969696969697, 0.8484848484848485, 0.7272727272727273, 0.7832167832167832
1, RandomForestClassifier-50-None-2-2, 0.7960526315789473, 0.7967965367965367, 0.8382352941176471, 0.7402597402597403, 0.7862068965517242
2, RandomForestClassifier-50-None-2-4, 0.7960526315789473, 0.796969696969697, 0.8484848484848485, 0.7272727272727273, 0.7832167832167832
3, RandomForestClassifier-50-None-5-1, 0.8157894736842105, 0.8164502164502165, 0.855072463768116, 0.7662337662337663, 0.8082191780821918
4, RandomForestClassifier-50-None-5-2, 0.8223684210526315, 0.822943722943723, 0.8571428571428571, 0.7792207792207793, 0.8163265306122449
5, RandomForestClassifier-50-None-5-4, 0.8223684210526315, 0.8234632034632033, 0.890625, 0.7402597402597403, 0.8085106382978724
6, RandomForestClassifier-50-None-10-1, 0.8092105263157895, 0.8101298701298701, 0.8636363636363636, 0.7402597402597403, 0.7972027972027972
7, RandomForestClassifier-50-None-10-2, 0.8223684210526315, 0.822943722943723, 0.8571428571428571, 0.7792207792207793, 0.8163265306122449
8, RandomForestClassifier-50-None-10-4, 0.7960526315789473, 0.7967965367965367, 0.8382352941176471, 0.7402597402597403, 0.7862068965517242
9, RandomForestClassifier-50-10-2-1, 0.8092105263157895, 0.8094372294372294, 0.8243243243243243, 0.7922077922077922, 0.8079470198675496
10, RandomForestClassifier-50-10-2-2, 0.8157894736842105, 0.8164502164502165, 0.855072463768116, 0.7662337662337663, 0.8082191780821918
11, RandomForestClassifier-50-10-2-4, 0.8092105263157895, 0.80995670995671, 0.8529411764705882, 0.7532467532467533, 0.7999999999999999
12, RandomForestClassifier-50-10-5-1, 0.8289473684210527, 0.8294372294372294, 0.8591549295774648, 0.7922077922077922, 0.8243243243243243
13, RandomForestClassifier-50-10-5-2, 0.8157894736842105, 0.8161038961038961, 0.8356164383561644, 0.7922077922077922, 0.8133333333333332
14, RandomForestClassifier-50-10-5-4, 0.8157894736842105, 0.8166233766233767, 0.8656716417910447, 0.7532467532467533, 0.8055555555555556
15, RandomForestClassifier-50-10-10-1, 0.8289473684210527, 0.8292640692640691, 0.8493150684931506, 0.8051948051948052, 0.8266666666666668
16, RandomForestClassifier-50-10-10-2, 0.7894736842105263, 0.78995670995671, 0.8169014084507042, 0.7532467532467533, 0.7837837837837838
17, RandomForestClassifier-50-10-10-4, 0.8026315789473685, 0.8034632034632034, 0.8507462686567164, 0.7402597402597403, 0.7916666666666667
18, RandomForestClassifier-50-20-2-1, 0.8026315789473685, 0.8036363636363636, 0.8615384615384616, 0.7272727272727273, 0.7887323943661972
19, RandomForestClassifier-50-20-2-2, 0.7960526315789473, 0.796969696969697, 0.8484848484848485, 0.7272727272727273, 0.7832167832167832
