,Model,MAE,RMSE,MSE,R2
0, RandomForestRegressor-50-None-2-1, 2.367922471868426, 2.72575634539712, 7.4297476544726635, -3.0762523001958213
1, RandomForestRegressor-50-None-2-2, 2.632812334501751, 2.9587821160737313, 8.754391610397747, -3.803004166260828
2, RandomForestRegressor-50-None-2-4, 1.8216659983774675, 2.256434859189662, 5.09149827376627, -1.7933965613743141
3, RandomForestRegressor-50-None-5-1, 2.737210598763657, 3.05205057030143, 9.315012683677285, -4.110582975901592
4, RandomForestRegressor-50-None-5-2, 2.497957779873181, 2.8394513363891516, 8.06248389172214, -3.4233963301754624
5, RandomForestRegressor-50-None-5-4, 1.7704539108600759, 2.2121337735547, 4.893535832101357, -1.6847865660263284
6, RandomForestRegressor-50-None-10-1, 2.2229735248210156, 2.6008271979792035, 6.764302113748355, -2.711162657561783
7, RandomForestRegressor-50-None-10-2, 2.3462369278187536, 2.7069389618448305, 7.327518543153568, -3.020165381831834
8, RandomForestRegressor-50-None-10-4, 1.8075121558986043, 2.2441407538730545, 5.036167723193921, -1.7630400412701803
9, RandomForestRegressor-50-10-2-1, 2.6134568278684243, 2.9415722688428505, 8.652847412825274, -3.7472930185642905
10, RandomForestRegressor-50-10-2-2, 2.554738500563657, 2.8895293090666914, 8.34937962795543, -3.5807986349540535
11, RandomForestRegressor-50-10-2-4, 1.805451802879216, 2.242354280572241, 5.028152719600652, -1.7586426945024916
12, RandomForestRegressor-50-10-5-1, 2.4059826479128654, 2.758884434649445, 7.611443323750988, -3.175937703290977
13, RandomForestRegressor-50-10-5-2, 2.6543826835112783, 2.977992319032694, 8.868438252217722, -3.8655746474760857
14, RandomForestRegressor-50-10-5-4, 1.9306531895762131, 2.350148370086493, 5.523197361420198, -2.030243690089705
15, RandomForestRegressor-50-10-10-1, 2.518739759326034, 2.857751003307138, 8.166740796902953, -3.4805957761484034
16, RandomForestRegressor-50-10-10-2, 2.3076837710631546, 2.6735921919622383, 7.148095208921446, -2.9217266712745236
17, RandomForestRegressor-50-10-10-4, 1.681921942232046, 2.133934402514729, 4.553676034235894, -1.4983260902174087
18, RandomForestRegressor-50-20-2-1, 2.637833427868426, 2.9632509199987234, 8.78085601487328, -3.817523581271076
19, RandomForestRegressor-50-20-2-2, 2.93915815902556, 3.234399713309984, 10.461341505459707, -4.739504133642181
20, RandomForestRegressor-50-20-2-4, 1.8544633474454617, 2.2847870836785416, 5.220252017744295, -1.8640359383029912
21, RandomForestRegressor-50-20-5-1, 2.6378006384588955, 2.9632217314854024, 8.780683029947346, -3.8174286749249884
22, RandomForestRegressor-50-20-5-2, 2.7049002045874677, 3.023107000830522, 9.139175938470514, -4.014112009397561
23, RandomForestRegressor-50-20-5-4, 1.8989368479635527, 2.3228249011705646, 5.395515521498043, -1.9601924019598038
24, RandomForestRegressor-50-20-10-1, 2.263057753988998, 2.635170055154489, 6.944121219582914, -2.809818504013852
25, RandomForestRegressor-50-20-10-2, 2.329661130073437, 2.6925845952668284, 7.250011802668229, -2.9776421301849427
26, RandomForestRegressor-50-20-10-4, 1.755806234128465, 2.1994845221592696, 4.837732163218191, -1.6541704745757078
27, RandomForestRegressor-100-None-2-1, 2.720154188868428, 3.036763018892262, 9.221929632911644, -4.059513946718042
28, RandomForestRegressor-100-None-2-2, 2.8305724773708034, 3.1360534707402987, 9.834831371342274, -4.395775989153344
29, RandomForestRegressor-100-None-2-4, 1.9343452347342482, 2.3533393815317147, 5.538206244668074, -2.0384781547993773
30, RandomForestRegressor-100-None-5-1, 2.5276264794184256, 2.8655865788962593, 8.211586441150368, -3.5051998635304615
31, RandomForestRegressor-100-None-5-2, 2.6015106840850923, 2.9309637768321313, 8.590548661102071, -3.713113468757083
32, RandomForestRegressor-100-None-5-4, 1.8733631832842346, 2.3009117645303294, 5.2941949481540735, -1.9046039433259652
33, RandomForestRegressor-100-None-10-1, 2.2615344522791316, 2.633861974466137, 6.937228900538658, -2.806037106224262
34, RandomForestRegressor-100-None-10-2, 2.3017919251529944, 2.6685083639353118, 7.120936888392715, -2.9068265465767418
35, RandomForestRegressor-100-None-10-4, 1.8013191336668617, 2.2387734015689715, 5.012106343572704, -1.7498390203757723
36, RandomForestRegressor-100-10-2-1, 2.5502076628684263, 2.8855242063524655, 8.326249945446026, -3.568108779804666
37, RandomForestRegressor-100-10-2-2, 2.73171047011843, 3.047118788995243, 9.284932914247838, -4.094080029229867
38, RandomForestRegressor-100-10-2-4, 1.8656703954357086, 2.294341288177361, 5.264001946635351, -1.888038873068644
39, RandomForestRegressor-100-10-5-1, 2.543406346396199, 2.8795150050974985, 8.291606664581646, -3.5491021109543794
40, RandomForestRegressor-100-10-5-2, 2.6764553688208013, 2.997683132517991, 8.986104162982876, -3.930130802236248
41, RandomForestRegressor-100-10-5-4, 1.8679791664107663, 2.296312188127263, 5.273049665341818, -1.8930028080370893
42, RandomForestRegressor-100-10-10-1, 2.4601838758252557, 2.806277877289375, 7.875195524563762, -3.32064255266733
43, RandomForestRegressor-100-10-10-2, 2.3983735479995127, 2.7522511690318083, 7.574886497436957, -3.15588118801206
44, RandomForestRegressor-100-10-10-4, 1.8526656231124925, 2.2832564756462417, 5.213260133580496, -1.8601999151658886
45, RandomForestRegressor-100-20-2-1, 2.565871376868425, 2.899376957955942, 8.406386744325852, -3.6120749851128062
46, RandomForestRegressor-100-20-2-2, 2.7663296157160415, 3.0781927107445446, 9.475270364480847, -4.198506653848625
47, RandomForestRegressor-100-20-2-4, 1.878137730222987, 2.304994713531287, 5.313000629407181, -1.9149214810176503
48, RandomForestRegressor-100-20-5-1, 2.60971375966485, 2.938247220551265, 8.633296729077234, -3.7365667431502967
49, RandomForestRegressor-100-20-5-2, 2.6069673204827106, 2.9358081394665403, 8.61896943175799, -3.7287062233360064
50, RandomForestRegressor-100-20-5-4, 1.9047659860684065, 2.327834616303564, 5.41881400086116, -1.9729748657138457
51, RandomForestRegressor-100-20-10-1, 2.2664582203391253, 2.6380909169768927, 6.9595236862359835, -2.8182689040870588
52, RandomForestRegressor-100-20-10-2, 2.193858534030922, 2.575986430289083, 6.635706089033493, -2.6406098116351195
53, RandomForestRegressor-100-20-10-4, 1.7389761264652288, 2.1846653451908384, 4.772762670477806, -1.618525651017518
54, LinearRegression-0.001-l1-liblinear, 1.1142635246958132, 1.3522084101306546, 1.828467584428073, -0.0031693596446160655
55," MLPRegressor-(50,)-relu-0.0001-200", 6.1718080075084565, 6.320545370027154, 39.94929377457169, -20.917756593222347
56," MLPRegressor-(50,)-relu-0.0001-500", 8344.757865322861, 75153.3202297306, 5648021541.552434, -3098727152.465178
57," MLPRegressor-(50,)-relu-0.0001-1000", 137013.1425151657, 1234754.011146912, 1524617468043.3884, -836465213900.2236
58," MLPRegressor-(50,)-relu-0.001-200", 4428.462163688205, 38808.51347729273, 1506100718.3172114, -826306194.4293054
59," MLPRegressor-(50,)-relu-0.001-500", 6.590212287993913, 6.726697617922522, 45.248460842964526, -23.82508843761611
60," MLPRegressor-(50,)-relu-0.001-1000", 6.3534701005559295, 6.518440496058062, 42.490066500649675, -22.31172461886793
