,Model,MAE,RMSE,MSE,R2
0, RandomForestRegressor-50-None-2-1, 0.5399872948664473, 0.7323400915551688, 0.536322009699033, 0.7057526140386128
1, RandomForestRegressor-50-None-2-2, 0.5260412083755067, 0.6990672861938927, 0.4886950706264938, 0.7318826293465828
2, RandomForestRegressor-50-None-2-4, 0.5464101815957392, 0.7061522664378974, 0.49865102339537926, 0.7264204013864743
3, RandomForestRegressor-50-None-5-1, 0.5304631189436096, 0.711065902823005, 0.5056147181574951, 0.7225998440658163
4, RandomForestRegressor-50-None-5-2, 0.5427930919765924, 0.7128652418809995, 0.508176853082056, 0.7211941558963985
5, RandomForestRegressor-50-None-5-4, 0.5432510726129346, 0.7033761155367755, 0.4947379599076034, 0.7285672621931474
6, RandomForestRegressor-50-None-10-1, 0.5619755665790562, 0.7321660757330614, 0.5360671624543509, 0.7058924332781947
7, RandomForestRegressor-50-None-10-2, 0.5382191262169482, 0.7061319591671724, 0.49862234375726927, 0.7264361361659382
8, RandomForestRegressor-50-None-10-4, 0.5542781485124246, 0.7195842717103884, 0.5178015240929701, 0.7159136821614326
9, RandomForestRegressor-50-10-2-1, 0.5472822756693678, 0.7124305302915539, 0.5075572604915046, 0.7215340888039312
10, RandomForestRegressor-50-10-2-2, 0.544919783472034, 0.7117977462188022, 0.5066560315221664, 0.7220285385255252
11, RandomForestRegressor-50-10-2-4, 0.5406076974045033, 0.7070843211671809, 0.4999682372404531, 0.7256977259719736
12, RandomForestRegressor-50-10-5-1, 0.5411152599335863, 0.6981369483355828, 0.48739519863132025, 0.7325957903389478
13, RandomForestRegressor-50-10-5-2, 0.531561698384035, 0.6957681655128672, 0.48409334014114064, 0.73440732000206
14, RandomForestRegressor-50-10-5-4, 0.5623690487707357, 0.7233137578992341, 0.5231827923663119, 0.7129613063611623
15, RandomForestRegressor-50-10-10-1, 0.5601670544007364, 0.7239618299541183, 0.5241207312305157, 0.7124467161448509
16, RandomForestRegressor-50-10-10-2, 0.5566933006527913, 0.7207949830874071, 0.5195454076439755, 0.7149569189351903
17, RandomForestRegressor-50-10-10-4, 0.5630246880019737, 0.7263469460549257, 0.5275798860433171, 0.7105488875215697
18, RandomForestRegressor-50-20-2-1, 0.5604840153449826, 0.7427134884950141, 0.5516233259924334, 0.6973577090381113
19, RandomForestRegressor-50-20-2-2, 0.5389765196310033, 0.6987652668334423, 0.4882728981328119, 0.7321142498104909
20, RandomForestRegressor-50-20-2-4, 0.5382404339867086, 0.7039695634760137, 0.49557314630060934, 0.7281090460310502
21, RandomForestRegressor-50-20-5-1, 0.5318331586912096, 0.7067256333655171, 0.4994611208558912, 0.7259759500012638
22, RandomForestRegressor-50-20-5-2, 0.5434014661604853, 0.7164399801887411, 0.5132862452128437, 0.7183909420600323
23, RandomForestRegressor-50-20-5-4, 0.551232355733262, 0.7165257872950067, 0.5134092038587292, 0.718323482102248
24, RandomForestRegressor-50-20-10-1, 0.5580867160242264, 0.7383025782301592, 0.5450906970213004, 0.7009417666815598
25, RandomForestRegressor-50-20-10-2, 0.5328649195087859, 0.7032559986643303, 0.49456899965736456, 0.7286599604435735
26, RandomForestRegressor-50-20-10-4, 0.5480880288740255, 0.7154974700941437, 0.51193662971112, 0.7191313943000179
27, RandomForestRegressor-100-None-2-1, 0.5496924124020831, 0.7327035749196064, 0.5368545286999712, 0.7054604531330987
28, RandomForestRegressor-100-None-2-2, 0.5283713635865691, 0.705682573286746, 0.49798789424060363, 0.7267842201685097
29, RandomForestRegressor-100-None-2-4, 0.5470150329027291, 0.7106563476887148, 0.5050324445102634, 0.722919302330653
30, RandomForestRegressor-100-None-5-1, 0.5334599816866287, 0.7078190715138342, 0.5010078379987063, 0.7251273600350412
31, RandomForestRegressor-100-None-5-2, 0.5305702771935712, 0.6959615862225143, 0.4843625294973581, 0.7342596321150012
32, RandomForestRegressor-100-None-5-4, 0.5304123624685364, 0.6950533686768804, 0.48309918530907936, 0.7349527525132842
33, RandomForestRegressor-100-None-10-1, 0.5394497947111291, 0.712711599823048, 0.5079578245223285, 0.7213143235941344
34, RandomForestRegressor-100-None-10-2, 0.5361564405448933, 0.703871055431295, 0.4954344626739651, 0.7281851333328535
35, RandomForestRegressor-100-None-10-4, 0.5437183410995895, 0.7098403568313255, 0.5038733321864236, 0.7235552370213008
36, RandomForestRegressor-100-10-2-1, 0.5506520346237767, 0.7256271691193401, 0.5265347885641475, 0.7111222691761713
37, RandomForestRegressor-100-10-2-2, 0.5481340718776287, 0.7142037470101691, 0.5100869922433656, 0.7201461782917626
38, RandomForestRegressor-100-10-2-4, 0.5384237061437437, 0.7118508481812778, 0.5067316300564045, 0.72198706219101
