,Model,Accuracy,ROC-AUC,Precision,Recall,F1
0, RandomForestClassifier-50-None-2-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
1, RandomForestClassifier-50-None-2-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
2, RandomForestClassifier-50-None-2-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
3, RandomForestClassifier-50-None-5-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
4, RandomForestClassifier-50-None-5-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
5, RandomForestClassifier-50-None-5-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
6, RandomForestClassifier-50-None-10-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
7, RandomForestClassifier-50-None-10-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
8, RandomForestClassifier-50-None-10-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
9, RandomForestClassifier-50-10-2-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
10, RandomForestClassifier-50-10-2-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
11, RandomForestClassifier-50-10-2-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
12, RandomForestClassifier-50-10-5-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
13, RandomForestClassifier-50-10-5-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
14, RandomForestClassifier-50-10-5-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
15, RandomForestClassifier-50-10-10-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
16, RandomForestClassifier-50-10-10-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
17, RandomForestClassifier-50-10-10-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
18, RandomForestClassifier-50-20-2-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
19, RandomForestClassifier-50-20-2-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
20, RandomForestClassifier-50-20-2-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
21, RandomForestClassifier-50-20-5-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
22, RandomForestClassifier-50-20-5-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
23, RandomForestClassifier-50-20-5-4, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
24, RandomForestClassifier-50-20-10-1, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
25, RandomForestClassifier-50-20-10-2, 0.4316205533596838, 0.5, 0.4316205533596838, 1.0, 0.6029817780231916
