,Model,Accuracy,ROC-AUC,Precision,Recall,F1
0, RandomForestClassifier-50-None-2-1, 0.6703557312252965, 0.7007596020113406, 0.5733788395904437, 0.9230769230769231, 0.7073684210526316
1, RandomForestClassifier-50-None-2-2, 0.6798418972332015, 0.7093248661398871, 0.5811277330264673, 0.924908424908425, 0.7137809187279153
2, RandomForestClassifier-50-None-2-4, 0.6648221343873518, 0.6952307080957985, 0.5693181818181818, 0.9175824175824175, 0.7026647966339411
3, RandomForestClassifier-50-None-5-1, 0.6687747035573123, 0.7004704845455889, 0.5712682379349046, 0.9322344322344323, 0.7084203201113431
4, RandomForestClassifier-50-None-5-2, 0.6679841897233202, 0.6991140523824807, 0.5711060948081265, 0.9267399267399268, 0.7067039106145253
5, RandomForestClassifier-50-None-5-4, 0.666403162055336, 0.6964011880562646, 0.5707762557077626, 0.9157509157509157, 0.7032348804500703
6, RandomForestClassifier-50-None-10-1, 0.6711462450592885, 0.7025567154218058, 0.5731981981981982, 0.9322344322344323, 0.7099023709902371
7, RandomForestClassifier-50-None-10-2, 0.6774703557312253, 0.7063572727689557, 0.5798611111111112, 0.9175824175824175, 0.7106382978723406
8, RandomForestClassifier-50-None-10-4, 0.6616600790513834, 0.6922287263038305, 0.5668934240362812, 0.9157509157509157, 0.700280112044818
9, RandomForestClassifier-50-10-2-1, 0.6727272727272727, 0.7032865141349147, 0.575, 0.9267399267399268, 0.7096774193548387
10, RandomForestClassifier-50-10-2-2, 0.6648221343873518, 0.695451048719477, 0.5691609977324263, 0.9194139194139194, 0.7030812324929971
11, RandomForestClassifier-50-10-2-4, 0.6711462450592885, 0.699251606066627, 0.5757575757575758, 0.9047619047619048, 0.7037037037037038
12, RandomForestClassifier-50-10-5-1, 0.6703557312252965, 0.7000985801403048, 0.5738831615120275, 0.9175824175824175, 0.7061310782241014
13, RandomForestClassifier-50-10-5-2, 0.6632411067193675, 0.6960432937484398, 0.5665188470066519, 0.9358974358974359, 0.7058011049723757
14, RandomForestClassifier-50-10-5-4, 0.6743083003952569, 0.7035756316006663, 0.5771889400921659, 0.9175824175824175, 0.7086280056577087
15, RandomForestClassifier-50-10-10-1, 0.6687747035573123, 0.7004704845455889, 0.5712682379349046, 0.9322344322344323, 0.7084203201113431
16, RandomForestClassifier-50-10-10-2, 0.6743083003952569, 0.7042366534717022, 0.5766590389016019, 0.9230769230769231, 0.7098591549295774
17, RandomForestClassifier-50-10-10-4, 0.6822134387351778, 0.7125128001344969, 0.5821917808219178, 0.9340659340659341, 0.7172995780590717
18, RandomForestClassifier-50-20-2-1, 0.6735177865612648, 0.7042022650506656, 0.5754824063564131, 0.9285714285714286, 0.7105816398037841
19, RandomForestClassifier-50-20-2-2, 0.6743083003952569, 0.7051180159664165, 0.5759637188208617, 0.9304029304029304, 0.711484593837535
20, RandomForestClassifier-50-20-2-4, 0.6719367588932806, 0.7023707632191638, 0.5745164960182025, 0.924908424908425, 0.7087719298245615
21, RandomForestClassifier-50-20-5-1, 0.6679841897233202, 0.6988937117588021, 0.5712669683257918, 0.924908424908425, 0.7062937062937062
22, RandomForestClassifier-50-20-5-2, 0.6743083003952569, 0.7035756316006663, 0.5771889400921659, 0.9175824175824175, 0.7086280056577087
23, RandomForestClassifier-50-20-5-4, 0.6743083003952569, 0.7042366534717022, 0.5766590389016019, 0.9230769230769231, 0.7098591549295774
24, RandomForestClassifier-50-20-10-1, 0.6719367588932806, 0.7014894007244494, 0.5752009184845006, 0.9175824175824175, 0.7071277346506705
25, RandomForestClassifier-50-20-10-2, 0.675098814229249, 0.7053727450111317, 0.5769669327251995, 0.9267399267399268, 0.7111735769501053
26, RandomForestClassifier-50-20-10-4, 0.6727272727272727, 0.7028458328875575, 0.5753424657534246, 0.9230769230769231, 0.7088607594936709
27, RandomForestClassifier-100-None-2-1, 0.6814229249011857, 0.711597049218746, 0.5817142857142857, 0.9322344322344323, 0.716396903589022
28, RandomForestClassifier-100-None-2-2, 0.6822134387351778, 0.7116314376397825, 0.5829493087557603, 0.9267399267399268, 0.7157001414427158
29, RandomForestClassifier-100-None-2-4, 0.6790513833992095, 0.7097311589662076, 0.5795454545454546, 0.9340659340659341, 0.7152875175315568
30, RandomForestClassifier-100-None-5-1, 0.6782608695652174, 0.7074933643083852, 0.580161476355248, 0.9212454212454212, 0.7119603680113233
31, RandomForestClassifier-100-None-5-2, 0.6743083003952569, 0.7044569940953808, 0.5764840182648402, 0.924908424908425, 0.710267229254571
32, RandomForestClassifier-100-None-5-4, 0.6735177865612648, 0.7037615838033084, 0.5758266818700114, 0.924908424908425, 0.7097680955727336
33, RandomForestClassifier-100-None-10-1, 0.675098814229249, 0.7055930856348103, 0.5767918088737202, 0.9285714285714286, 0.7115789473684211
34, RandomForestClassifier-100-None-10-2, 0.675098814229249, 0.7047117231400958, 0.5774971297359357, 0.9212454212454212, 0.7099505998588567
