,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,MAE: 0.8049711644431882 | RMSE: 1.1085323313254016 | MSE: 1.22884392959373 | R2: 0.24449279189213924
1,RandomForestRegressor-50-None-2-2,MAE: 0.8156504892000076 | RMSE: 1.1116475245450852 | MSE: 1.2357602188272157 | R2: 0.24024057869938265
2,RandomForestRegressor-50-None-2-4,MAE: 0.8206122401235848 | RMSE: 1.1184679849997885 | MSE: 1.2509706334694872 | R2: 0.23088904298048574
3,RandomForestRegressor-50-None-5-1,MAE: 0.8120855095821566 | RMSE: 1.11266173919461 | MSE: 1.2380161458675747 | R2: 0.23885360912667208
4,RandomForestRegressor-50-None-5-2,MAE: 0.8140028952645609 | RMSE: 1.1188009984222405 | MSE: 1.2517156740706021 | R2: 0.23043098355493974
5,RandomForestRegressor-50-None-5-4,MAE: 0.8159877601619592 | RMSE: 1.1116564382486136 | MSE: 1.2357800366995935 | R2: 0.24022839444630528
6,RandomForestRegressor-50-None-10-1,MAE: 0.8128810144507269 | RMSE: 1.1057710427197052 | MSE: 1.222729598917424 | R2: 0.2482519518533488
7,RandomForestRegressor-50-None-10-2,MAE: 0.8116591139359943 | RMSE: 1.1095555757856055 | MSE: 1.2311135757569265 | R2: 0.24309738764685307
8,RandomForestRegressor-50-None-10-4,MAE: 0.8198788761074131 | RMSE: 1.1128897867629484 | MSE: 1.2385236774812807 | R2: 0.23854157292478906
9,RandomForestRegressor-50-10-2-1,MAE: 0.8160818866545081 | RMSE: 1.1038892083978633 | MSE: 1.2185713844172612 | R2: 0.2508084693671475
10,RandomForestRegressor-50-10-2-2,MAE: 0.8096435342659953 | RMSE: 1.1020158466379288 | MSE: 1.214438926241111 | R2: 0.25334915160034044
11,RandomForestRegressor-50-10-2-4,MAE: 0.8247900012741389 | RMSE: 1.1161709951905945 | MSE: 1.2458376905047621 | R2: 0.23404483462763048
12,RandomForestRegressor-50-10-5-1,MAE: 0.8327135464210625 | RMSE: 1.1344972900432628 | MSE: 1.2870841011155074 | R2: 0.20868607280724438
13,RandomForestRegressor-50-10-5-2,MAE: 0.8004801694601511 | RMSE: 1.0927097211396004 | MSE: 1.1940145346729831 | R2: 0.2659062995662661
14,RandomForestRegressor-50-10-5-4,MAE: 0.8078660122441808 | RMSE: 1.0987673862089145 | MSE: 1.20728976899637 | R2: 0.25774453469189706
15,RandomForestRegressor-50-10-10-1,MAE: 0.821209062967422 | RMSE: 1.116597904195778 | MSE: 1.2467908796544043 | R2: 0.23345880310979317
16,RandomForestRegressor-50-10-10-2,MAE: 0.8000891460123686 | RMSE: 1.0961321665680466 | MSE: 1.2015057265851599 | R2: 0.2613006296755095
17,RandomForestRegressor-50-10-10-4,MAE: 0.8090519831784783 | RMSE: 1.1075889600823317 | MSE: 1.226753304496261 | R2: 0.24577813195246012
18,RandomForestRegressor-50-20-2-1,MAE: 0.7980063875094069 | RMSE: 1.085993434435525 | MSE: 1.1793817396370674 | R2: 0.2749027081891693
19,RandomForestRegressor-50-20-2-2,MAE: 0.8093417036428597 | RMSE: 1.1039556639986177 | MSE: 1.2187181080746288 | R2: 0.2507182619957543
20,RandomForestRegressor-50-20-2-4,MAE: 0.8191655578888523 | RMSE: 1.1060668047616455 | MSE: 1.2233837765956361 | R2: 0.24784975598504522
