,Model,MAE,RMSE,MSE,R2
0, RandomForestRegressor-50-None-2-1, 1.129086620357312, 1.4717637562006742, 2.166088554065918, -0.3317358507339325
1, RandomForestRegressor-50-None-2-2, 1.1282059845589631, 1.4703791956411227, 2.162014978974235, -0.3292313704900074
2, RandomForestRegressor-50-None-2-4, 1.1265904140026262, 1.4678494247762637, 2.154581933816008, -0.3246614498841509
3, RandomForestRegressor-50-None-5-1, 1.12652896790341, 1.4677530377189054, 2.1542989797330745, -0.3244874864994838
4, RandomForestRegressor-50-None-5-2, 1.1275531518566024, 1.4693553415893696, 2.159005119857213, -0.32738087491157253
5, RandomForestRegressor-50-None-5-4, 1.1227645100828334, 1.461728425022557, 2.136649988518925, -0.31363668620092144
6, RandomForestRegressor-50-None-10-1, 1.126976344249938, 1.4684525289330776, 2.156352829729951, -0.3257502168101798
7, RandomForestRegressor-50-None-10-2, 1.1422114840815, 1.4923400978925376, 2.2270789677779086, -0.36923344996130036
8, RandomForestRegressor-50-None-10-4, 1.13340395230652, 1.4785678505349653, 2.1861628886355873, -0.3440777796804084
9, RandomForestRegressor-50-10-2-1, 1.141273776656654, 1.4908719313673975, 2.222699115739154, -0.36654066717087774
10, RandomForestRegressor-50-10-2-2, 1.1332875004653495, 1.4783847538816235, 2.185621480509629, -0.34374491581394095
11, RandomForestRegressor-50-10-2-4, 1.1316298486015743, 1.4757754575070494, 2.1779132009801407, -0.33900577798985276
12, RandomForestRegressor-50-10-5-1, 1.1286256148383247, 1.4710384584433558, 2.1639541462194045, -0.3304235925421082
13, RandomForestRegressor-50-10-5-2, 1.1359507367788118, 1.4825697972712057, 2.198013203780784, -0.35136348805633366
14, RandomForestRegressor-50-10-5-4, 1.1252854476124823, 1.4657975334369844, 2.1485624090299473, -0.3209605776612998
15, RandomForestRegressor-50-10-10-1, 1.126195137177408, 1.4672285098970614, 2.1527595002547515, -0.3235409970270642
16, RandomForestRegressor-50-10-10-2, 1.1465150401167348, 1.4990920466266346, 2.2472769642592323, -0.38165140765591365
17, RandomForestRegressor-50-10-10-4, 1.1295534902562365, 1.4724993800959467, 2.168254424382947, -0.333067452410057
18, RandomForestRegressor-50-20-2-1, 1.14303557549091, 1.4936336146936222, 2.230941374942736, -0.37160810176483694
19, RandomForestRegressor-50-20-2-2, 1.1263823848410286, 1.4675230675197155, 2.1536239537024757, -0.3240724728272868
20, RandomForestRegressor-50-20-2-4, 1.1171569647822877, 1.4522564962652018, 2.10904893094448, -0.29666724244431086
21, RandomForestRegressor-50-20-5-1, 1.1332156902103807, 1.4782718798422692, 2.185287750732396, -0.3435397349555849
22, RandomForestRegressor-50-20-5-2, 1.1157450990300306, 1.4498679390279798, 2.102117040621242, -0.2924054375243397
23, RandomForestRegressor-50-20-5-4, 1.1092108445514255, 1.438846629512245, 2.070279623258748, -0.27283143164317347
24, RandomForestRegressor-50-20-10-1, 1.1182918021523969, 1.4541770523154833, 2.114630899480948, -0.3000991001140858
25, RandomForestRegressor-50-20-10-2, 1.1249989437365735, 1.4653477498296616, 2.1472440279308525, -0.32015002198420195
26, RandomForestRegressor-50-20-10-4, 1.1309939727103513, 1.4747760346273582, 2.174964352311195, -0.33719279232800026
27, RandomForestRegressor-100-None-2-1, 1.145751195978654, 1.4978927328340712, 2.243682639077122, -0.3794415757008778
28, RandomForestRegressor-100-None-2-2, 1.1315889310417282, 1.475711154743282, 2.177723412233751, -0.3388890937124911
29, RandomForestRegressor-100-None-2-4, 1.1233340729770669, 1.4626732376991984, 2.139413000281456, -0.31533541722152303
30, RandomForestRegressor-100-None-5-1, 1.1232232591269506, 1.4624892633796933, 2.1388748455008777, -0.3150045535487547
31, RandomForestRegressor-100-None-5-2, 1.119862647661953, 1.4568296566365502, 2.1223526484557684, -0.3048465191061829
32, RandomForestRegressor-100-None-5-4, 1.1208753308173183, 1.4585481769614754, 2.1273627845176435, -0.30792680767431624
33, RandomForestRegressor-100-None-10-1, 1.1319239021403589, 1.4762378116083643, 2.1792780764222526, -0.33984491891723323
34, RandomForestRegressor-100-None-10-2, 1.122864117917724, 1.4618935182109352, 2.1371326585871455, -0.31393343724220224
35, RandomForestRegressor-100-None-10-4, 1.1265322821238006, 1.4677582385941097, 2.1543142469608836, -0.32449687296458296
36, RandomForestRegressor-100-10-2-1, 1.1450899661349394, 1.4968565730866896, 2.240579600392828, -0.37753379226592476
37, RandomForestRegressor-100-10-2-2, 1.1237279794804038, 1.4633277995114846, 2.141328248823124, -0.31651293378298484
38, RandomForestRegressor-100-10-2-4, 1.123733288641579, 1.4633366281738478, 2.1413540873552064, -0.31652881960604584
39, RandomForestRegressor-100-10-5-1, 1.1241343458011366, 1.4639930273739006, 2.1432755841993987, -0.31771017769488297
40, RandomForestRegressor-100-10-5-2, 1.123155867694571, 1.4623774153249898, 2.1385477048525976, -0.3148034237617341
41, RandomForestRegressor-100-10-5-4, 1.1262339597979913, 1.4672896757170573, 2.152938992465867, -0.32365135087756647
42, RandomForestRegressor-100-10-10-1, 1.1335460585773107, 1.4787912176111957, 2.186823465284003, -0.3444839097082881
43, RandomForestRegressor-100-10-10-2, 1.1252361514156433, 1.465720112466467, 2.1483354480887127, -0.3208210394962552
44, RandomForestRegressor-100-10-10-4, 1.1293468943199263, 1.4721737206568848, 2.1672954637927355, -0.3324778725449915
45, RandomForestRegressor-100-20-2-1, 1.1546258277430816, 1.5114359260519692, 2.284438558560574, -0.40449877800401457
46, RandomForestRegressor-100-20-2-2, 1.1295758373891234, 1.4725346190979758, 2.1683582044420207, -0.33313125756936124
47, RandomForestRegressor-100-20-2-4, 1.1255003421651197, 1.4661351797937978, 2.149552365428992, -0.3215692141017612
48, RandomForestRegressor-100-20-5-1, 1.12224393436525, 1.460865817286891, 2.1341289361172957, -0.31208671454416415
49, RandomForestRegressor-100-20-5-2, 1.1233551116296763, 1.4627081745843253, 2.139515203995809, -0.3153982532261852
50, RandomForestRegressor-100-20-5-4, 1.1270062775525607, 1.4684993383832148, 2.1564903068319397, -0.3258347392942811
51, RandomForestRegressor-100-20-10-1, 1.1227373444885846, 1.4616834102174974, 2.1365183917050525, -0.3135557789847563
52, RandomForestRegressor-100-20-10-2, 1.1317142515232432, 1.4759081244962013, 2.1783047919538947, -0.33924653256915804
53, RandomForestRegressor-100-20-10-4, 1.1224555968445917, 1.4612168004593382, 2.1351545379446253, -0.3127172661988824
54, LinearRegression-0.001-l1-liblinear, 1.0615297756472275, 1.2756853157252706, 1.6273730247570832, -0.0005274232755927422
55," MLPRegressor-(50,)-relu-0.0001-200", 45737.03861495429, 693822.959532687, 481390299174.69653, -295964224731.69183
56," MLPRegressor-(50,)-relu-0.0001-500", 52.793649382467, 837.1379134870231, 700799.8861974066, -430858.73142118595
57," MLPRegressor-(50,)-relu-0.0001-1000", 3577.9292267047663, 61714.86119726289, 3808724092.5974255, -2341646839.8667383
58," MLPRegressor-(50,)-relu-0.001-200", 14280.89877568299, 216754.48746802955, 46982507837.52818, -28885379558.93473
59," MLPRegressor-(50,)-relu-0.001-500", 30117.7285033286, 465583.9253862716, 216768391578.08932, -133271669723.02922
60," MLPRegressor-(50,)-relu-0.001-1000", 32714.98434202552, 568091.8554224581, 322728356197.33105, -198417059721.54404
61," MLPRegressor-(50,)-relu-0.01-200", 808.9201460902929, 14388.18435024604, 207019848.89666507, -127278153.93586718
62," MLPRegressor-(50,)-relu-0.01-500", 3426.790903787393, 30165.54044429647, 909959830.2964859, -559453640.199896
63," MLPRegressor-(50,)-relu-0.01-1000", 38167.808208956856, 531137.2201708037, 282106746650.7688, -173442432693.42554
64," MLPRegressor-(50,)-tanh-0.0001-200", 3.7068231090439068, 4.050140355472162, 16.40363689902417, -9.08514231786467
65," MLPRegressor-(50,)-tanh-0.0001-500", 2.4073407357501226, 3.0819141948235727, 9.49819510425503, -4.83959825366263
66," MLPRegressor-(50,)-tanh-0.0001-1000", 6.412203875869223, 6.539138444039397, 42.76033159031398, -25.28953763741595
67," MLPRegressor-(50,)-tanh-0.001-200", 3.81355502597294, 4.142570449562763, 17.16088992959063, -9.550710083775861
68," MLPRegressor-(50,)-tanh-0.001-500", 1.4295917207937805, 2.644628884151973, 6.99406193489091, -3.300028733111671
69," MLPRegressor-(50,)-tanh-0.001-1000", 2.9056468502589072, 3.448424705418341, 11.89163294893957, -6.311111031054258
70," MLPRegressor-(50,)-tanh-0.01-200", 2.2488676085592907, 3.0028201402763663, 9.016928794849376, -4.543710259248522
71," MLPRegressor-(50,)-tanh-0.01-500", 2.6780345330608264, 3.2556411813338504, 10.599199501596868, -5.516508265030159
72," MLPRegressor-(50,)-tanh-0.01-1000", 5.193217414822926, 5.367091823809084, 28.80567464519832, -16.710056016675967
73," MLPRegressor-(100,)-relu-0.0001-200", 10556.466871925859, 34558.81134643953, 1194311441.6787975, -734276241.2338994
74," MLPRegressor-(100,)-relu-0.0001-500", 190709.42475117944, 3406543.0896487786, 11604535821633.848, -7134600455639.305
75," MLPRegressor-(100,)-relu-0.0001-1000", 3788.44198594222, 68270.57657019082, 4660871625.226288, -2865556823.688103
76," MLPRegressor-(100,)-relu-0.001-200", 47604.964861582346, 824484.4458008276, 679774601367.4978, -417933147450.5124
77," MLPRegressor-(100,)-relu-0.001-500", 34507.84091878904, 588686.8733501842, 346552234854.81573, -213064250969.63638
78," MLPRegressor-(100,)-relu-0.001-1000", 1995.747222658367, 34746.57932255467, 1207324774.618584, -742276986.1623188
79," MLPRegressor-(100,)-relu-0.01-200", 24771.010901185735, 347338.52990734496, 120644054358.19557, -74173335186.57564
80," MLPRegressor-(100,)-relu-0.01-500", 8188.443250595204, 111177.22716512579, 12360375840.125984, -7599299484.67578
