,Model,MAE,RMSE,MSE,R2
0, RandomForestRegressor-50-None-2-1, 0.8112397340974702, 1.1044979202687637, 1.2199156558780242, 0.24998199600157056
1, RandomForestRegressor-50-None-2-2, 0.8109796286453447, 1.1047673849326205, 1.220510974810861, 0.24961598715858435
2, RandomForestRegressor-50-None-2-4, 0.8107741443052399, 1.1049763724706347, 1.220972783718363, 0.24933206179590495
3, RandomForestRegressor-50-None-5-1, 0.8110912005579115, 1.109241686230823, 1.2304171184721997, 0.2435255774975562
4, RandomForestRegressor-50-None-5-2, 0.8215909918563349, 1.121087716723775, 1.256837668588927, 0.227281923137021
5, RandomForestRegressor-50-None-5-4, 0.8091999867592216, 1.1017567387557246, 1.21386791139365, 0.2537002180155329
6, RandomForestRegressor-50-None-10-1, 0.8061829900921352, 1.101702007579407, 1.2137473135044958, 0.2537743629678285
7, RandomForestRegressor-50-None-10-2, 0.8129994462603255, 1.1124205246308212, 1.2374794236199116, 0.23918359206193007
8, RandomForestRegressor-50-None-10-4, 0.8069870160418094, 1.1076237931825144, 1.2268304672240213, 0.24573069143083148
9, RandomForestRegressor-50-10-2-1, 0.814761896554165, 1.1050510552369621, 1.2211378346803234, 0.24923058658944197
10, RandomForestRegressor-50-10-2-2, 0.8058713739036225, 1.0974884177681083, 1.2044808271351457, 0.259471504058961
11, RandomForestRegressor-50-10-2-4, 0.8267413092896162, 1.1117148064865467, 1.23590981096142, 0.24014860775584324
12, RandomForestRegressor-50-10-5-1, 0.8168872886684733, 1.1166307897123982, 1.2468643205337337, 0.23341365082286158
13, RandomForestRegressor-50-10-5-2, 0.820349696239648, 1.1162799126727478, 1.2460808434366777, 0.23389534144276714
14, RandomForestRegressor-50-10-5-4, 0.8312654205012517, 1.1230223386819465, 1.2611791731786683, 0.22461271679389538
15, RandomForestRegressor-50-10-10-1, 0.8203831961392788, 1.1158205941221346, 1.2450555982670735, 0.23452567382026435
16, RandomForestRegressor-50-10-10-2, 0.8142561778786348, 1.1183503334063227, 1.250707468230033, 0.23105083995937203
17, RandomForestRegressor-50-10-10-4, 0.8211670808772333, 1.115266424801963, 1.2438191982905524, 0.23528582657186303
18, RandomForestRegressor-50-20-2-1, 0.8100655132362055, 1.1125721949816751, 1.2378168890463426, 0.23897611448400835
19, RandomForestRegressor-50-20-2-2, 0.8124085130127849, 1.110715842019555, 1.2336896817132095, 0.24151356843926264
20, RandomForestRegressor-50-20-2-4, 0.8253036779242287, 1.1178722813678976, 1.249638437450668, 0.23170809222717348
21, RandomForestRegressor-50-20-5-1, 0.8143850086733075, 1.1119367362477484, 1.2364033054172947, 0.2398452017580628
22, RandomForestRegressor-50-20-5-2, 0.8241587459610222, 1.1153009901436546, 1.2438962986154165, 0.23523842441624387
23, RandomForestRegressor-50-20-5-4, 0.8138849849442763, 1.1033649769302973, 1.2174142723163957, 0.251519875032049
24, RandomForestRegressor-50-20-10-1, 0.811400695551299, 1.1134456250119664, 1.2397611598582885, 0.2377807547010744
25, RandomForestRegressor-50-20-10-2, 0.8098846977837048, 1.1031826784215506, 1.2170120219693463, 0.2517671831151512
26, RandomForestRegressor-50-20-10-4, 0.8073925472216696, 1.0965497053219888, 1.2024212562417407, 0.26073775164183444
27, RandomForestRegressor-100-None-2-1, 0.8166461898157934, 1.1179177007522847, 1.2497399856552749, 0.23164565923735003
28, RandomForestRegressor-100-None-2-2, 0.8064665291509152, 1.1052096792085997, 1.2214884350163757, 0.2490150335198671
29, RandomForestRegressor-100-None-2-4, 0.8094900938333347, 1.1075061943776736, 1.2265699705849173, 0.24589084772390601
30, RandomForestRegressor-100-None-5-1, 0.8071965216579841, 1.1063985557913394, 1.2241177642571617, 0.2473984920323249
31, RandomForestRegressor-100-None-5-2, 0.8072196658187436, 1.1040656426225939, 1.218960943219641, 0.2505689641898895
32, RandomForestRegressor-100-None-5-4, 0.8174614456507111, 1.110216609193445, 1.2325809193289905, 0.2421952481490962
33, RandomForestRegressor-100-None-10-1, 0.8127893214224695, 1.1075216381097652, 1.226604178881338, 0.24586981607464575
34, RandomForestRegressor-100-None-10-2, 0.8167434539946324, 1.1123075705327343, 1.2372281314644336, 0.23933808933390455
35, RandomForestRegressor-100-None-10-4, 0.8248410761133607, 1.1129809453749895, 1.2387265847678053, 0.23841682321991997
36, RandomForestRegressor-100-10-2-1, 0.8091682440202402, 1.1062246884028588, 1.2237330612320023, 0.24763501182258418
37, RandomForestRegressor-100-10-2-2, 0.8002426246345438, 1.0962613689583696, 1.2017889890704783, 0.26112647668155264
38, RandomForestRegressor-100-10-2-4, 0.8136398291334459, 1.1105278431537282, 1.2332720904196715, 0.2417703083105458
39, RandomForestRegressor-100-10-5-1, 0.7988956048734595, 1.09583810354431, 1.2008611491795902, 0.26169692318712934
40, RandomForestRegressor-100-10-5-2, 0.8042327936289557, 1.0989856763342867, 1.2077695167879297, 0.2574495802995057
41, RandomForestRegressor-100-10-5-4, 0.8169170844811366, 1.1137486256879372, 1.2404360012217688, 0.2373658545643197
42, RandomForestRegressor-100-10-10-1, 0.8153639245034713, 1.1139643173737153, 1.2409165003818876, 0.23707043822200236
43, RandomForestRegressor-100-10-10-2, 0.8126199466426446, 1.1069018982326575, 1.2252318123110606, 0.2467135626327246
44, RandomForestRegressor-100-10-10-4, 0.8133102220005778, 1.1051784692335584, 1.2214194488574315, 0.24905744699409837
45, RandomForestRegressor-100-20-2-1, 0.8094512138050235, 1.1048793262119962, 1.2207583254906746, 0.2494639131506251
46, RandomForestRegressor-100-20-2-2, 0.8048534924194106, 1.1024577437352086, 1.2154130767217268, 0.25275023281809084
47, RandomForestRegressor-100-20-2-4, 0.8214251189933504, 1.1153190398840085, 1.2439365607277866, 0.23521367081216393
48, RandomForestRegressor-100-20-5-1, 0.8123094891693061, 1.10926349853245, 1.2304655091764507, 0.2434958263428436
49, RandomForestRegressor-100-20-5-2, 0.8119010401194686, 1.10692206223292, 1.22527645185798, 0.2466861177321542
50, RandomForestRegressor-100-20-5-4, 0.8170047077661675, 1.1153906525604276, 1.2440963078191767, 0.23511545648558185
51, RandomForestRegressor-100-20-10-1, 0.8138075838937731, 1.1109506780623992, 1.2342114090873044, 0.24119280452262248
52, RandomForestRegressor-100-20-10-2, 0.8158976552088105, 1.1094978505523434, 1.23098548038027, 0.24317614213963978
53, RandomForestRegressor-100-20-10-4, 0.8189724910846696, 1.1159836979660525, 1.2454196141259855, 0.23430187273482905
54, LinearRegression-0.001-l1-liblinear, 5.66345235811938, 7.405885565764853, 54.8471410132042, -32.72064538194345
55," MLPRegressor-(50,)-relu-0.0001-200", 56417.30103448719, 957745.710369972, 917276845732.0824, -563952225413.1316
56," MLPRegressor-(50,)-relu-0.0001-500", 5908.399237574965, 60342.073715044105, 3641165860.231817, -2238630135.075039
57," MLPRegressor-(50,)-relu-0.0001-1000", 7039.246430120925, 113351.17124382593, 12848488022.34715, -7899396399.468914
58," MLPRegressor-(50,)-relu-0.001-200", 76562.59622276305, 1305454.342645655, 1704211040732.3992, -1047768308409.0059
59," MLPRegressor-(50,)-relu-0.001-500", 6392.11645173881, 103697.10335603786, 10753089244.432796, -6611121426.179112
60," MLPRegressor-(50,)-relu-0.001-1000", 1921.8849400172003, 25467.062968739618, 648571296.2537487, -398748999.9846618
61," MLPRegressor-(50,)-relu-0.01-200", 15153.702497788334, 214136.82256311818, 45854578777.42836, -28191915959.02789
62," MLPRegressor-(50,)-relu-0.01-500", 3283.4842361289557, 47697.08275080931, 2275011702.937551, -1398703039.0738604
63," MLPRegressor-(50,)-relu-0.01-1000", 6076.392615000271, 62056.182573710365, 3850969795.621674, -2367619978.0153365
64," MLPRegressor-(50,)-tanh-0.0001-200", 1.3426829064304797, 1.6096168026371223, 2.590866251331753, -0.5928940046696385
65," MLPRegressor-(50,)-tanh-0.0001-500", 1.3993635813663934, 1.7571843697112028, 3.087696909157357, -0.8983511373099993
66," MLPRegressor-(50,)-tanh-0.0001-1000", 1.5987681742319, 1.977466199738226, 3.910372571107141, -1.4041414802247867
67," MLPRegressor-(50,)-tanh-0.001-200", 1.3773091655521787, 1.6706353765724877, 2.7910225614554975, -0.7159523779951724
