,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,MAE: 1.156724812022135 | RMSE: 1.5145529388886239 | MSE: 2.293870604696168 | R2: -0.4102977071202636
1,RandomForestRegressor-50-None-2-2,MAE: 1.1257451472631284 | RMSE: 1.466520117001503 | MSE: 2.150681253570102 | R2: -0.32226326735556876
2,RandomForestRegressor-50-None-2-4,MAE: 1.1257134418487624 | RMSE: 1.466470244980098 | MSE: 2.1505349794119883 | R2: -0.3221733363414234
3,RandomForestRegressor-50-None-5-1,MAE: 1.125866038173741 | RMSE: 1.46671032442404 | MSE: 2.151239175772073 | R2: -0.32260628426357596
4,RandomForestRegressor-50-None-5-2,MAE: 1.143345684557205 | RMSE: 1.4941211533779137 | MSE: 2.232398020971347 | R2: -0.37250366429134996
5,RandomForestRegressor-50-None-5-4,MAE: 1.1235848703231537 | RMSE: 1.463089885138527 | MSE: 2.1406320119946685 | R2: -0.3160848794713016
6,RandomForestRegressor-50-None-10-1,MAE: 1.136181595078252 | RMSE: 1.4829311453769187 | MSE: 2.1990847819289003 | R2: -0.35202230647538246
7,RandomForestRegressor-50-None-10-2,MAE: 1.1400397234329112 | RMSE: 1.4889457739512977 | MSE: 2.2169595177674286 | R2: -0.36301189713356874
8,RandomForestRegressor-50-None-10-4,MAE: 1.1383836912218281 | RMSE: 1.4863674447840456 | MSE: 2.2092881809138527 | R2: -0.35829547208631607
9,RandomForestRegressor-50-10-2-1,MAE: 1.1388740697874051 | RMSE: 1.4871326583912952 | MSE: 2.211563543653961 | R2: -0.35969439094803035
10,RandomForestRegressor-50-10-2-2,MAE: 1.1343748300790326 | RMSE: 1.4800903725099561 | MSE: 2.1906675107966604 | R2: -0.34684727255947445
11,RandomForestRegressor-50-10-2-4,MAE: 1.1314464458925497 | RMSE: 1.475487301004653 | MSE: 2.1770627754259952 | R2: -0.3384829266979654
12,RandomForestRegressor-50-10-5-1,MAE: 1.1174400595913172 | RMSE: 1.4527365793775104 | MSE: 2.1104435690614696 | R2: -0.2975246818023225
13,RandomForestRegressor-50-10-5-2,MAE: 1.1221681641378776 | RMSE: 1.4607398343998907 | MSE: 2.13376086380262 | R2: -0.3118604195036423
14,RandomForestRegressor-50-10-5-4,MAE: 1.1246632816418436 | RMSE: 1.4648213406052548 | MSE: 2.145701559892576 | R2: -0.3192016951111718
15,RandomForestRegressor-50-10-10-1,MAE: 1.1349173406271709 | RMSE: 1.4809425796899491 | MSE: 2.1931909243387215 | R2: -0.34839869587219274
16,RandomForestRegressor-50-10-10-2,MAE: 1.1283196038537806 | RMSE: 1.470557609486713 | MSE: 2.1625396828192756 | R2: -0.32955396437479867
17,RandomForestRegressor-50-10-10-4,MAE: 1.123565050032709 | RMSE: 1.4630569441862216 | MSE: 2.1405356219315244 | R2: -0.31602561776544813
18,RandomForestRegressor-50-20-2-1,MAE: 1.152317817837155 | RMSE: 1.507997886132449 | MSE: 2.2740576245799344 | R2: -0.3981164618608588
19,RandomForestRegressor-50-20-2-2,MAE: 1.1128255002313443 | RMSE: 1.4449483605290345 | MSE: 2.087875764595545 | R2: -0.2836497392367425
20,RandomForestRegressor-50-20-2-4,MAE: 1.124432510081495 | RMSE: 1.4644597715595176 | MSE: 2.1446424225161542 | R2: -0.31855052541989326
21,RandomForestRegressor-50-20-5-1,MAE: 1.137583932284321 | RMSE: 1.4851168580586362 | MSE: 2.2055720820899554 | R2: -0.3560107723129091
22,RandomForestRegressor-50-20-5-2,MAE: 1.122641694545869 | RMSE: 1.4615249484675412 | MSE: 2.1360551749930488 | R2: -0.3132709880878759
23,RandomForestRegressor-50-20-5-4,MAE: 1.1132156173489962 | RMSE: 1.4456023504042592 | MSE: 2.0897661554943188 | R2: -0.2848119730369594
24,RandomForestRegressor-50-20-10-1,MAE: 1.1314918670895286 | RMSE: 1.4755586498682294 | MSE: 2.177273329200952 | R2: -0.3386123775507899
25,RandomForestRegressor-50-20-10-2,MAE: 1.1268387929773784 | RMSE: 1.4682374862834073 | MSE: 2.155721316127819 | R2: -0.32536195507332355
26,RandomForestRegressor-50-20-10-4,MAE: 1.1365784419208846 | RMSE: 1.4835487564811611 | MSE: 2.2009169128567994 | R2: -0.3531487213836473
27,RandomForestRegressor-100-None-2-1,MAE: 1.142209723178654 | RMSE: 1.4923373371711552 | MSE: 2.2270707279150943 | R2: -0.36922838400003366
28,RandomForestRegressor-100-None-2-2,MAE: 1.1264146064442506 | RMSE: 1.4675736095917975 | MSE: 2.153772299570298 | R2: -0.3241636775520964
29,RandomForestRegressor-100-None-2-4,MAE: 1.1258999437335326 | RMSE: 1.4667636845128216 | MSE: 2.1513957062056277 | R2: -0.32270252095237795
30,RandomForestRegressor-100-None-5-1,MAE: 1.130433525342066 | RMSE: 1.4738890113261343 | MSE: 2.1723488177079293 | R2: -0.3355847319403187
31,RandomForestRegressor-100-None-5-2,MAE: 1.123300222625273 | RMSE: 1.4626170312003417 | MSE: 2.1392485799573016 | R2: -0.31523432973834753
32,RandomForestRegressor-100-None-5-4,MAE: 1.1242590699716215 | RMSE: 1.4641882127785906 | MSE: 2.1438471224397633 | R2: -0.3180615658979782
33,RandomForestRegressor-100-None-10-1,MAE: 1.1390277402624323 | RMSE: 1.4873713350550273 | MSE: 2.2122734883433743 | R2: -0.3601308730083579
34,RandomForestRegressor-100-None-10-2,MAE: 1.1235751755032648 | RMSE: 1.4630737722358649 | MSE: 2.1405848630044835 | R2: -0.31605589173650306
35,RandomForestRegressor-100-None-10-4,MAE: 1.1288236589486407 | RMSE: 1.4713499079748538 | MSE: 2.164870551697611 | R2: -0.3309870090408684
36,RandomForestRegressor-100-10-2-1,MAE: 1.1443545111158087 | RMSE: 1.4957063288770645 | MSE: 2.2371374222429052 | R2: -0.37541750203473345
37,RandomForestRegressor-100-10-2-2,MAE: 1.129806186435345 | RMSE: 1.4728980020385936 | MSE: 2.169428524409281 | R2: -0.3337893024445264
38,RandomForestRegressor-100-10-2-4,MAE: 1.1193924763486274 | RMSE: 1.4560340276512898 | MSE: 2.120035089678437 | R2: -0.3034216576414186
