SMILES,target
C(=O)(Cc1ccc(S(=O)(=O)CC)cc1)N,500000.0
C(=O)(Nc1cc(Cl)c(OCC)cc1)C,216000.0
O=S(=O)(c1c2c3c(C(=O)N(c3cc1)CC)ccc2)NCc4ccc(OC)cc4,174400.0
C(=O)(c1cc(ccc1)COc2ccc(Cl)cc2)Nc3ccc(C(=O)N)cc3,168270.0
C(=O)(c1c(NS(=O)(=O)c2c3c4c(C(=O)N(c4cc2)CC)ccc3)cccc1)c5ccccc5,156300.0
C(=O)(Nc1ccc(S(=O)(=O)N)cc1)CSc2nnc(n2CC=C)CCCN3C(=O)c4c5c(C3=O)cccc5ccc4,142210.0
C(=O)(Nc1ccc(C(C(F)(F)F)(C(F)(F)F)O)cc1)CN(S(=O)(=O)c2ccc(cc2)C)c3cc(C(F)(F)F)ccc3,112250.0
C(=O)(OC(C)(C)C)c1ccc(NC(=O)c2c(-c3c(C(F)(F)F)cccc3Cl)noc2-c4ccccc4)cc1,100000.0
C(=O)(c1ccc(NCc2c(-c3c(C(F)(F)F)cccc3Cl)noc2-c4c5c(ccc4)cccc5)cc1)O,100000.0
C(=O)(c1c(-c2c(C(F)(F)F)cccc2Cl)noc1C)Nc3ccc(C(=O)O)cc3,100000.0
C(=O)(c1c(-c2c(C(F)(F)F)cccc2Cl)noc1-c3ccccc3)Nc4ccc(cc4)CC(=O)O,100000.0
C(=O)(c1ccc(C(=O)O)cc1)Nc2c(-c3c(C(F)(F)F)cccc3Cl)noc2-c4ccccc4,100000.0
C(=O)(c1c(-c2c(C(F)(F)F)cccc2Cl)noc1-c3ccccc3)O,100000.0
C(=O)(Nc1ccc(OCc2ccccc2)cc1)CN(S(=O)(=O)c3ccc(cc3)C)c4cc(C(F)(F)F)ccc4,93850.0
C(=O)(O)CN(S(=O)(=O)c1ccc(cc1)C)c2cc(C(F)(F)F)ccc2,93290.0
C(=O)(c1c(-c2c(C(F)(F)F)cccc2Cl)noc1-c3ccccc3)Nc4cc(F)c(C(=O)O)cc4,91100.0
C(=O)(c1oc(cc1)COc2c(Cl)cccc2)Nc3ccc(S(=O)(=O)N)cc3,81690.0
C(=O)(c1c(-c2c(C(F)(F)F)cccc2Cl)noc1-c3ccccc3)Nc4cc(C(=O)O)ccc4,73900.0
