,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
323,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0637221207264107,0.12617599713647484,1.0313690516621152,0.3552126083579732,0.7802285964696969,0.28547468351295996,-0.21705793785479433,0.8675228029269206
309,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.060920382109454,0.09445546187224119,1.0300098941803686,0.3073360731711154,0.7765634644788162,0.2573053668004681,-0.21385232789602715,0.9008274543410735
321,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0570266730149174,0.09459924136889836,1.0281180248468156,0.307569896720889,0.7810742459922835,0.25745320816279926,-0.20939733963465024,0.9006764945298099
311,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0545300860599485,0.1293181708894615,1.0269031532038202,0.3596083576468454,0.781149387493668,0.2885274125714805,-0.20654086902838453,0.8642237097478747
297,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0494171879039027,0.12388848392604677,1.0244106539390845,0.3519779594321877,0.7760617193295992,0.27949306423392434,-0.20069094528889408,0.8699245540147871
251,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0440510919084884,0.1068655733999258,1.0217881834844678,0.32690300304513237,0.7756485282033218,0.27107286598185043,-0.1945513251764064,0.8877975847314542
227,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0425873870629114,0.12525025559947842,1.021071685565177,0.3539071284948615,0.7615053834837358,0.28945754818140307,-0.19287662690109997,0.8684947757808602
237,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0387522037032286,0.09320546946423235,1.0191919366356998,0.3052957082309418,0.7715066739564417,0.2575242161437754,-0.18848860087429964,0.9021398710790727
33,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0374786977040844,0.09325072682750393,1.0185669824336956,0.3053698197718693,0.7607967629733843,0.257569473507047,-0.18703151865802892,0.9020923535736104
299,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.036387717443349,0.1265901576642947,1.0180312949233676,0.35579510629615846,0.7708990165853489,0.2858888440407798,-0.18578327331227618,0.8670879593187141
131,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0272101739341604,0.11271239724226118,1.0135137758975752,0.3357266704363256,0.760970200480214,0.27703114392180417,-0.17528278454718604,0.8816587718669531
141,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0260638840118799,0.09320546478375684,1.0129481151628053,0.305295700565463,0.7486402090531992,0.25752421146329985,-0.1739712566379592,0.90213987599329
143,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0221121539679427,0.11271239724226118,1.01099562509832,0.3357266704363256,0.7655867150829302,0.27703114392180417,-0.16944988369241165,0.8816587718669531
21,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0215351501744265,0.09707326236134754,1.0107102206737728,0.311565823480926,0.7606676587845563,0.26139200904089055,-0.16878970465374343,0.8980789215046875
298,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",1.016317011447767,0.1293399644161134,1.0081254938983375,0.3596386581224457,0.7595678933274697,0.28580374196121944,-0.16281936988833356,0.864200827857573
239,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",1.0153691583601965,0.1068655733999258,1.0076552775429684,0.32690300304513237,0.7619834618459778,0.27107286598185043,-0.1617348835345478,0.8877975847314542
249,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.012521464971997,0.09320546478375684,1.006241255848714,0.305295700565463,0.7660253575648249,0.25752421146329985,-0.1584766944124507,0.90213987599329
129,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.0099961819831194,0.09320558581634161,1.0049856625758993,0.3052958987872939,0.7346919394502642,0.25752433249588463,-0.15558739123161192,0.9021397489163662
213,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.00845052447383,0.09577036961399206,1.0042163733348655,0.3094678813931941,0.7574829887147836,0.25722186581895795,-0.15381892679505316,0.8994468804126707
201,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",1.007477649669427,0.09554281710774591,1.0037318614398105,0.3091000114974859,0.7619276084888169,0.2578220307214758,-0.1527058118375222,0.8996857968381287
310,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",1.0041923812232028,0.11497859388938239,1.002093998197376,0.33908493609917617,0.7570754358661296,0.27463173207462516,-0.14894697110030886,0.8792794018866049
238,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",1.0004492360618287,0.09987872156908903,1.0002245928099491,0.31603594980490596,0.7493328393114386,0.2639949665884324,-0.1446642506017617,0.8951333583169248
225,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.9996343588934916,0.1157035106147762,0.9998171627320125,0.34015218743200254,0.7433438320548633,0.27987182284157874,-0.14373190868014785,0.8785182829886287
214,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9991190029524238,0.11431923284826255,0.9995594044139767,0.33811127287959886,0.7415444242809268,0.27460896084498665,-0.14314226404770491,0.879971691264689
202,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9966869623701927,0.11431923284826255,0.9983421068802982,0.33811127287959886,0.7454118645958967,0.27460896084498665,-0.14035964419039848,0.879971691264689
34,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.996056913733196,0.10328042407687615,0.998026509534289,0.3213727183145392,0.7430819432707237,0.26748771665880083,-0.139638773880427,0.8915617755774544
285,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.9943584122866674,0.12134980635603582,0.9971752164422597,0.3483529910249599,0.7598364397209004,0.276491397390837,-0.13769543301378806,0.8725900125519094
23,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",0.9935906562324105,0.11731851794110769,0.9967901766331821,0.342517908934858,0.7393841409480874,0.28129224664674163,-0.13681700472696123,0.8768226225722227
142,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9926431134868872,0.10390777076378384,0.9963147662696198,0.3223472828546626,0.7461499300318872,0.2682265174433269,-0.13573287345110852,0.8909030993429823
286,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9868838086943666,0.11975401955985562,0.9934202578437621,0.3460549371990748,0.7445198043427206,0.2763915867721596,-0.12914336339233912,0.8742654925693609
287,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",0.9858358869893444,0.1244538880425972,0.9928926865423798,0.35278022626360056,0.7499915200748571,0.27957896652062725,-0.1279443835041738,0.8693309137482221
130,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9848946506683024,0.10390777076378384,0.992418586418202,0.3223472828546626,0.7387199615927857,0.2682265174433269,-0.12686746772551216,0.8909030993429823
145,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
144,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
146,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
288,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
252,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
181,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
289,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
290,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
74,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
180,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
37,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
182,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
38,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.984727681928595,1.0576707485170826,0.992334460718056,1.0284312074791793,0.7571583811081267,0.7679721055616155,-0.1266764303990573,-0.11049057958444242
