,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
714,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7845446654040404,0.9100388829975257,0.78928046989721,0.9072847682119205,0.7641996557659209,0.8666666666666667,0.7474747474747475,0.9420289855072463,0.7557446808510638,0.9027777777777778
715,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7822890361952863,0.9161364439731353,0.7878120411160059,0.9139072847682119,0.7661431064572426,0.8783783783783784,0.7390572390572391,0.9420289855072463,0.7523564695801199,0.9090909090909092
1098,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7814933186026936,0.8955461293743372,0.78928046989721,0.8940397350993378,0.7795992714025501,0.863013698630137,0.7205387205387206,0.9130434782608695,0.7489063867016624,0.8873239436619719
699,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7804148253367003,0.9672145634499822,0.7863436123348018,0.9668874172185431,0.7662565905096661,0.9571428571428572,0.734006734006734,0.9710144927536232,0.7497850386930353,0.9640287769784173
1242,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7789220328282829,0.9222340049487451,0.7848751835535976,0.9205298013245033,0.7644991212653779,0.8904109589041096,0.7323232323232324,0.9420289855072463,0.7480653482373173,0.9154929577464788
650,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7770478219696969,1.0,0.7834067547723935,1.0,0.7646017699115044,1.0,0.7272727272727273,1.0,0.7454702329594478,1.0
1243,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7767781986531985,0.9294803817603394,0.7826725403817915,0.9271523178807947,0.7614035087719299,0.8918918918918919,0.7306397306397306,0.9565217391304348,0.7457044673539519,0.9230769230769231
666,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7766992845117845,0.9161364439731353,0.7819383259911894,0.9139072847682119,0.75736568457539,0.8783783783783784,0.7356902356902357,0.9420289855072463,0.7463706233988046,0.9090909090909092
744,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.7765217276936026,0.9344291268999647,0.7856093979441997,0.9337748344370861,0.7817164179104478,0.9154929577464789,0.7053872053872053,0.9420289855072463,0.7415929203539823,0.9285714285714286
667,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.776127156986532,0.9222340049487451,0.7819383259911894,0.9205298013245033,0.7600700525394045,0.8904109589041096,0.7306397306397306,0.9420289855072463,0.7450643776824034,0.9154929577464788
746,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7757786195286196,0.9344291268999647,0.7804698972099853,0.9337748344370861,0.7530017152658662,0.9154929577464789,0.7390572390572391,0.9420289855072463,0.745964316057774,0.9285714285714286
1290,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.774982901936027,0.9344291268999647,0.7819383259911894,0.9337748344370861,0.7656529516994633,0.9154929577464789,0.7205387205387206,0.9420289855072463,0.7424111014744146,0.9285714285714286
761,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7746014835858586,0.9077412513255568,0.7819383259911894,0.9072847682119205,0.7675675675675676,0.8873239436619719,0.7171717171717171,0.9130434782608695,0.7415143603133159,0.9
763,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7743647411616161,0.9100388829975257,0.7797356828193832,0.9072847682119205,0.7552083333333334,0.8666666666666667,0.7323232323232324,0.9420289855072463,0.7435897435897436,0.9027777777777778
2123,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0}",0.7738123421717171,1.0,0.7745961820851689,1.0,0.7296,1.0,0.7676767676767676,1.0,0.7481542247744052,1.0
2071,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",0.7725036826599325,1.0,0.7819383259911894,1.0,0.7786116322701688,1.0,0.6986531986531986,1.0,0.7364685004436557,1.0
1194,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7722340593434344,0.9016436903499471,0.7812041116005873,0.9006622516556292,0.775092936802974,0.875,0.702020202020202,0.9130434782608695,0.7367491166077739,0.8936170212765957
1291,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7719184027777778,0.9294803817603394,0.7782672540381792,0.9271523178807947,0.7579505300353356,0.8918918918918919,0.7222222222222222,0.9565217391304348,0.7396551724137932,0.9230769230769231
1819,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'log_loss', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.7713791561447811,0.9927536231884058,0.7767988252569751,0.9933774834437086,0.7517361111111112,1.0,0.7289562289562289,0.9855072463768116,0.7401709401709402,0.9927007299270074
2104,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0.05}",0.7711752946127947,1.0,0.7731277533039648,1.0,0.732463295269168,1.0,0.7558922558922558,1.0,0.7439933719966859,1.0
1379,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7709977377946128,0.9527218098267938,0.7767988252569751,0.9536423841059603,0.7534965034965035,0.9558823529411765,0.7255892255892256,0.9420289855072463,0.7392795883361921,0.9489051094890512
1178,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.770820180976431,0.9466242488511841,0.7804698972099853,0.9470198675496688,0.7777777777777778,0.9420289855072463,0.6952861952861953,0.9420289855072463,0.7342222222222222,0.9420289855072463
1083,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7706623526936027,0.9710144927536232,0.7790014684287812,0.9735099337748344,0.7688073394495413,1.0,0.7053872053872053,0.9420289855072463,0.7357330992098332,0.9701492537313433
762,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7706492003367003,0.9161364439731353,0.775330396475771,0.9139072847682119,0.7465753424657534,0.8783783783783784,0.734006734006734,0.9420289855072463,0.7402376910016978,0.9090909090909092
2298,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.1}",0.7705374053030304,0.9927536231884058,0.776064610866373,0.9933774834437086,0.7513043478260869,1.0,0.7272727272727273,0.9855072463768116,0.7390932420872539,0.9927007299270074
698,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.770346696127946,0.9721633085896076,0.776064610866373,0.9735099337748344,0.7521815008726004,0.9850746268656716,0.7255892255892256,0.9565217391304348,0.7386461011139676,0.9705882352941176
2335,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",0.7701757154882154,0.928331565924355,0.7709251101321586,0.9271523178807947,0.7252396166134185,0.9027777777777778,0.7643097643097643,0.9420289855072463,0.7442622950819672,0.9219858156028369
1225,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7698863636363635,1.0,0.775330396475771,1.0,0.75,1.0,0.7272727272727273,1.0,0.7384615384615384,1.0
747,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7696956544612795,0.941675503711559,0.775330396475771,0.9403973509933775,0.7508710801393729,0.9166666666666666,0.7255892255892256,0.9565217391304348,0.7380136986301371,0.9361702127659574
952,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.7691103745791246,0.8532166843407565,0.7716593245227606,0.8543046357615894,0.7331136738056013,0.8405797101449275,0.7491582491582491,0.8405797101449275,0.7410491257285595,0.8405797101449275
2296,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.7689328177609427,0.9927536231884058,0.775330396475771,0.9933774834437086,0.7544169611307421,1.0,0.7188552188552189,0.9855072463768116,0.7362068965517241,0.9927007299270074
1381,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.7686960753367004,0.9271827500883706,0.7731277533039648,0.9271523178807947,0.7427597955706985,0.9142857142857143,0.734006734006734,0.927536231884058,0.7383573243014393,0.920863309352518
2283,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.1}",0.7686303135521885,0.9927536231884058,0.776064610866373,0.9933774834437086,0.7603603603603604,1.0,0.7104377104377104,0.9855072463768116,0.7345517841601392,0.9927007299270074
1321,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7685382470538721,0.9222340049487451,0.7716593245227606,0.9205298013245033,0.7354409317803661,0.8904109589041096,0.7441077441077442,0.9420289855072463,0.7397489539748954,0.9154929577464788
