,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
1477,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'sgd'}",0.7232401157184185,0.8500903742917296,0.7397260273972602,0.8609839816933639,0.7169811320754716,0.8586626139817629,0.6229508196721312,0.7902097902097902,0.6666666666666666,0.8230152949745084
1381,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.722050787528126,0.842990407462818,0.7374429223744292,0.8541189931350115,0.7098765432098766,0.8495440729483282,0.6284153005464481,0.7818181818181819,0.6666666666666666,0.8142753095411508
1486,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.7209257473481195,0.8415383261462642,0.7397260273972602,0.8524027459954233,0.7254901960784313,0.8456883509833586,0.6065573770491803,0.7818181818181819,0.6607142857142857,0.8125
1432,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.72050787528126,0.8354077674503619,0.7374429223744292,0.8443935926773455,0.7151898734177216,0.8252569750367107,0.6174863387978142,0.786013986013986,0.6627565982404693,0.8051575931232092
2262,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}",0.719736419157827,0.9580433119639316,0.7374429223744292,0.9633867276887872,0.717948717948718,0.9807976366322009,0.6120218579234973,0.9286713286713286,0.6607669616519175,0.9540229885057471
1489,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.7193185470909675,0.9348621368950508,0.7351598173515982,0.9387871853546911,0.7080745341614907,0.9355300859598854,0.6229508196721312,0.9132867132867133,0.6627906976744187,0.924274593064402
1405,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.7189649630343941,0.83217866354362,0.7374429223744292,0.8443935926773455,0.7207792207792207,0.8402457757296466,0.6065573770491803,0.765034965034965,0.658753709198813,0.8008784773060029
1504,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'sgd'}",0.7185470909675346,0.8280376931877416,0.7351598173515982,0.8392448512585813,0.710691823899371,0.8277945619335347,0.6174863387978142,0.7664335664335664,0.6608187134502923,0.7959331880900508
1488,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'lbfgs'}",0.716522018643523,0.9854778329124891,0.728310502283105,0.9851258581235698,0.686046511627907,0.9764868603042877,0.644808743169399,0.9874125874125874,0.6647887323943662,0.9819193324061196
2361,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05}",0.7161684345869496,0.9841861913497926,0.730593607305936,0.9851258581235698,0.696969696969697,0.9845288326300985,0.6284153005464481,0.9790209790209791,0.6609195402298851,0.9817671809256663
