,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},1.147652207203388e+23,0.08765675667093828,338770159134.9787,0.29606883772349,190764316529.01764,0.25381425190734397,-1.2319745868963332e+23,0.9014057054063324
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",3292467826.277671,555897724.510084,57380.02985601934,23577.483421902434,25301.04017686571,8440.942190423028,-3534377979.2699857,-625260915.5092218
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",3129170789.5887823,595843785.8553864,55938.99167475923,24409.91163145386,34936.97717834694,11989.34472546003,-3359082887.208584,-670191322.3564696
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",600375395.1282985,171783981.88554645,24502.55895061368,13106.638847757515,11174.566108321218,4821.290191582144,-644487261.5638818,-193218652.7550972
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",20305643.387669913,5702964.108041064,4506.178357285685,2388.087960700163,2354.509484536363,787.5541822258226,-21797575.36257091,-6414561.261710189
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",18944823.818822328,19973138.474508084,4352.565199835877,4469.131736087904,3512.9544235768612,3653.1064936353846,-20336771.195900284,-22465323.676661786
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",18944738.91071594,19972971.297247037,4352.5554460243175,4469.113032498399,3512.9472387303554,3653.096038308104,-20336680.04927186,-22465135.63954119
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",18944086.67625372,19972363.820448462,4352.4805199166285,4469.045068070858,3512.9557299125895,3653.13651853855,-20335979.892658982,-22464452.363673907
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",6072973.459941738,6820533.192353424,2464.340370148113,2611.6150543970725,1931.7727376354335,2103.484526523145,-6519176.955293381,-7671577.146305418
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",5888596.894786677,6699292.855213015,2426.6431329692214,2588.299220571883,1916.6381348682196,2100.786275953915,-6321253.541506041,-7535208.816348486
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",5819197.712143827,6365150.580272699,2412.30133112425,2522.9250048847466,1954.9235494745574,2105.9687063191427,-6246755.336535294,-7159373.305854561
2124,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",469088.17272575136,136404.95783757858,684.9001187952528,369.33041824033205,221.1452558250924,85.2652984054944,-503552.8677871828,-153424.1449384715
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",189397.53059597797,203762.29485982197,435.19826584670346,451.4003709123664,349.83642848278305,364.1041467884489,-203312.28868678253,-229186.1213294802
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",188012.45858858438,199084.13132647687,433.60403433153664,446.18844822168677,350.1068074482028,365.83496505661606,-201825.45016251525,-223924.23107616557
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",188009.00888732038,199090.74681894915,433.6000563737514,446.19586149912817,350.1074211934883,365.85481238486034,-201821.7469985576,-223931.67202924742
2126,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",157112.8285086186,41585.301581261025,396.37460628629907,203.92474489688843,195.84626282823044,74.23193491951218,-168655.5065471243,-46773.186390000206
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",59928.2504497819,67475.68725169114,244.80247231141664,259.7608270153357,192.4886059058064,210.46078061714798,-64330.407309536786,-75894.09399460888
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",48083.75688231478,47774.5506251294,219.2800877469607,218.57390197626384,159.73868524879325,143.27069822100935,-51615.65367756772,-53734.710711913074
3354,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",48079.202272948,47764.94002131458,219.26970213175372,218.5519160778843,159.72562189151043,143.25851526798883,-51610.76442369979,-53723.90092679521
3357,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",46672.57650935136,45676.75870792319,216.03836814175244,213.72121726193492,158.39106826176635,142.75112111103388,-50100.78850665125,-51375.16283293232
3320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",44714.43730686403,49282.034012130105,211.45788542133874,221.9955720552329,174.1898757033996,184.29043939154957,-47998.77735734291,-55430.29319520023
3317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",40801.42839651354,46372.66774113109,201.9936345445409,215.34313952650334,160.1530612545356,174.27212813993924,-43798.26477557573,-52157.905234502854
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",30642.09153395901,8266.584772827075,175.04882614276227,90.92076095604939,99.54626368660925,35.14494971543982,-32892.48273130506,-9297.06355299314
2127,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",20426.08118147092,4532.332670339386,142.91984180466656,67.3226014822614,69.16133609360911,29.347702186238422,-21925.863179895354,-5096.863068028598
3286,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",1879.766174091084,1994.4168968600438,43.35627029728323,44.658894935500186,35.00137964407904,36.59679711768478,-2016.8797559504467,-2242.2740445757445
3283,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",1878.2087780640945,1994.2123852958882,43.338306128229036,44.65660516985016,35.01735850939911,36.60517280638305,-2015.207932104388,-2242.0440146936226
3280,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",1876.264766184697,1995.3472558531328,43.31587198919926,44.66930999974292,35.00076808400296,36.608226241497555,-2013.1210862664157,-2243.3204908752214
2107,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",633.0880862338719,152.70131091228453,25.161241746660117,12.357237187667984,11.261685559370799,4.272263888666262,-678.6034797053645,-170.754906349581
3287,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",574.6272427684025,652.8092526385719,23.97138383090143,25.55013214522719,19.171598741924324,21.085449198851762,-615.8472953614269,-733.2647642068001
2064,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",488.3939220180608,0.9384385420368605,22.09963624175884,0.9687303763363986,8.982768238522885,0.7297101563112575,-523.2780840260681,-0.055533989455827104
3318,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",476.4650400666438,457.4617435865539,21.82807916575904,21.388355326825714,15.779099910192745,14.386842980795027,-510.47274167409927,-513.5423995302694
3315,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",475.2827377304268,446.59736544562224,21.800980201138362,21.132850386202573,15.931853212670774,14.447347370151792,-509.2035710812096,-501.3223980188611
3281,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",473.70890784870113,487.7615417466984,21.764854877731235,22.08532412591444,17.504522937927177,18.31649564384329,-507.51410592250187,-547.6229124238112
3284,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",456.35889525914257,504.1216811709141,21.36255825642478,22.452654212161956,17.27808764388653,18.3555124192573,-488.88932181238033,-566.0244192470652
3321,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",441.5847670071749,425.37055259890695,21.013918411547497,20.624513390596807,15.197016562920497,13.796433379021735,-473.029682075073,-477.4469693744933
1907,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",143.2849417204469,0.9863846982167684,11.970168825895769,0.9931690179505039,5.924409520395477,0.7702063461913585,-152.81263223870496,-0.10946271813080788
1984,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",132.40553127775857,1.244430637881861,11.506760242473055,1.1155405137787964,7.654376561010703,0.9691791746534051,-141.13387006521725,-0.3997068289133703
