,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},3.349184345844216e+20,0.0871515020221806,18300776884.72327,0.2952143323454683,11118893789.116278,0.24820243863134653,-1.8907340526237775e+20,0.9532288414715433
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",203617993435.141,51884075899.98039,451240.5050913991,227780.76279611586,77270.35683158292,45091.578625575945,-114949621805.41135,-27844366220.05326
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",47959463183.17145,11704472583.240665,218996.49125767165,108187.21081181761,137972.308340102,48867.79369725673,-27074828023.46982,-6281380468.419781
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",5573909655.121297,2393697220.163706,74658.62076894601,48925.4250892489,32556.927137797262,14662.019075392715,-3146670860.5974436,-1284613454.3700428
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",101340117.20113724,25741441.521266248,10066.78286252054,5073.602420496333,6360.057668522924,2605.7686395348783,-57210110.687888324,-13814529.033409242
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",10226878.740021262,10437223.94858442,3197.949145940451,3230.669272547783,2409.726716205377,2499.1624917066224,-5773436.914758414,-5601291.514407912
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",10225845.06463753,10436426.634708183,3197.787526499772,3230.5458725590297,2409.6408671487734,2499.2000193004415,-5772853.368125693,-5600863.623977603
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",9100440.862182664,9416792.882392408,3016.693697109911,3068.6793384764737,2478.066765842736,2548.9166929799117,-5137522.54461112,-5053661.903250071
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",6362793.565790228,5702881.303521903,2522.457842222587,2388.07062364619,1753.4704751233019,1691.206562555188,-3592022.9743096638,-3060535.643970978
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",6227862.697083234,5570972.501849302,2495.568611976684,2360.2907663780115,1752.8822266770756,1685.3294910836644,-3515849.684974014,-2989744.810409006
