model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.0764643358493042,0.29892615535800965,1.1587754663554835,0.0893568463571209,0.7883322907529722,0.24971415171957664,0.3581262380861978,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
1,1.0890123389023227,0.29892615535800965,1.1859478742815073,0.0893568463571209,0.7904097451783354,0.24971415171957664,0.34307478402789904,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
2,1.1041499787032607,0.29892615535800965,1.2191471754704108,0.0893568463571209,0.7993073438573316,0.24971415171957664,0.3246848879990737,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
3,1.0820695400967322,0.29892615535800965,1.1708744896051533,0.0893568463571209,0.7929347269484807,0.24971415171957664,0.35142429642948203,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
4,1.0997110440885034,0.29892615535800965,1.209364380490226,0.0893568463571209,0.8056328109643328,0.24971415171957664,0.33010381478711837,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
5,1.0584195695686283,0.29892615535800965,1.1202519852458401,0.0893568463571209,0.7729991546895639,0.24971415171957664,0.37946532616650785,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
6,1.0926389974007062,0.29892615535800965,1.1938599786408204,0.0893568463571209,0.796365163672391,0.24971415171957664,0.3386920780272794,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
7,1.0599762385058276,0.29892615535800965,1.123549626196963,0.0893568463571209,0.7826339348745046,0.24971415171957664,0.3776386830728329,0.9502098334929556,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
8,1.188540783800484,1.121713095837342,1.4126291947570686,1.2582402693729942,0.9151695866578601,0.871902442989418,0.21751051713255487,0.29890103476153806,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
9,1.096219882333912,0.30270722240258335,1.2016980304241758,0.09163166249468707,0.8019036582562746,0.2519889678571428,0.33435039153983526,0.9489422924048373,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
10,1.1971642164730654,1.142346537599509,1.4332021612035684,1.3049556119655865,0.9458865998678996,0.9028551554232803,0.2061146533520819,0.2728709678898523,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
