,model,hyperparams,roc_auc,accuracy,precision,recall,f1
63,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6695529696262884,0.6753048780487805,0.5911730545876888,0.6394472361809045,0.6143633071816536
55,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.66632865693656,0.6753048780487805,0.594692400482509,0.6193467336683417,0.6067692307692307
29,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.66338947296208,0.6727642276422764,0.5920096852300242,0.614321608040201,0.6029593094944513
186,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6620731644570979,0.6747967479674797,0.5984848484848485,0.5954773869346733,0.596977329974811
45,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6611856209374518,0.6686991869918699,0.5851063829787234,0.621859296482412,0.6029232643118149
40,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6611856209374518,0.6686991869918699,0.5851063829787234,0.621859296482412,0.6029232643118149
42,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6609969643439039,0.6646341463414634,0.5767494356659142,0.6419597989949749,0.6076099881093936
65,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6606646714802682,0.6661585365853658,0.580161476355248,0.6319095477386935,0.6049308478653036
57,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6595627454679541,0.6641260162601627,0.5769669327251995,0.635678391959799,0.6049013747758517
27,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6584243744318863,0.665650406504065,0.5811764705882353,0.6206030150753769,0.600243013365735
58,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6577962337283688,0.6651422764227642,0.5806831566548881,0.6193467336683417,0.5993920972644377
78,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6576547412832079,0.6620934959349594,0.5745164960182025,0.6344221105527639,0.6029850746268657
67,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6572752842711852,0.6626016260162602,0.5758620689655173,0.6293969849246231,0.6014405762304922
43,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.657063045603444,0.6580284552845529,0.5672131147540984,0.6520100502512562,0.6066627703097605
53,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6569558543571099,0.6600609756097561,0.5711086226203808,0.6407035175879398,0.6039076376554174
184,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6567586224638551,0.6427845528455285,0.5434985968194574,0.7298994974874372,0.6230563002680967
66,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6566471435676676,0.6620934959349594,0.5753739930955121,0.628140703517588,0.6006006006006006
76,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6564927881729465,0.663109756097561,0.5775962660443408,0.621859296482412,0.5989110707803994
75,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6563277136535922,0.6595528455284553,0.570627802690583,0.6394472361809045,0.6030805687203791
28,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6562912686298387,0.663109756097561,0.5777777777777777,0.6206030150753769,0.5984251968503936
73,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6556395458521276,0.6620934959349594,0.5762514551804424,0.621859296482412,0.5981873111782477
36,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.655448745433653,0.6666666666666666,0.5864197530864198,0.5967336683417085,0.5915317559153176
60,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6552365067659115,0.6620934959349594,0.5766081871345029,0.6193467336683417,0.5972138098122349
51,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6550349872228035,0.6620934959349594,0.5767878077373975,0.6180904522613065,0.5967252880533657
46,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6547734405817484,0.6651422764227642,0.5836385836385837,0.6005025125628141,0.5919504643962847
61,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6545847839882004,0.6610772357723578,0.5750873108265425,0.6206030150753769,0.5969788519637462
34,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6543596823708989,0.6605691056910569,0.574245939675174,0.621859296482412,0.5971049457177321
185,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.654203183151251,0.6702235772357723,0.5965834428383706,0.5703517587939698,0.5831727681438664
69,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6539094791362958,0.6595528455284553,0.5725806451612904,0.6243718592964824,0.5973557692307693
72,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6538858970621023,0.6590447154471545,0.5715922107674685,0.6268844221105527,0.5979628520071899
38,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6537787058157682,0.6610772357723578,0.5757931844888367,0.6155778894472361,0.5950212507589556
