,model,hyperparams,mse,rmse,mae,r2
81,LinearRegression,{'fit_intercept': True},20666781292528.555,4546073.172808436,2971563.1796868285,-22134072129664.8
387,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",11387.188948168032,106.71077240919978,88.96208493578162,-12194.651464314069
384,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",11375.075386639688,106.65399845594017,88.91890546551733,-12181.677869596037
381,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",11373.326189883212,106.64579780696101,88.9051859533222,-12179.80448415547
171,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 5}",718.2263344276105,26.799745044078506,9.288658879548404,-768.2186444820693
172,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 7}",210.6259637811632,14.512958477897028,6.164398185267673,-224.57989116563843
345,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",111.27242569248102,10.548574581074025,8.706981376578568,-118.17249529372259
348,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",110.9165294175841,10.531691669318093,8.706639513587076,-117.7913312552714
351,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",108.74217111144584,10.427951434075911,8.680475833456875,-115.46259883668229
160,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 7}",82.20000791891945,9.066422002031421,4.943714753166427,-87.0360070870939
159,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 5}",74.60735954910272,8.637555183563386,4.952062043449662,-78.90429928538273
170,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 3}",34.27049412157835,5.854100624483521,2.0582655189625503,-35.70361523981155
148,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 7}",11.14862656216651,3.3389559089880945,2.384067905441256,-10.94015173339604
147,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 5}",7.751402572099759,2.7841340794041796,2.047599563797244,-7.301733163400682
158,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 3}",3.927936406857162,1.9819022192977034,1.1777818331791474,-3.206810268106321
146,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 3}",3.0331615671873116,1.7415974182305483,1.1225842218490187,-2.2485086070623477
95,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200}",2.460412486737304,1.5685702045931205,1.3110999524570766,-1.6350957451638526
312,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",2.2536703614544233,1.5012229552782703,1.2253976427167683,-1.4136754355142789
309,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",2.251156368909866,1.5003854067904907,1.2238466129354555,-1.4109829556584637
82,LinearRegression,{'fit_intercept': False},2.1849429086769496,1.4781552383552106,1.12340408282874,-1.3400685019752494
327,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
328,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
329,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
365,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
364,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
363,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",2.104768115145492,1.4507818978555984,1.1011093385097237,-1.2542014945352524
368,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
332,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
366,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
367,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
331,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
330,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.769202051610455,1.3301135483899316,1.0096688423748783,-0.8948110626426142
293,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.4772505067948412,1.2154219459902973,0.9142084849687093,-0.5821316734407591
292,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.4772505067948412,1.2154219459902973,0.9142084849687093,-0.5821316734407591
291,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.4772505067948412,1.2154219459902973,0.9142084849687093,-0.5821316734407591
18,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.4260738860955642,1.1941833553083732,0.9088093160690973,-0.5273216380570753
9,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.3977744359452922,1.1822751100929478,0.8990198783246827,-0.4970129962811811
296,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.3951002305507767,1.1811436113152274,0.893595009965837,-0.49414892885559003
295,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.3951002305507767,1.1811436113152274,0.893595009965837,-0.49414892885559003
294,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.3951002305507767,1.1811436113152274,0.893595009965837,-0.49414892885559003
0,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.38692048258194,1.1776758818036226,0.901057006634225,-0.4853884388217513
21,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.3435777984234922,1.159128033663017,0.888535081183257,-0.43896853027976523
167,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 3}",1.3408479424262778,1.1579498877007923,0.8732127474238034,-0.43604486119503005
3,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.3394306990991838,1.15733776361924,0.8921131621430599,-0.4345269970640284
4,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.3327293817473196,1.1544389900498508,0.8865954039733559,-0.4273499025987395
168,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 5}",1.312188280723337,1.14550787021449,0.8656130328125621,-0.40535043372876345
1,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.3095210495146414,1.1443430646072188,0.8715628398471148,-0.40249383563909835
144,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 5}",1.3038400330112392,1.1418581492511402,0.8667135868616578,-0.396409480882725
19,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.3036400314499947,1.1417705686564157,0.8740105904439234,-0.39619527970064605
155,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 3}",1.2899822899964508,1.135773872738958,0.8527510618287715,-0.3815678720660396
7,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.284483139852609,1.1333504047083625,0.8692567175725241,-0.3756782957351741
10,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2808364749655217,1.1317404627234646,0.863552450065056,-0.3717727265756121
24,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2762211753483146,1.1296995951793178,0.8647979827280079,-0.3668297519932946
6,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2753256707467198,1.1293031792865544,0.8652965345356083,-0.36587066875901697
12,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2729361544044606,1.128244722746116,0.8656932380872766,-0.3633115026108902
22,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.271474271749388,1.127596679557628,0.8666324884135043,-0.36174582986899195
157,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 7}",1.2692674208260815,1.1266176906236123,0.8436539898765612,-0.35938229793702403
13,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.266276372208781,1.1252894615203597,0.8650269924911088,-0.356178892196112
25,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2637273402163973,1.1241562792674324,0.8610323058644742,-0.3534488851775226
265,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.259022138239684,1.1220615572417068,0.8565590869091191,-0.34840962538843945
