model,hyperparams,mse,rmse,mae,r2
0,1.179401046902928,1.3909868294357222,0.8979552974404527,-0.4897434863394019,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
1,1.1424589327472139,1.3052124130139031,0.876746431231377,-0.39787929650317944,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
2,1.0685972611146473,1.1419001064617256,0.8084342208843139,-0.22297221630899378,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
3,1.1485045861285006,1.3190627843581983,0.8865810378681805,-0.41271301027882745,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
4,1.125916989949135,1.2676890682561204,0.8642345080810943,-0.3576918862016374,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
5,1.073150827616495,1.1516526988139681,0.8128613682732062,-0.23341721882391386,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
6,1.1252848369608879,1.2662659642940919,0.8620707199803096,-0.35616774534497964,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
7,1.1282713273031644,1.2729961880144443,0.8613723275141846,-0.36337579846009715,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
8,1.0710975350265488,1.147249929539949,0.8067206583426411,-0.2287018637184408,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
9,1.1572036085860058,1.339120191724474,0.879566035114755,-0.4341944444264725,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
10,1.1312958410982856,1.2798302800862777,0.8630953037305484,-0.3706950943251688,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
11,1.0661299066834027,1.1366329779247608,0.8037293705819826,-0.2173311345506288,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
12,1.1316342719135872,1.2805961253693945,0.8642411287866321,-0.3715153127470281,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
13,1.144161571049901,1.3091057006673774,0.8735448988537798,-0.4020489980413038,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
14,1.0623616262033488,1.1286122248294237,0.8006757146881132,-0.20874092763676289,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
15,1.1154679267536223,1.2442686956160243,0.8547103277766046,-0.3326087244851612,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
16,1.1105492667691022,1.2333196739213905,0.8508268392025898,-0.3208823490758508,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
17,1.0740553115310365,1.1535948122280317,0.8089958100763496,-0.23549721753210218,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
18,1.1974609701311238,1.4339127749873721,0.9175500213777914,-0.5357170688545376,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
19,1.1573079922377951,1.3393617888974765,0.8835570914456069,-0.4344531944068333,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
20,1.0698351443373515,1.1445472360593216,0.8103652088364368,-0.22580728562242114,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
21,1.154196790345129,1.3321702308429972,0.8868682515544358,-0.4267510533501575,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
22,1.1582710794148396,1.3415918934088176,0.8867518266529918,-0.4368416308746137,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
23,1.0710690155768916,1.1471888361288518,0.8126874679051239,-0.2286364328248376,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
24,1.1302975905249215,1.2775726431464431,0.8670013930395029,-0.3682771706939276,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
25,1.1254995683213025,1.266749278291438,0.8594574593000117,-0.35668537345199414,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
26,1.0725378497448506,1.1503374391353076,0.8057103137528949,-0.2320085789305193,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
27,0.9002685940607222,0.8104835414520695,0.6895249766787098,0.13197411282943716,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
28,0.9086957086991249,0.8257278910082049,0.6970584603209854,0.11564745180422353,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
29,0.9140258630910162,0.8354432783992771,0.701530734678886,0.10524229571156285,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
30,0.9004208772093504,0.8107577561144561,0.6883876377279647,0.13168042959786042,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
31,0.9001508212899163,0.8102715010689109,0.6867548759950648,0.13220120756029063,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
32,0.887143131286795,0.7870229353893395,0.6801764438439112,0.15710036444298026,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
33,0.8949643918936679,0.8009612627576029,0.6869283653846199,0.14217244998115885,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
34,0.8972915550225443,0.8051321347147756,0.6860536822495016,0.13770545633386877,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
35,0.9008067662573841,0.8114528301350854,0.6900331747633448,0.13093600702473207,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
36,0.8951060486905376,0.801214838402387,0.6844577631188067,0.141900871086868,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
37,0.9115181692998384,0.830865372963729,0.6966003916781391,0.11014522121694104,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
38,0.8951649277182078,0.8013202478167442,0.6852166380665211,0.14178797786234976,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
39,0.8977025121046132,0.8058698002389332,0.6844149960881843,0.1369154183648128,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
40,0.8861131938738185,0.7851965923572594,0.6791704344794672,0.15905637335570788,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
41,0.8936939081141699,0.7986888014003785,0.6860075458014769,0.14460625052710407,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
42,0.8840698177555166,0.7815794426662724,0.6742541839160621,0.1629303318125599,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
43,0.8941269398398334,0.799462984547345,0.6818767538750056,0.14377710227348972,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
44,0.9006543118003344,0.811178189364534,0.6886226205254337,0.1312301466171093,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
45,0.8928965136834291,0.7972641841480222,0.6837603951711125,0.14613201211399507,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
46,0.9090739518287617,0.8264154498935617,0.6917411961033634,0.1149110779225595,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
47,0.8925128902731296,0.7965792593036956,0.6832280998535832,0.14686556494416936,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
48,0.894674375958354,0.80044223899647,0.6845841060166414,0.14272832315769846,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
49,0.9000470492418448,0.8100846908489516,0.6878366060538467,0.13240128084817282,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
50,0.8936839334674804,0.798670972937908,0.6850740929300602,0.14462534476672928,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
51,0.9009963845865119,0.8117944850379657,0.6886238098724493,0.13057009546081855,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
