model,hyperparams,mse,rmse,mae,r2
0,1.0815653400123282,1.169783584715983,0.8155572293005513,-0.25573204102519886,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
1,1.0864438154726992,1.1803601641788763,0.8176693856283587,-0.2670857220731586,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
2,1.0343170864234705,1.0698118352675372,0.7839593631952108,-0.14841498629816008,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
3,1.0767089405773898,1.1593021427192851,0.8150154047601816,-0.24448048755550644,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
4,1.06131261758701,1.1263844722493908,0.8007079861666943,-0.20914423043492825,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
5,1.039420968919528,1.0803959506296104,0.788800655026784,-0.15977675693652094,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
6,1.0307982383058918,1.06254500809453,0.7743356021303699,-0.14061423764946634,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
7,1.0247160240357802,1.0500429299156975,0.7726910337005781,-0.1271935841596381,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
8,1.0221937194832331,1.0448800001509666,0.7697292439707417,-0.12165131427669285,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
9,1.0351383968313794,1.0715115005946385,0.7692213595354249,-0.15023953251179067,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
10,1.044900346780613,1.0918167347022456,0.7742186891114818,-0.1720366695229334,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
11,1.0085347922923031,1.0171424272640792,0.754611559059699,-0.09187575624234667,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
12,1.0453611465748018,1.0927799267681841,0.780583401739158,-0.17307063097927755,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
13,1.0480498901289599,1.0984085721993249,0.778728091515211,-0.17911283443280746,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
14,1.014265641150108,1.0287347908176399,0.7592461039495794,-0.1043198549077875,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
15,1.010710544746839,1.021535805262452,0.7555415743088083,-0.09659193245901965,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
16,1.0153803621078135,1.0309972797541944,0.7582257722364465,-0.10674857752555833,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
17,1.0019659017619351,1.003935668293608,0.7454027547066848,-0.0776986463786069,DecisionTreeRegressor,{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
18,1.086628273676452,1.1807610051530666,0.81757248380437,-0.26751601436074335,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
19,1.1084046906933749,1.228560958351076,0.842325862140476,-0.31882801221615753,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
20,1.0343496642605496,1.0698792279559117,0.7881815432970889,-0.14848733058408503,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
21,1.0741599653338894,1.1538196311261024,0.8075500325563977,-0.23859515494971206,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
22,1.0925639766681228,1.1936960431128625,0.8148477400531603,-0.28140143883602065,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
23,1.0433768132135564,1.0886351743516767,0.793195171373301,-0.16862134781311933,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
24,1.0223140873979686,1.0451260932923412,0.7679941395026573,-0.12191548881866665,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}
25,1.0348924808274154,1.0710024468731223,0.7817469404536922,-0.14969307667409315,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}
26,1.0238268536188042,1.0482214261909801,0.7703415312611076,-0.1252382476171705,DecisionTreeRegressor,{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}
27,0.8038561093547166,0.646184644546902,0.6102533591635333,0.30633770795045323,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
28,0.7998887098496424,0.6398219481449255,0.6070883582373059,0.31316789589604443,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
29,0.8217198940505637,0.6752235842784695,0.6262884506536942,0.2751651666917361,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
30,0.8015584564240185,0.642495959064855,0.6097875790262947,0.31029741520706977,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
31,0.8102542466541949,0.6565119442211569,0.6194492941318451,0.2952516222268452,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
32,0.8171242362383548,0.6676920174481147,0.618610670751303,0.2832501064289401,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
33,0.8058986078241404,0.6494725660928876,0.6140838964058584,0.30280821028300764,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
34,0.8078435779433225,0.652611246424269,0.6190319692063041,0.29943891915074383,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
35,0.8088233620508436,0.6541952309992299,0.6152144300091138,0.29773855319480425,RandomForestRegressor,{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
36,0.8244870807640627,0.6797789463468461,0.6273103163869197,0.27027510481835104,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
37,0.8220769424782778,0.6758104993544336,0.6236228647170902,0.274535128729263,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
