,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",13533847.690411365,2141042.5416310183,3678.837817900018,1463.2301738383535,1928.8955077022763,730.1570883887417,-7517285.181208697,-1188460.0911849139
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",8437285.705704702,1398643.188954387,2904.700622388597,1182.642460321118,1656.9586904040382,541.7794419913907,-4686433.537558756,-776365.1759176496
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",1612829.6800348752,1885542.2999774797,1269.9723146725976,1373.1505015756575,1008.8493448419235,1079.4039216350996,-895834.5778570828,-1046635.6808384222
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",1554367.8347631458,1912380.6405827529,1246.74289040008,1382.888513432212,980.1585567983113,1074.0466421357617,-863362.33259157,-1061533.2473001503
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",1491718.473664632,1876347.8895041924,1221.3592729678815,1369.7984849985023,958.6243707131425,1070.7508990642386,-828564.1593580204,-1041531.9993881877
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",616066.8549825182,629686.5002614629,784.8992642260014,793.5278824726091,617.3068526085902,624.2321215397351,-342189.2596806911,-349528.67568549974
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",615689.9656285718,629199.1958044337,784.6591397725332,793.2207736843719,617.0553184476505,623.8984707437086,-341979.91898194264,-349258.18017899804
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",606966.9901187207,587245.5971540244,779.0808623748376,766.3195137499921,595.7987136150514,579.8062651807946,-337134.7999323405,-325970.3572321375
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",304246.131806205,82840.23415161514,551.585108397793,287.8197945792039,348.1902606059472,137.85463046953643,-168990.5015028123,-45982.39040888116
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",37959.31614070748,14711.66604812244,194.83150705342163,121.29165696008296,123.71365257452277,61.09159679536424,-21083.251071839815,-8165.228528733661
