,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},2.2920855576372098e+20,0.12211891343038654,15139635258.609138,0.3494551665527161,8800995609.46592,0.278946338243626,-1.3099826566119183e+20,0.933004988397053
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",429962039358.2609,166267432764.30325,655714.9070733873,407759.03762430977,243561.65294156122,95078.67482635146,-245733765339.51816,-91215097434.22661
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",28456329422.013165,7866334975.769719,168690.03948666668,88692.36142853407,100316.3246185956,38729.13166144647,-16263484531.444723,-4315508450.316002
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",21062732752.252285,4174604595.279023,145130.05461396437,64611.180110558445,84557.09508082467,31146.662436053444,-12037864167.88611,-2290207759.961314
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",2227728141.2290897,1843284283.9190352,47198.81504051865,42933.48674308942,23028.570429703967,11270.896927022475,-1273200826.4877489,-1011234446.7997766
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",74544879.90486254,71168019.31169145,8633.937682475043,8436.113993521629,6666.835347791189,6589.976308431917,-42604211.346790865,-39043109.89586833
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",74543710.86151999,71167818.60276249,8633.869981735885,8436.10209769669,6666.804510786784,6589.975364144853,-42603543.21008084,-39042999.786003724
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",74242982.57816477,70839528.9185987,8616.436768070938,8416.622179865191,6665.074971759912,6589.667252499906,-42431669.68021396,-38862898.51764271
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",34645994.677902564,31168708.436115947,5886.084834412648,5582.894270547844,4196.180995762555,4054.267121762417,-19801027.804486193,-17099299.38410309
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",34444847.53595794,31053363.164470065,5868.9732948751725,5572.5544559447835,4188.936021285904,4054.511064463645,-19686067.31948312,-17036020.42431554
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",33947675.468088046,30845848.25320255,5826.463375675509,5553.90387504164,4184.768803639648,4078.2865909984894,-19401921.387804713,-16922176.76572389
2124,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",2534708.28149825,306740.1160601761,1592.0767197274918,553.8412372333574,506.1790139594713,155.0034708759207,-1448646.4456722103,-168278.0737100302
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",747815.0269652342,710585.7745753533,864.762988896515,842.9624989140106,668.1309400599118,655.5433806878187,-427393.4802863617,-389829.7057874565
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",745469.4341958029,711830.484007625,863.4057181857223,843.7004705507903,666.749444707489,659.0962328889519,-426052.9169565195,-390512.55924983096
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",742292.5346588215,707565.3821747353,861.5640049693474,841.169056833842,667.448556529956,655.4611741610953,-424237.24158551195,-388172.70427769277
3320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",345146.0349573452,314794.647988037,587.4913062823528,561.0656360783798,414.38376338942726,404.5814206640227,-197258.35547474746,-172696.82789646465
3317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",343241.3451767527,306072.0299612139,585.8680270988959,553.2377698252478,419.65031356607926,404.98675540472146,-196169.77892903847,-167911.5585266368
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",337033.17380562937,307179.95450111706,580.5455828835746,554.2381748861378,416.3441980400881,404.19393409235124,-192621.65796193562,-168519.37115222416
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",205591.18397223385,184493.15826374802,453.4216403880982,429.52666769799987,321.9315504894273,294.14789881586404,-117499.36313372405,-101212.81636424389
2126,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",202673.91694067215,79629.4577474734,450.19319957177515,282.1869198731107,214.08733211850222,103.50812942322946,-115832.07405574084,-43684.09591079379
