,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},1.14765220720335e+23,0.006986053219310705,338770159134.9731,0.08358261313999883,190764316529.01474,0.021935415044307474,-1.2319745868962923e+23,0.9921422487517141
2342,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",18944777.845793184,19973238.192201257,4352.559918690745,4469.142892345383,3512.949273239039,3653.1144172139366,-20336721.84505755,-22465435.836819086
2345,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",18944709.776139375,19973145.076217294,4352.5520991872545,4469.132474677529,3512.947280657549,3653.114834782699,-20336648.774066962,-22465331.10211177
2348,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",18944155.294859838,19972380.839840923,4352.488402610607,4469.046972212412,3512.966880660255,3653.119680809416,-20336053.5529355,-22464471.506693315
2346,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",6073038.850677026,6820487.277979995,2464.3536375035596,2611.6062639647644,1931.7887539939243,2103.4857580958737,-6519247.150535099,-7671525.502879037
2349,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",5888626.935811188,6699243.757569202,2426.649322792889,2588.289736016662,1916.6449214258116,2100.763386550344,-6321285.789759064,-7535153.592453126
2343,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",5819263.145591541,6365276.468940918,2412.3148935393033,2522.949953713097,1954.934571772991,2105.9882940592925,-6246825.577627682,-7159514.902519916
2321,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",189404.72964804963,203755.751829871,435.20653677081833,451.39312337459353,349.83754102414485,364.092443795194,-203320.016680635,-229178.76188056808
2318,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",188012.4598909048,199077.11800925495,433.6040358332759,446.1805890099377,350.10056687035706,365.8356793453574,-201825.4515605221,-223916.3426589971
2315,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",188006.9224984533,199076.4556003438,433.59765047616816,446.17984669900073,350.1006387188221,365.83554176935013,-201819.50731475223,-223915.5975967588
2322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",59924.924918868004,67478.36505730479,244.7956799432294,259.76598133186104,192.4839164112977,210.45952455538418,-64326.83743919789,-75897.1059284924
2341,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",48079.42335403392,47776.05485524397,219.27020626166683,218.5773429595208,159.73462397893374,143.2323221924878,-51611.0017484553,-53736.4026351907
2344,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",48073.47571764783,47772.23345302763,219.25664349717624,218.56860125147807,159.71858094891718,143.23915398070992,-51604.61711656616,-53732.10441027128
2347,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",46664.79075039087,45672.40226239199,216.02034800080958,213.7110251306469,158.37995538267705,142.74237950555744,-50092.43069831976,-51370.26280365453
2319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",44714.77122403049,49280.732899198214,211.45867497936916,221.9926415429084,174.18685032666502,184.28387523014402,-47999.13580867566,-55428.82973343666
2316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",40797.74535842339,46376.201537722074,201.98451762059236,215.3513444065815,160.14691171633456,174.2734064238285,-43794.311130646405,-52161.879967260014
2294,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",1879.8978293341625,1994.8205567375865,43.357788566002334,44.6634140739105,34.99358101872611,36.60033738138183,-2017.0210844057804,-2242.728071879441
2291,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",1877.627711757136,1994.0043598437194,43.331601767729936,44.65427594132189,35.00530240506187,36.601570702392166,-2014.5841726422607,-2241.810032471453
2288,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",1877.3269549053086,1994.084899104163,43.32813121870488,44.655177741267174,35.00712474340282,36.601433297812015,-2014.2613180387834,-2241.900621170739
2295,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",574.3166082983726,653.1575107100676,23.9649036780533,25.55694642773404,19.170112388676404,21.09318371116399,-615.5138373935085,-733.656476839114
2317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",476.5185261240507,457.76368992389644,21.829304297756508,21.395412824339157,15.773389281725914,14.362532587197558,-510.53015755590127,-513.8820217940406
2314,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",474.97608761576805,446.87984972418735,21.793946123081245,21.139532864379653,15.924400474898091,14.41149720958958,-508.87439021443026,-501.6401298085905
2289,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",473.23748077746393,487.7022768853737,21.754022174702865,22.083982360194316,17.504033730045936,18.320683720019556,-507.0080413084195,-547.556252677108
2292,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",456.0220644499709,504.6350876326096,21.354673129082798,22.46408439337356,17.276653713262853,18.35012109190031,-488.5277427604876,-566.6018869729214
2320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",441.4255034145344,425.99487714411543,21.010128591099445,20.639643338587888,15.193363680399903,13.807799810692359,-472.8587167795598,-478.1491951979221
2261,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",18.790097872263082,20.471784135662364,4.334754649603952,4.524575575196238,3.466330293820018,3.6688823286147625,-19.17067794461228,-22.02618979511761
