model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,0.9355359372954986,0.3089666937077836,0.8752274899713669,0.09546041782071937,0.6740688330440351,0.25992563803348917,0.029908834897431347,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
1,0.9281434184819336,0.3089666937077836,0.8614502052713296,0.09546041782071937,0.6704095321737839,0.25992563803348917,0.04517940434337753,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
2,0.9245411033264744,0.30960299944543435,0.8547762517401346,0.09585401726560962,0.6715398507629671,0.2594172496247449,0.0525767306740772,0.8961609286049975,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
3,0.9258889234920925,0.3089666937077836,0.857270298645346,0.09546041782071937,0.6959124552762177,0.25992563803348917,0.0498123603865579,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
4,0.9483755109518929,0.3089666937077836,0.8994161097732638,0.09546041782071937,0.6902620633963525,0.25992563803348917,0.003098472294889132,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
5,0.9207464071188205,0.3089666937077836,0.8477739462222167,0.09546041782071937,0.6648194998401348,0.25992563803348917,0.060337998225789224,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
6,0.9631970066316381,0.30960299944543435,0.9277484735841479,0.09585401726560962,0.7190993647524767,0.2594172496247449,-0.028304764160023366,0.8961609286049975,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
7,0.9351031188472626,0.3089666937077836,0.8744178428778777,0.09546041782071937,0.6980601763046882,0.25992563803348917,0.03080623757415768,0.8965873165856467,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
8,0.9800838317454224,1.0012865943702698,0.9605643172487894,1.0025748440656133,0.7493749452558094,0.7455636593350027,-0.06467743341370191,-0.08609366390232487,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
9,0.9655447664160111,0.317159284736391,0.9322766959533494,0.10059001189449913,0.6962020079162691,0.265055232107269,-0.033323789001354465,0.8910304051441719,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
10,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
