,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},4.494096544401954e+19,0.07951188900641257,6703802312.42088,0.28197852578948734,4867590300.293412,0.24453085093188215,-4.813166388296566e+19,0.8993015922494707
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",2235482.209124889,2762123.831445714,1495.1529049314286,1661.9638478155034,1189.521008454299,1326.50955902475,-2394194.968931217,-3498110.732874851
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",2235431.6312941085,2761963.9814785533,1495.1359909032049,1661.9157564324832,1189.5103377225917,1326.463687465117,-2394140.800198369,-3497908.2897261195
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",2086763.0991761205,2614701.2011430482,1444.563290124777,1617.003772767104,1149.5197014712112,1280.5540115895928,-2234917.1665452314,-3311406.274920442
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",1139604.237147917,185272.7083265946,1067.5224761792686,430.4331635998725,659.5151794356144,232.62482625197765,-1220512.3458988976,-234638.96342247206
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",759713.6230106269,190857.1081579288,871.6155247645759,436.8719585392599,505.8404930997775,176.1842638493867,-813650.4289085792,-241711.36703763864
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",543084.8504323275,646493.2861909887,736.9429085297771,804.0480621150633,592.3755886751757,652.5584232959947,-581641.5442283851,-818755.1049592152
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",504560.6214903323,664052.5700852869,710.3243072641766,814.8942079100126,575.2136806882738,680.9107165468423,-540382.189417767,-840993.1872320779
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",497143.30096979224,653153.2595180984,705.0838964050961,808.1789774042,569.916724430793,674.6544744231063,-532438.2573130692,-827189.6764186714
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",343616.5703669344,126971.70272277515,586.1881697603035,356.3308893749953,338.203977229901,147.4404363004605,-368011.5049854617,-160803.23259125225
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",132991.48410869154,15480.467269024297,364.6799749214255,124.42052591523755,251.58464493243105,73.00806388760354,-142432.553644721,-19604.34990055651
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",22420.806099956873,27980.630736258638,149.73578763928438,167.27411854874214,119.059494355769,133.82173475211997,-24011.628400974347,-35435.27246448046
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",22415.39673297974,27977.20544108932,149.7177235098762,167.26387966649978,119.05593744519989,133.84925768789978,-24005.834982195054,-35430.93447460327
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",21740.40990458369,25587.756930928244,147.44629498425414,159.96173583369318,118.59180230257367,129.0389934513615,-23282.92574273386,-32404.80010172113
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",5880.616566381889,4177.779656341122,76.68517827052298,64.63574596414217,61.18415929221928,36.920482024402965,-6297.125934794718,-5289.979306153518
3354,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",5848.153982517616,4269.979718450524,76.47322395791625,65.34508182296908,60.80761716839374,37.11681791806135,-6262.358587011011,-5406.74674263296
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",5298.389289325919,5887.921333835606,72.7900356458624,76.73279177662967,57.282024227531025,61.29391850414778,-5673.561947553285,-7455.800620468226
3317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",4701.971937627885,5696.522589423777,68.57092632907832,75.47531112505452,53.830684393802414,58.67443595593088,-5034.800425136585,-7213.402294273671
3320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",4539.0987339150615,5780.696331938163,67.37283379757052,76.03089064280493,54.743828972795974,62.47693630615955,-4860.363623007523,-7320.004740165984
2127,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",2250.932603531955,588.3133279093466,47.44399438845716,24.25517115811279,28.138064957059967,12.41437422997702,-2409.743303486957,-744.0736753859335
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",1060.042893823192,246.24535034846483,32.55829992218869,15.692206675559204,20.049604670276747,7.119689764771689,-1134.3033421273276,-310.8592075464567
2126,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",571.2715485995902,185.8232999551346,23.901287592922483,13.631702019745537,15.508727726118916,6.400757611508651,-610.8304289067245,-234.33726417846688
