,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},7.265815012597637e+20,0.09249764597452456,26955175778.684204,0.30413425649624637,17707146504.941082,0.2546322925619834,-4.0961528064923835e+20,0.9496843965076722
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",118003674791.1138,64584102592.99636,343516.62956997263,254134.02486285925,104909.75096256477,64984.32968173984,-66525377101.77137,-35131576200.10692
2944,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",105901339117.46637,1029929213.2063295,325424.8594030062,32092.51023535444,34411.951757863,2195.5510605580166,-59702602760.727325,-560246796.3198721
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",16259583630.837727,3915851206.566997,127513.07239196193,62576.762512669164,45977.190156404184,17554.093324307767,-9166451251.38916,-2130091144.2259355
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",15372333036.13141,3896500698.0262284,123985.21297369058,62421.95685835416,49920.60151987093,21015.19853671603,-8666257672.655453,-2119565119.4297976
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",2685176093.916801,1162158278.654274,51818.6847953207,34090.44262919263,28433.546631604182,14302.117372746445,-1513786349.7333214,-632174953.5950553
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",21503785.675104238,22842118.781988077,4637.217449624746,4779.342923665143,3470.474135988766,3563.774070195041,-12122904.949376494,-12425342.14738891
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",21503692.85071168,22842087.26845275,4637.207440983386,4779.3396268159,3470.477439953524,3563.783987550413,-12122852.618991612,-12425325.00508727
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",13662782.09210098,14707183.764963163,3696.3200743578714,3834.9946238506204,2846.9719747370045,3021.7353671940496,-7702485.660343014,-8000211.535251926
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",9497256.622742215,8847118.552107856,3081.761934793506,2974.410622645746,2273.2454534905287,2230.0174845540496,-5354142.245014407,-4812533.464283306
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",7332583.911830123,7784395.5362316985,2707.874426894667,2790.052962979681,2093.59355985022,2225.307387356694,-4133793.2291687606,-4234447.943018015
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",7332368.410004967,7784215.724205323,2707.8346349075614,2790.0207390278165,2093.5660268105726,2225.3180473292564,-4133671.738543912,-4234350.131332896
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",236365.68811834764,224217.42857946779,486.1745449098992,473.51602779575245,378.4028918618944,372.25124190247936,-133251.77000113588,-121965.72805685205
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",236362.7459602637,224225.30033768702,486.17151907558684,473.5243397521262,378.40068921872256,372.25318845421486,-133250.11133943425,-121970.01002815168
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",215557.38963721748,227255.65313525792,464.2815844261082,476.71338678000006,349.15784742180614,356.61218789818184,-121520.94970444076,-123618.41986818628
3317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",112952.22368303046,98141.48645431243,336.08365578086426,313.27541629421296,233.79463924669605,224.9929950287603,-63676.58706168731,-53384.66259235246
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",112283.30841849235,97076.12369071672,335.08701618906747,311.57041530080596,234.34437100748897,224.23045084,-63299.48151559335,-52805.14113725148
3320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",99184.06544670294,91172.68486617325,314.93501781590265,301.9481493007918,226.9697909625551,225.40745252396695,-55914.69388078707,-49593.86928262773
2127,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",74693.54886811857,22328.2368828711,273.3012053908994,149.42635939776858,136.00272756233483,53.538991429090906,-42107.997998510284,-12144.808705128882
3357,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",69151.86805583179,54424.536609730276,262.96742774692035,233.29066978713544,188.29867239295154,149.45116175702478,-38983.83761559709,-29604.11454597522
3354,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",68102.26634412298,52741.12267105986,260.9641093026453,229.65435478357438,189.104154142511,147.58087899471076,-38392.117486518524,-28688.394071586856
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",63413.34501558311,51083.09934193292,251.82006475970715,226.01570596295497,182.81358115881056,150.00801492066117,-35748.706083115074,-27786.48523347051
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",28173.85771551747,7876.27779106019,167.85070067032032,88.748395991478,104.51858095374449,41.487304894876026,-15882.204589030018,-4283.429794457247
2124,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",15558.858283653593,3394.809283493578,124.73515255794412,58.264991920479815,45.53955734647577,16.863217370247934,-8770.412555082377,-1845.6618911294304
3280,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",2374.6350276172493,2219.7423324849824,48.730227042537464,47.11414153399149,38.00997231475771,37.115519308760334,-1337.7167049952204,-1206.4650536210381
3286,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",2219.863943848967,2032.4453531924205,47.115432119943115,45.08265024588085,36.20657797819383,35.974168759338845,-1250.4634501240007,-1104.5818062571993
3283,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",2078.6478573646064,2627.5037276902717,45.592190749783086,51.25918188666565,36.176840747356835,40.601880911735535,-1170.8519174918226,-1428.2735165767153
2126,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",1962.7980972749585,403.1748396482885,44.303477259408865,20.07921411928984,29.884698238546257,9.990156623471073,-1105.5408245036424,-218.31353123746746
3284,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",1144.914175701831,989.7615496291149,33.836580437476705,31.460475991776015,23.547867611233478,22.492615672396695,-644.453181214053,-537.3969414400698
3287,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",1111.1189860505094,968.4842428145697,33.33345145721501,31.120479475974815,23.485198583259912,22.517270112066115,-625.4009123775645,-525.8228032900014
3281,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",1106.5248109253992,956.2480600433297,33.26446769340221,30.92326082487631,23.56822757378854,22.43607084892562,-622.8109147930389,-519.1667320560704
3318,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",593.9914892694521,528.3602709312637,24.37194061353039,22.986088639245775,17.93037020242291,15.481079782479338,-333.86675639073206,-286.41018880197464
1985,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",565.0468821432406,3.3483890439910535,23.770714800847713,1.8298603892076175,16.169006910352422,1.6326080198347108,-317.54903656063925,-0.8214108445733788
3315,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",546.6417156346503,521.8647876149003,23.380370305763986,22.844360083287523,16.994228203303965,15.21470005553719,-307.1729983161466,-282.8768646876811
3321,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",533.6602605522714,473.24341266052,23.101087865125994,21.754158514190337,16.818670057929516,14.447081290578515,-299.85461440796195,-256.4284745942708
2106,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",474.3628729727561,122.54337562580923,21.779873116544003,11.069931148196417,12.047834670484583,4.791892106115703,-266.4253074230789,-65.65946828849867
1965,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",418.69202431240365,3.876220954404277,20.461965309138897,1.9688120668068543,13.244072867841409,1.5026996700826447,-235.04048650697507,-1.1085336230521325
