,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.7923716957514174,0.9966210933136742,0.7907488986784141,0.996694214876033,0.744874715261959,0.996124031007752,0.8074074074074075,0.996124031007752,0.7748815165876777,0.996124031007752
1,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.7914733819306384,0.9179623796439024,0.7929515418502202,0.91900826446281,0.7627118644067796,0.9003831417624522,0.7777777777777778,0.9108527131782944,0.7701711491442542,0.9055876685934492
2,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7895172176815649,0.9749569957330833,0.7918502202643172,0.9735537190082644,0.7660098522167488,0.9548872180451128,0.7679012345679013,0.9844961240310076,0.7669543773119606,0.9694656488549618
3,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",0.7882507424588273,0.9937392489332708,0.789647577092511,0.993388429752066,0.7584541062801933,0.9884615384615384,0.7753086419753087,0.996124031007752,0.766788766788767,0.9922779922779924
4,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.788042117664384,0.9966210933136742,0.7907488986784141,0.996694214876033,0.7667493796526055,0.996124031007752,0.762962962962963,0.996124031007752,0.7648514851485149,0.996124031007752
5,XGBClassifier,"{'max_depth': 5, 'eta': 0.2, 'gamma': 0.01}",0.7872886139950421,0.9971181556195964,0.789647577092511,0.996694214876033,0.7635467980295566,0.9923076923076924,0.7654320987654321,1.0,0.7644882860665844,0.996138996138996
6,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7870799892005989,0.9971181556195964,0.7907488986784141,0.996694214876033,0.7721518987341772,0.9923076923076924,0.7530864197530864,1.0,0.7625,0.996138996138996
7,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7868394570846525,0.976844715501642,0.7907488986784141,0.9768595041322314,0.7735368956743003,0.9692307692307692,0.7506172839506173,0.9767441860465116,0.761904761904762,0.9729729729729728
8,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7865989249687063,0.9898632799410227,0.7907488986784141,0.9900826446280993,0.7749360613810742,0.9883720930232558,0.7481481481481481,0.9883720930232558,0.7613065326633166,0.9883720930232558
9,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7865351103257001,0.9797768246096106,0.788546255506608,0.9785123966942147,0.7603911980440098,0.9622641509433962,0.7679012345679013,0.9883720930232558,0.7641277641277641,0.9751434034416826
10,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",0.7860859534153106,0.9300370841990035,0.789647577092511,0.9305785123966942,0.7702020202020202,0.9122137404580152,0.7530864197530864,0.9263565891472868,0.7615480649188515,0.9192307692307692
