,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
0,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8379569785555666,0.9857330645001878,0.8382838283828383,0.9845644983461964,0.8050541516245487,0.9704433497536946,0.8352059925093633,0.9949494949494948,0.8198529411764707,0.9825436408977556
1,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8346093931258494,0.9640485085690566,0.834983498349835,0.9614112458654906,0.8014440433212996,0.9307875894988068,0.8314606741573034,0.9848484848484848,0.8161764705882353,0.9570552147239264
2,,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0}",0.834493387690166,0.9951076320939336,0.8366336633663366,0.9944873208379272,0.8134328358208955,0.9875311720698254,0.8164794007490637,1.0,0.8149532710280374,0.9937264742785444
3,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8342116602035067,0.9945393267311076,0.834983498349835,0.9944873208379272,0.8036363636363636,0.9924433249370276,0.8277153558052435,0.9949494949494948,0.8154981549815498,0.9936948297604036
4,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.833813927281164,0.9948234794125204,0.834983498349835,0.9944873208379272,0.8058608058608059,0.9899749373433584,0.8239700374531835,0.9974747474747476,0.8148148148148148,0.9937106918238994
5,,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.01}",0.8323390010274767,0.9945393267311076,0.8333333333333334,0.9944873208379272,0.8029197080291971,0.9924433249370276,0.8239700374531835,0.9949494949494948,0.8133086876155268,0.9936948297604036
6,,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.01}",0.8323390010274767,0.9948234794125204,0.8333333333333334,0.9944873208379272,0.8029197080291971,0.9899749373433584,0.8239700374531835,0.9974747474747476,0.8133086876155268,0.9937106918238994
7,,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.831941268105134,0.9235505742355058,0.8333333333333334,0.9228224917309812,0.8051470588235294,0.8975609756097561,0.8202247191011236,0.9292929292929292,0.8126159554730984,0.913151364764268
8,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.831261807696132,0.975095870643816,0.8316831683168316,0.9735391400220508,0.7978339350180506,0.9536585365853658,0.8277153558052435,0.9873737373737372,0.8125,0.9702233250620346
9,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.831261807696132,0.9812508648125088,0.8316831683168316,0.980154355016538,0.7978339350180506,0.9655172413793104,0.8277153558052435,0.98989898989899,0.8125,0.9775561097256856
