,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
0,0.0,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8185628996062159,0.921682098765432,0.8190224570673712,0.9206349206349206,0.7885714285714286,0.8905325443786982,0.8141592920353983,0.9290123456790124,0.8011611030478956,0.9093655589123866
1,1.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.01}",0.81302310482562,0.9976851851851852,0.8150594451783355,0.9973544973544972,0.7935103244837758,0.9938650306748468,0.7935103244837758,1.0,0.7935103244837757,0.9969230769230768
2,2.0,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",0.811908088806086,0.9266975308641976,0.8150594451783355,0.925925925925926,0.8006042296072508,0.8988095238095238,0.7817109144542773,0.9320987654320988,0.791044776119403,0.9151515151515152
3,3.0,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",0.8115481785719326,0.992283950617284,0.8137384412153237,0.992063492063492,0.7928994082840237,0.9877300613496932,0.7905604719764012,0.9938271604938272,0.7917282127031019,0.9907692307692308
5,4.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8106307603280123,0.9976851851851852,0.8124174372523117,0.9973544973544972,0.7888563049853372,0.9938650306748468,0.7935103244837758,1.0,0.7911764705882353,0.9969230769230768
7,5.0,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.01}",0.809713342084092,0.9976851851851852,0.8110964332892999,0.9973544973544972,0.7848837209302325,0.9938650306748468,0.7964601769911505,1.0,0.7906295754026355,0.9969230769230768
8,6.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8093534318499386,0.9942129629629628,0.809775429326288,0.9933862433862434,0.7777777777777778,0.9848024316109424,0.8053097345132744,1.0,0.7913043478260869,0.9923430321592648
9,7.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8085171698352881,0.991898148148148,0.809775429326288,0.9907407407407408,0.782608695652174,0.9788519637462236,0.7964601769911505,1.0,0.7894736842105263,0.9893129770992368
13,9.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.8070422435816008,0.8939043209876543,0.808454425363276,0.8928571428571429,0.7819767441860465,0.8563049853372434,0.7935103244837758,0.9012345679012346,0.7877013177159591,0.8781954887218045
14,8.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8070422435816008,0.9876543209876544,0.808454425363276,0.9867724867724867,0.7819767441860465,0.9757575757575756,0.7935103244837758,0.9938271604938272,0.7877013177159591,0.9847094801223242
15,10.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.8064741499767117,0.9074074074074074,0.7992073976221928,0.8968253968253969,0.7297297297297297,0.8153846153846154,0.8761061946902655,0.9814814814814816,0.7962466487935658,0.8907563025210083
18,11.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.806403579342564,0.9830246913580248,0.8071334214002642,0.9828042328042328,0.7765042979942693,0.9755351681957186,0.799410029498525,0.984567901234568,0.7877906976744187,0.9800307219662058
19,12.0,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0}",0.8062059815669503,0.9976851851851852,0.808454425363276,0.9973544973544972,0.7869822485207101,0.9938650306748468,0.7846607669616519,1.0,0.7858197932053176,0.9969230769230768
20,13.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.1}",0.8061248253376805,0.9976851851851852,0.8071334214002642,0.9973544973544972,0.7780979827089337,0.9938650306748468,0.7964601769911505,1.0,0.7871720116618076,0.9969230769230768
21,15.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8055673173279135,0.9976851851851852,0.8071334214002642,0.9973544973544972,0.7813411078717201,0.9938650306748468,0.7905604719764012,1.0,0.7859237536656891,0.9969230769230768
22,14.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8055673173279135,0.9864969135802468,0.8071334214002642,0.9854497354497356,0.7813411078717201,0.972809667673716,0.7905604719764012,0.9938271604938272,0.7859237536656891,0.9832061068702288
24,16.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.80528856332303,0.9976851851851852,0.8071334214002642,0.9973544973544972,0.782991202346041,0.9938650306748468,0.7876106194690266,1.0,0.7852941176470589,0.9969230769230768
26,17.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0}",0.8050098093181466,0.9972993827160492,0.8071334214002642,0.9973544973544972,0.7846607669616519,0.9969135802469136,0.7846607669616519,0.9969135802469136,0.7846607669616518,0.9969135802469136
27,18.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'lbfgs'}",0.804731055313263,0.9976851851851852,0.8071334214002642,0.9973544973544972,0.7863501483679525,0.9938650306748468,0.7817109144542773,1.0,0.7840236686390533,0.9969230769230768
28,19.0,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05}",0.8046498990839932,0.976466049382716,0.8058124174372523,0.9761904761904762,0.7774566473988439,0.9664634146341464,0.7935103244837758,0.9783950617283952,0.7854014598540147,0.9723926380368098
29,20.0,XGBClassifier,"{'max_depth': 5, 'eta': 0.2, 'gamma': 0.1}",0.8043711450791097,0.9972993827160492,0.8058124174372523,0.9973544973544972,0.7790697674418605,0.9969135802469136,0.7905604719764012,0.9969135802469136,0.7847730600292827,0.9969135802469136
31,22.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.1}",0.8040923910742261,0.9972993827160492,0.8058124174372523,0.9973544973544972,0.7807017543859649,0.9969135802469136,0.7876106194690266,0.9969135802469136,0.7841409691629955,0.9969135802469136
32,21.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8040923910742261,0.9745370370370372,0.8058124174372523,0.9722222222222222,0.7807017543859649,0.9469026548672568,0.7876106194690266,0.9907407407407408,0.7841409691629955,0.9683257918552036
33,23.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8040112348449563,0.9760802469135802,0.8044914134742405,0.9748677248677248,0.7720797720797721,0.957957957957958,0.799410029498525,0.984567901234568,0.7855072463768116,0.9710806697108066
34,24.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'adam'}",0.8039300786156864,0.9347993827160492,0.8031704095112285,0.9312169312169312,0.7638888888888888,0.8885714285714286,0.8112094395280236,0.9598765432098766,0.7868383404864091,0.9228486646884274
35,25.0,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05}",0.8035348830644592,0.8900462962962963,0.8058124174372523,0.8915343915343915,0.7840236686390533,0.8689024390243902,0.7817109144542773,0.8796296296296297,0.7828655834564255,0.8742331288343559
36,26.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'adam'}",0.8035242974693371,0.902006172839506,0.7965653896961691,0.8915343915343915,0.7283950617283951,0.8102564102564103,0.8702064896755162,0.9753086419753086,0.793010752688172,0.8851540616246498
37,27.0,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.01}",0.8031749728303058,0.9972993827160492,0.8044914134742405,0.9973544973544972,0.7768115942028986,0.9969135802469136,0.7905604719764012,0.9969135802469136,0.7836257309941521,0.9969135802469136
38,28.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8026174648205389,0.9672067901234568,0.8044914134742405,0.9656084656084656,0.7800586510263929,0.9434523809523808,0.7846607669616519,0.9783950617283952,0.7823529411764706,0.9606060606060606
39,29.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8026174648205389,0.9857253086419752,0.8044914134742405,0.9854497354497356,0.7800586510263929,0.9785932721712538,0.7846607669616519,0.9876543209876544,0.7823529411764706,0.9831029185867896
40,30.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.8025715939083429,0.8699845679012346,0.7992073976221928,0.8650793650793651,0.7467018469656992,0.804945054945055,0.8348082595870207,0.904320987654321,0.7883008356545962,0.8517441860465117
42,32.0,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.01}",0.8023387108156554,0.9976851851851852,0.8044914134742405,0.9973544973544972,0.7817109144542773,0.9938650306748468,0.7817109144542773,1.0,0.7817109144542773,0.9969230769230768
43,31.0,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.1}",0.8023387108156554,0.9976851851851852,0.8044914134742405,0.9973544973544972,0.7817109144542773,0.9938650306748468,0.7817109144542773,1.0,0.7817109144542773,0.9969230769230768
45,33.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8020599568107719,0.9934413580246914,0.8044914134742405,0.9933862433862434,0.7833827893175074,0.9907692307692308,0.7787610619469026,0.9938271604938272,0.7810650887573964,0.9922958397534668
46,34.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.8020140858985759,0.8638117283950617,0.7992073976221928,0.8597883597883598,0.7493333333333333,0.8027777777777778,0.8289085545722714,0.8919753086419753,0.7871148459383753,0.8450292397660818
