,model,hyperparams,roc_auc,accuracy,precision,recall,f1
145,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.6606284582836063,0.6335048599199543,0.5317164179104478,0.8039492242595204,0.6400898371701291
60,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6597476131062168,0.6781017724413951,0.6119631901840491,0.5627644569816643,0.586333578251286
31,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6597157426494521,0.6775300171526587,0.6103500761035008,0.5655853314527504,0.5871156661786238
78,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6590105240316806,0.6769582618639223,0.6097560975609756,0.5641748942172073,0.5860805860805861
35,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6584009167842031,0.6781017724413951,0.6140625,0.5543018335684062,0.5826538176426983
176,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 7}",0.6576014429857873,0.6718124642652945,0.597684515195369,0.5825105782792666,0.5900000000000001
29,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6575349896929585,0.6786735277301315,0.6172248803827751,0.5458392101551481,0.5793413173652695
40,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6550023055224042,0.6775300171526587,0.6178861788617886,0.535966149506347,0.5740181268882176
74,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.654682244765108,0.6758147512864494,0.6130573248407644,0.5430183356840621,0.5759162303664922
55,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6546198600412282,0.6706689536878216,0.5985185185185186,0.5698166431593794,0.5838150289017341
153,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200}",0.6545005153520669,0.6443682104059463,0.5474372955288986,0.7080394922425952,0.6174661746617467
189,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6544618639470543,0.6638078902229846,0.582089552238806,0.6050775740479548,0.5933609958506224
67,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.654425924921341,0.675242995997713,0.6117274167987322,0.5444287729196051,0.5761194029850748
130,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.6539892318541825,0.6392224128073185,0.540625,0.7320169252468265,0.621929298981426
28,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6537539329499837,0.6712407089765581,0.6012084592145015,0.5613540197461213,0.5805981035740336
