,model,hyperparams,mse,rmse,mae,r2
81,LinearRegression,{'fit_intercept': True},4549165084601503.0,67447498.72753994,42596639.73619267,-4939348238869820.0
387,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",42706.1632372467,206.65469565738567,171.88128445323463,-46368.082733180156
384,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",42684.09509485581,206.60129499801255,171.87072064980052,-46344.12180008003
381,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",42678.49768748584,206.5877481543517,171.86957713922303,-46338.04430152349
351,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",414.9050962292759,20.36921933283836,16.938824031891063,-449.49162170330584
348,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",413.7898209859924,20.341824426191284,16.953673293924616,-448.28068899228725
345,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",413.5887547248499,20.336881637184444,16.95367354017907,-448.0623772220172
172,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 7}",197.44106575859408,14.051372379899199,6.814481544668374,-213.37564087009173
160,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 7}",107.7894686504593,10.382170709945935,5.946690320739021,-116.03460134905127
158,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 3}",57.10769671873599,7.556963458872617,2.1303187797143384,-61.0058397459343
171,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 5}",31.93614017191594,5.651206965942403,3.285465342016418,-33.675311794773165
170,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 2.0, 'max_depth': 3}",28.38578659720658,5.327831322142864,1.910404417388429,-29.82044340673312
159,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 2.0, 'max_depth': 5}",17.08125070348247,4.132946975643708,2.892460899815841,-17.546314326012354
148,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 7}",10.934159367592448,3.3066840441131427,2.404261970649242,-10.87198525695417
82,LinearRegression,{'fit_intercept': False},8.255242887344863,2.873193847853789,1.701503182923454,-7.963297365283747
365,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",7.136996274537692,2.6715157260509796,1.5947267227810082,-6.749138429551239
364,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",7.136996274537692,2.6715157260509796,1.5947267227810082,-6.749138429551239
363,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",7.136996274537692,2.6715157260509796,1.5947267227810082,-6.749138429551239
147,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 5}",5.215774962458247,2.283807120239852,1.619815095409883,-4.663133431310988
366,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",5.045551080916524,2.2462304158114597,1.4148890465348465,-4.478309400116185
367,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",5.045551080916524,2.2462304158114597,1.4148890465348465,-4.478309400116185
368,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",5.045551080916524,2.2462304158114597,1.4148890465348465,-4.478309400116185
315,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",4.704287311225999,2.1689369080787015,1.8089013461442034,-4.107775342005909
146,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 2.0, 'max_depth': 3}",3.2557027155591376,1.8043565932373615,1.243042689239211,-2.534945242768517
312,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",3.252047554786366,1.8033434378360562,1.4929762922012912,-2.5309765778398936
309,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",3.1998390014732125,1.7888093809775296,1.4805735420224806,-2.4742900823917173
329,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",2.7970096214755165,1.6724262678741675,1.1455207703052912,-2.0369099144590037
327,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",2.7970096214755165,1.6724262678741675,1.1455207703052912,-2.0369099144590037
328,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",2.7970096214755165,1.6724262678741675,1.1455207703052912,-2.0369099144590037
332,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",2.4612001655180946,1.5688212662754462,1.096177045043211,-1.6722979880873714
331,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",2.4612001655180946,1.5688212662754462,1.096177045043211,-1.6722979880873714
330,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",2.4612001655180946,1.5688212662754462,1.096177045043211,-1.6722979880873714
18,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.3437952534998223,1.1592218310141602,0.8758924611499893,-0.45905294605447367
0,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.3337212062966743,1.1548684800862279,0.8747722587910153,-0.44811484502147514
157,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 7}",1.3325784087273405,1.1543736001517622,0.8700224016991555,-0.44687402938684806
145,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 7}",1.328900340614201,1.1527793980698133,0.860521671601077,-0.4428804923489038
19,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.3017802551582196,1.1409558515377445,0.8625189240544455,-0.4134343096222255
22,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2901293037871433,1.1358385905519954,0.8521579667297013,-0.4007840529123341
1,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2768131479624674,1.1299615692413911,0.8575439746434859,-0.38632576669982344
7,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.273587687826412,1.1285334234423063,0.8591588117172384,-0.38282365795101225
10,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2690964437621803,1.1265418073743114,0.8395695054852015,-0.3779471986345351
6,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2629681759454796,1.1238185689627485,0.8569274330491965,-0.37129330758314105
3,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2593019872101037,1.1221862533510663,0.8455031976714431,-0.3673126688204944
293,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.2520963045944045,1.1189710919386633,0.8422334775769944,-0.35948895280320103
291,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.2520963045944045,1.1189710919386633,0.8422334775769944,-0.35948895280320103
292,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.2520963045944045,1.1189710919386633,0.8422334775769944,-0.35948895280320103
24,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2514273611027904,1.1186721419177248,0.8484100973388473,-0.3587626338423018
169,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 7}",1.2511658193283546,1.1185552374953838,0.8294451469270818,-0.3584786595571472
