Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.01}",0.8506415396952686,0.9417813531901691,0.8514851485148515,0.9413223140495868,0.8134328358208955,0.923217550274223,0.8449612403100775,0.9456928838951311,0.8288973384030418,0.9343200740055504,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.8506415396952686,0.9447870265718147,0.8514851485148515,0.943801652892562,0.8134328358208955,0.9221014492753623,0.8449612403100775,0.9531835205992509,0.8288973384030418,0.9373848987108656,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.8506415396952686,0.9447870265718147,0.8514851485148515,0.943801652892562,0.8134328358208955,0.9221014492753623,0.8449612403100775,0.9531835205992509,0.8288973384030418,0.9373848987108656,0.8,Fingerprints
,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.1}",0.8496391339214114,0.9643086674201626,0.8514851485148515,0.9636363636363636,0.8181818181818182,0.9487179487179487,0.8372093023255814,0.9700374531835206,0.8275862068965518,0.9592592592592591,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.1}",0.8467655707030206,0.9481389756886731,0.8481848184818482,0.947107438016529,0.8120300751879699,0.9257246376811594,0.8372093023255814,0.9569288389513109,0.8244274809160306,0.9410681399631675,0.8,Fingerprints
,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05}",0.8457631649291633,0.9909275757374288,0.8481848184818482,0.9900826446280991,0.816793893129771,0.9797794117647058,0.8294573643410853,0.99812734082397,0.823076923076923,0.9888682745825603,0.8,Fingerprints
,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.05}",0.8457631649291633,0.9909275757374288,0.8481848184818482,0.9900826446280991,0.816793893129771,0.9797794117647058,0.8294573643410853,0.99812734082397,0.823076923076923,0.9888682745825603,0.8,Fingerprints
,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05}",0.8457631649291633,0.9901879307670147,0.8481848184818482,0.9892561983471074,0.816793893129771,0.9779816513761468,0.8294573643410853,0.99812734082397,0.823076923076923,0.9879518072289157,0.8,Fingerprints
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,Descriptors
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 0.1}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,DescFing
