Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'lbfgs'}",0.7242365798778527,0.9109830150488428,0.728310502283105,0.9113272311212814,0.6666666666666666,0.8783783783783784,0.6994535519125683,0.9090909090909091,0.6826666666666666,0.8934707903780069,0.8,DescFing
,SVC,"{'C': 10, 'kernel': 'poly', 'gamma': 'scale'}",0.7235294117647058,0.9229753789289122,0.7328767123287672,0.9267734553775744,0.6853932584269663,0.9174964438122333,0.6666666666666666,0.9020979020979021,0.6759002770083102,0.9097320169252469,0.8,DescFing
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 200, 'solver': 'lbfgs'}",0.722757955641273,0.9287850581171007,0.7328767123287672,0.931350114416476,0.6875,0.9172510518934082,0.6612021857923497,0.9146853146853147,0.6740947075208913,0.9159663865546219,0.8,DescFing
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.7221150755384121,0.8421293130876868,0.7420091324200914,0.8541189931350115,0.7333333333333333,0.8538461538461538,0.6010928961748634,0.7762237762237763,0.6606606606606606,0.8131868131868132,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.7221150755384121,0.8421293130876868,0.7420091324200914,0.8541189931350115,0.7333333333333333,0.8538461538461538,0.6010928961748634,0.7762237762237763,0.6606606606606606,0.8131868131868132,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 3, 'eta': 0.2, 'gamma': 0.1}",0.7216329154612666,0.9584217331555183,0.7351598173515982,0.9605263157894737,0.7005988023952096,0.9562146892655368,0.639344262295082,0.9468531468531468,0.6685714285714286,0.9515108924806747,0.8,DescFing
,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0}",0.721279331404693,0.9846167385373581,0.7374429223744292,0.9851258581235698,0.7125,0.9818181818181818,0.6229508196721312,0.9818181818181818,0.6647230320699709,0.9818181818181818,0.8,Descriptors
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.7144326583092253,0.8118014608818095,0.7168949771689498,0.8106407322654462,0.649746192893401,0.7442748091603053,0.6994535519125683,0.8181818181818182,0.6736842105263158,0.7794803464357094,0.8,Descriptors
,SVC,"{'C': 0.1, 'kernel': 'poly', 'gamma': 0.05}",0.7138540662166506,0.9174330993304857,0.730593607305936,0.9250572082379863,0.7044025157232704,0.937125748502994,0.6120218579234973,0.8755244755244755,0.6549707602339181,0.9052783803326103,0.8,Fingerprints
,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7131468981035037,0.8061975778335895,0.7351598173515982,0.8220823798627003,0.7310344827586207,0.8237179487179487,0.5792349726775956,0.7188811188811188,0.6463414634146342,0.7677371172516803,0.8,Fingerprints
