Unnamed: 0,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.4698958311454784,0.09823019485210066,0.6854894828846598,0.31341696643943934,0.5056518868902522,0.183502258165695,0.4758347946891285,0.8940537966481601,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.4744982569048551,0.1576584635851592,0.6888383387303983,0.39706229181975866,0.50989854154828,0.24214558219363247,0.4707008239594651,0.8299574212564567,0.8,Fingerprints
,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.4750375532419135,0.08018597422704732,0.6892296810511815,0.28317128072431236,0.5078022655381645,0.16601299577407205,0.4700992430206674,0.9135153957068377,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4778986907894075,0.20123455353836492,0.6913021703925191,0.4485917448397428,0.5102928019210125,0.29034347661200177,0.46690766597187994,0.7829584175956015,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.4792433801275942,0.0976890132436595,0.6922740643181674,0.3125524167938228,0.5194742472576138,0.18853221409697518,0.46540767530094385,0.8946374882190107,0.8,Fingerprints
,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.48047687670837147,0.3042242405072528,0.6931643937107355,0.5515652640506405,0.5365425106547703,0.4259587103130577,0.46403171930036125,0.6718788627278063,0.8,Fingerprints
,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1}",0.4809282789839386,0.09656637473980567,0.693489927096233,0.310751306899594,0.5066795388647125,0.1303226824117964,0.46352818351483693,0.8958483102824198,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.4821319192412179,0.20018103866280512,0.6943571985953756,0.44741595709451976,0.5111243881878736,0.25873180353771286,0.462185532014739,0.7840946863509297,0.8,Fingerprints
,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.4829658088412191,0.300327432383745,0.6949574151278761,0.5480213794951297,0.5378729199566777,0.4225240573501537,0.4612553345445344,0.6760817661883751,0.8,Fingerprints
,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.4831119936189922,0.04460123308318743,0.695062582519727,0.21119004020830962,0.5185864032149906,0.1353573501446385,0.4610922665431265,0.9518953279377198,0.8,DescFing
,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.48332950966676874,0.15688175116192343,0.695219037186676,0.39608301044342137,0.5108314613596462,0.20112692083860267,0.46084962905565774,0.8307951446516096,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.483988629491655,0.09508809002338854,0.6956929132107463,0.3083635679249229,0.518329618069639,0.13542736858761067,0.4601143859327431,0.8974427146650361,0.8,Fingerprints
,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05}",0.48518645361999857,0.07780847375943156,0.6965532668934936,0.27894170315575184,0.5084590648953076,0.10810709610029223,0.4587782222799842,0.9160796494822717,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.48659295949657716,0.10860499585851603,0.6975621545759039,0.329552720908986,0.523430409359952,0.24409009908386714,0.4572092757333196,0.8828640522033332,0.8,DescFing
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4866611302288202,0.10693225005757342,0.6976110164187634,0.32700496946923213,0.5237255583070126,0.24317421340369383,0.45713323180295484,0.8846681926415094,0.8,DescFing
,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}",0.48739885505980385,0.05882650194172926,0.6981395670349904,0.2425417529864276,0.5170120434096407,0.1650525377453762,0.4563103053970047,0.9365526603446153,0.8,DescFing
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.48987425905605025,0.02424246776501939,0.6999101792773486,0.15569992859670614,0.5235735569290048,0.10782407589554509,0.45354901117407687,0.973853279804135,0.8,Fingerprints
,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.490044916700837,0.09092556228289587,0.7000320826225302,0.30153865802396856,0.5174299380451437,0.20836858244071021,0.45335864387671354,0.9019322100907136,0.8,DescFing
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.4900478255513676,0.024047172854119767,0.7000341602746023,0.15507150884066281,0.5238623475382921,0.10755095855338608,0.45335539907619704,0.9740639151833573,0.8,Fingerprints
