model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}",0.8139413906710595,0.9895282375959022,0.8157894736842105,0.9897134459955915,0.835820895522388,0.988135593220339,0.7671232876712328,0.988135593220339,0.8,0.988135593220339,0.9,Fingerprints
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8545170799375759,0.9618490184440194,0.8552631578947368,0.9610580455547392,0.8591549295774648,0.943801652892562,0.8356164383561644,0.9677966101694915,0.8472222222222222,0.9556485355648535,0.9,Fingerprints
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8571180856597884,0.8780441425399548,0.8552631578947368,0.8670095518001469,0.8148148148148148,0.7820689655172414,0.9041095890410958,0.9610169491525423,0.8571428571428571,0.8623574144486692,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.8228715103173228,0.8507265492756492,0.8223684210526315,0.8434974283614989,0.8026315789473685,0.7727930535455861,0.8356164383561644,0.9050847457627119,0.8187919463087249,0.8337236533957846,0.9,Descriptors
SVC,"{'C': 0.01, 'kernel': 'poly', 'gamma': 0.05}",0.8808739379226634,0.8734320385148058,0.881578947368421,0.8721528288023512,0.8873239436619719,0.8322683706070287,0.863013698630137,0.8830508474576271,0.875,0.8569078947368421,0.9,Descriptors
SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05}",0.8676955089301196,0.8875442414649697,0.868421052631579,0.8861131520940485,0.8732394366197183,0.848,0.8493150684931506,0.8983050847457628,0.861111111111111,0.8724279835390946,0.9,Descriptors
LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8271198196636034,0.8433214623315528,0.8289473684210527,0.8457016899338722,0.8507462686567164,0.8198653198653199,0.7808219178082192,0.8254237288135593,0.8142857142857143,0.8226351351351351,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.8339691347320964,0.8599760381630723,0.8355263157894737,0.8618662747979426,0.8529411764705882,0.837248322147651,0.7945205479452054,0.8457627118644068,0.8226950354609929,0.8414839797639124,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8334489335876539,0.84765437798149,0.8355263157894737,0.8479059515062454,0.8636363636363636,0.8113821138211382,0.7808219178082192,0.8457627118644068,0.8201438848920863,0.8282157676348547,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8265996185191608,0.8526434962298578,0.8289473684210527,0.8537839823659075,0.8615384615384616,0.8231404958677686,0.7671232876712328,0.8440677966101695,0.8115942028985507,0.8334728033472804,0.9,DescFing
