model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.35587426019562013,0.22576504558138824,0.5965519761057038,0.47514739353319435,0.4275649470984658,0.26935151982117,0.80475335917639,0.8744539332459627,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.3609752607418592,0.22431031346349478,0.6008121676047009,0.47361409761903706,0.42998973676155705,0.2995767634793974,0.8019547492939414,0.8752628976944316,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.42002225550718847,0.23104032684385087,0.6480912401099003,0.4806665443359366,0.47338542801570216,0.2968928986628839,0.7695592414751893,0.8715203931498069,0.9,DescFing
SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.45406330613948515,0.04023796007370834,0.6738421967638158,0.2005940180406892,0.4703744026218655,0.11330895622053894,0.750882979858491,0.9776240045997779,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.45406330613953977,0.04023796007369746,0.6738421967638564,0.20059401804066207,0.47037440262185276,0.1133089562205194,0.7508829798584611,0.9776240045997839,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4543627730965208,0.041902451994741144,0.6740643686596413,0.204700884206056,0.46733941964105996,0.11584527652867088,0.7507186804866659,0.9766983944669453,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.4586801224764471,0.035439404374995896,0.6772592727135208,0.1882535640432762,0.46520238741144143,0.0395099486205702,0.7483500125104285,0.9802924415693811,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'sgd'}",0.4660540591475804,0.2858883864303604,0.6826815210239547,0.5346853153307658,0.48311320779601385,0.40783066747983854,0.7443043803146823,0.841019842754839,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.4662757835476378,0.19000417436133457,0.682843893981368,0.4358946826486125,0.4887257982502444,0.33257585071107565,0.7441827335727232,0.8943402567191723,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.5016029698944015,0.1188196766200991,0.7082393450623888,0.34470230144299746,0.5159197865912252,0.25425541873389657,0.724800847228474,0.9339253646895379,0.9,Fingerprints
