model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.01}",0.7613058943089431,0.9752068327036486,0.771689497716895,0.9766141331977631,0.7738095238095238,0.9748743718592965,0.6770833333333334,0.9675810473815462,0.7222222222222222,0.9712140175219023,0.9,Descriptors
XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.7613058943089431,0.9752068327036486,0.771689497716895,0.9766141331977631,0.7738095238095238,0.9748743718592965,0.6770833333333334,0.9675810473815462,0.7222222222222222,0.9712140175219023,0.9,Descriptors
GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.7531758130081302,0.9823402866224995,0.7625570776255708,0.9832231825114387,0.7558139534883721,0.981226533166458,0.6770833333333334,0.9775561097256857,0.7142857142857142,0.9793878825733916,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.7496189024390244,0.8338927359712308,0.7534246575342466,0.8322318251143874,0.71875,0.7681818181818182,0.71875,0.8428927680798005,0.71875,0.8038049940546969,0.9,Descriptors
GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.738694105691057,0.9833522417133131,0.7488584474885844,0.983731570920183,0.7411764705882353,0.9788557213930348,0.65625,0.9812967581047382,0.6961325966850829,0.9800747198007472,0.9,DescFing
GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.7339939024390244,0.9833522417133131,0.7397260273972602,0.983731570920183,0.7096774193548387,0.9788557213930348,0.6875,0.9812967581047382,0.6984126984126984,0.9800747198007472,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 200, 'solver': 'lbfgs'}",0.7322154471544716,0.8835379362751918,0.7351598173515982,0.8845958312150483,0.6938775510204082,0.8451380552220888,0.7083333333333334,0.8778054862842892,0.7010309278350516,0.8611620795107034,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.7235772357723577,0.7544127877730566,0.730593607305936,0.759023894255211,0.7032967032967034,0.6947743467933492,0.6666666666666666,0.729426433915212,0.6844919786096256,0.7116788321167883,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.7085873983739837,0.8038594500872284,0.7214611872146118,0.8210472801220132,0.7160493827160493,0.8260869565217391,0.6041666666666666,0.7107231920199502,0.655367231638418,0.7640750670241289,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.6392276422764228,0.6973456915650786,0.6666666666666666,0.7280122013218099,0.7017543859649122,0.7282051282051282,0.4166666666666667,0.5311720698254364,0.522875816993464,0.6142754145638067,0.9,DescFing
