model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
SVC,"{'C': 0.01, 'kernel': 'poly', 'gamma': 0.05}",0.8808739379226634,0.8734320385148058,0.881578947368421,0.8721528288023512,0.8873239436619719,0.8322683706070287,0.863013698630137,0.8830508474576271,0.875,0.8569078947368421,0.9,Descriptors
SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05}",0.8676955089301196,0.8875442414649697,0.868421052631579,0.8861131520940485,0.8732394366197183,0.848,0.8493150684931506,0.8983050847457628,0.861111111111111,0.8724279835390946,0.9,Descriptors
LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8613663950060689,0.9560641034096155,0.8618421052631579,0.9551800146950772,0.8611111111111112,0.9357495881383855,0.8493150684931506,0.9627118644067797,0.8551724137931035,0.9490392648287386,0.9,Fingerprints
LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8613663950060689,0.9569115610367341,0.8618421052631579,0.9559147685525349,0.8611111111111112,0.9358552631578947,0.8493150684931506,0.964406779661017,0.8551724137931035,0.9499165275459098,0.9,Fingerprints
SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8608461938616265,0.9070434610565192,0.8618421052631579,0.9059515062454078,0.8714285714285714,0.8737864077669902,0.8356164383561644,0.9152542372881356,0.8531468531468531,0.8940397350993378,0.9,Descriptors
LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.8608461938616265,0.9003671217217349,0.8618421052631579,0.9015429831006613,0.8714285714285714,0.8825503355704698,0.8356164383561644,0.8915254237288136,0.8531468531468531,0.8870151770657673,0.9,Descriptors
RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.860325992717184,0.9791004418650664,0.8618421052631579,0.9772226304188097,0.8823529411764706,0.9559543230016313,0.821917808219178,0.9932203389830508,0.8510638297872339,0.9742310889443059,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8571180856597884,0.8780441425399548,0.8552631578947368,0.8670095518001469,0.8148148148148148,0.7820689655172414,0.9041095890410958,0.9610169491525423,0.8571428571428571,0.8623574144486692,0.9,Descriptors
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8571180856597884,0.8780441425399548,0.8552631578947368,0.8670095518001469,0.8148148148148148,0.7820689655172414,0.9041095890410958,0.9610169491525423,0.8571428571428571,0.8623574144486692,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.8571180856597884,0.8809481413088879,0.8552631578947368,0.8743570903747244,0.8148148148148148,0.8085419734904271,0.9041095890410958,0.9305084745762712,0.8571428571428571,0.8652482269503546,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.8565978845153459,0.8810877354964937,0.8552631578947368,0.8706833210874357,0.8227848101265823,0.7883008356545961,0.8904109589041096,0.9593220338983051,0.855263157894737,0.8654434250764527,0.9,DescFing
MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.8565978845153459,0.8840357009386883,0.8552631578947368,0.8758265980896399,0.8227848101265823,0.8028776978417266,0.8904109589041096,0.9457627118644067,0.855263157894737,0.8684824902723735,0.9,DescFing
XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.8555574822264608,0.9453417309679264,0.8552631578947368,0.9441587068332109,0.84,0.9199346405228758,0.863013698630137,0.9542372881355933,0.8513513513513513,0.9367720465890184,0.9,Fingerprints
XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.01}",0.8550372810820183,0.9182153927323089,0.8552631578947368,0.9177075679647319,0.8493150684931506,0.8918032786885246,0.8493150684931506,0.9220338983050848,0.8493150684931505,0.9066666666666666,0.9,Fingerprints
LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.8550372810820183,0.9741190177845193,0.8552631578947368,0.9742836149889786,0.8493150684931506,0.9679595278246206,0.8493150684931506,0.9728813559322034,0.8493150684931505,0.970414201183432,0.9,Fingerprints
XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.8550372810820183,0.9150245114203432,0.8552631578947368,0.9147685525349009,0.8493150684931506,0.8898026315789473,0.8493150684931506,0.9169491525423729,0.8493150684931505,0.9031719532554258,0.9,Fingerprints
SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 0.05}",0.8545170799375759,0.8718921057838158,0.8552631578947368,0.8728875826598089,0.8591549295774648,0.845771144278607,0.8356164383561644,0.864406779661017,0.8472222222222222,0.8549874266554903,0.9,Descriptors
XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0}",0.8545170799375759,0.9654894589900854,0.8552631578947368,0.964731814842028,0.8591549295774648,0.9486754966887417,0.8356164383561644,0.9711864406779661,0.8472222222222222,0.9597989949748744,0.9,Fingerprints
XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.01}",0.8545170799375759,0.9329244432719999,0.8552631578947368,0.9316678912564291,0.8591549295774648,0.9040650406504065,0.8356164383561644,0.9423728813559322,0.8472222222222222,0.9228215767634854,0.9,Fingerprints
XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.1}",0.8545170799375759,0.9646420013629668,0.8552631578947368,0.9639970609845702,0.8591549295774648,0.9485903814262023,0.8356164383561644,0.9694915254237289,0.8472222222222222,0.9589270746018442,0.9,Fingerprints
SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",0.8545170799375759,0.8718921057838158,0.8552631578947368,0.8728875826598089,0.8591549295774648,0.845771144278607,0.8356164383561644,0.864406779661017,0.8472222222222222,0.8549874266554903,0.9,Descriptors
SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 0.1}",0.8545170799375759,0.8718921057838158,0.8552631578947368,0.8728875826598089,0.8591549295774648,0.845771144278607,0.8356164383561644,0.864406779661017,0.8472222222222222,0.8549874266554903,0.9,Descriptors
SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8545170799375759,0.9845907801886171,0.8552631578947368,0.9845701689933872,0.8591549295774648,0.9797639123102867,0.8356164383561644,0.9847457627118644,0.8472222222222222,0.9822485207100592,0.9,Fingerprints
