model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.40026036038310625,0.050602834474051686,0.6326613315061276,0.2249507378828789,0.4716272485289933,0.1433573006905876,0.5563564401283552,0.9451817305978916,0.9,DescFing
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4032060640705749,0.10830013992932805,0.6349850896442962,0.329089866038637,0.4733301578892171,0.24497002605458226,0.5530914591320237,0.8826779901039683,0.9,DescFing
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4041791227646686,0.11017583408230419,0.6357508338686381,0.3319274530410285,0.4749024491163483,0.24622499699149966,0.5520129330881292,0.8806460425171877,0.9,DescFing
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4044981593251972,0.1083337482818333,0.6360016975804367,0.3291409246536099,0.47880176329579754,0.23887908157123533,0.5516593169685948,0.8826415820303704,0.9,DescFing
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.40565090086991956,0.11729625793190518,0.6369072937798087,0.34248541272863753,0.48017301583016747,0.2494011088913059,0.5503816327082222,0.8729324565708356,0.9,DescFing
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.40581401242320875,0.1085556795362671,0.6370353305925887,0.329477889298003,0.4754046355718661,0.24569164310964436,0.5502008419097326,0.8824011629427688,0.9,DescFing
GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}",0.4064327920107914,0.0657141241755277,0.6375208169234879,0.25634766270736253,0.4723842972195164,0.17247839968849005,0.5495149943810183,0.9288116051201657,0.9,DescFing
XGBRegressor,"{'max_depth': None, 'eta': 0.1, 'gamma': 0}",0.4103324774251538,0.04674732529427119,0.6405719923827093,0.21621129779516887,0.481359029905318,0.15593998840081955,0.5451926320118059,0.9493584203643094,0.9,DescFing
GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.41342250991004825,0.09975541536469978,0.6429794008442636,0.3158408069972906,0.48176292601843895,0.22134220965378568,0.5417676787878457,0.891934527173859,0.9,DescFing
SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.4144492845381169,0.10409180255286346,0.6437773563415514,0.3226326123516708,0.479852630961752,0.18929873357837215,0.5406296146769098,0.8872369001815509,0.9,Fingerprints
