,model,hyperparams,roc_auc,accuracy,precision,recall,f1
189,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.7065543660418183,0.7158719790986283,0.6492063492063492,0.6565008025682183,0.6528332003192339
192,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6903624638490747,0.7008491182233834,0.632,0.6340288924558587,0.6330128205128205
73,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6886397706139824,0.7119529719137818,0.675,0.5634028892455859,0.6141732283464568
173,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7}",0.6886106023857843,0.7080339647289353,0.6594202898550725,0.5842696629213483,0.6195744680851065
188,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.6874040984012275,0.6982364467668191,0.6292134831460674,0.6292134831460674,0.6292134831460674
175,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 5}",0.6873687429731087,0.7047681254082299,0.6502636203866432,0.593900481540931,0.6208053691275167
176,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 7}",0.6859978362477991,0.7067276290006531,0.6605166051660517,0.5746388443017657,0.6145922746781117
172,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 5}",0.6857636065365116,0.7034617896799478,0.6490299823633157,0.5906902086677368,0.6184873949579832
169,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.5, 'max_depth': 5}",0.6853243153421343,0.7008491182233834,0.6410256410256411,0.6019261637239165,0.6208609271523179
187,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6851015761449856,0.7047681254082299,0.6551724137931034,0.579454253611557,0.6149914821124361
60,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6850370524886686,0.7073807968647943,0.665406427221172,0.565008025682183,0.6111111111111113
174,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 3}",0.6844749011815784,0.6995427824951013,0.6383701188455009,0.6035313001605136,0.6204620462046204
42,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.683824361304191,0.7080339647289353,0.6712062256809338,0.5537720706260032,0.6068601583113457
43,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6835432856506459,0.7041149575440888,0.65625,0.5730337078651685,0.6118251928020566
195,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6832975654252198,0.6936642717178315,0.6226114649681529,0.6276083467094703,0.6250999200639488
148,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.6829060040588031,0.6636185499673416,0.5619266055045872,0.7865168539325843,0.6555183946488294
191,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.6827937505745256,0.6936642717178315,0.6233974358974359,0.6243980738362761,0.623897353648757
194,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.6827937505745256,0.6936642717178315,0.6233974358974359,0.6243980738362761,0.623897353648757
64,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6826293478337728,0.705421293272371,0.6634980988593155,0.5601926163723917,0.607484769364665
31,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6825825018915155,0.7047681254082299,0.6610169491525424,0.5634028892455859,0.608318890814558
67,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6824711322929409,0.7067276290006531,0.669260700389105,0.5521669341894061,0.6051011433597185
72,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6821255329830789,0.705421293272371,0.6647509578544061,0.5569823434991974,0.6061135371179039
40,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6817799336732169,0.7041149575440888,0.660377358490566,0.5617977528089888,0.6071118820468343
47,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6810242113971758,0.7041149575440888,0.6622137404580153,0.5569823434991974,0.6050566695727986
55,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6803621810056498,0.705421293272371,0.6692913385826772,0.5457463884430177,0.601237842617153
170,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.5, 'max_depth': 7}",0.6802393208929366,0.7001959503592423,0.649090909090909,0.5730337078651685,0.608695652173913
45,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6802216431788773,0.7034617896799478,0.6615678776290631,0.5553772070626003,0.6038394415357766
61,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6796709823859257,0.7028086218158066,0.6603053435114504,0.5553772070626003,0.6033129904097646
36,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6792785371338061,0.7008491182233834,0.6536312849162011,0.5634028892455859,0.6051724137931035
34,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6790734756507166,0.7015022860875245,0.6566037735849056,0.5585874799357945,0.603642671292281
53,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6788684141676271,0.7021554539516656,0.6596558317399618,0.5537720706260032,0.6020942408376965
190,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6787809094830328,0.6903984323971261,0.6203554119547657,0.6163723916532905,0.6183574879227053
65,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.67861650674228,0.7021554539516656,0.6602687140115163,0.5521669341894061,0.6013986013986014
46,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6784759689155075,0.7001959503592423,0.6529850746268657,0.5617977528089888,0.6039689387402933
62,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6776088770408921,0.7021554539516656,0.6627680311890838,0.5457463884430177,0.5985915492957745
75,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.677421493271862,0.6995427824951013,0.6529080675422139,0.5585874799357945,0.602076124567474
74,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6770582162479405,0.7015022860875245,0.6614785992217899,0.5457463884430177,0.5980650835532102
177,XGBClassifier,{},0.6767479723661974,0.6936642717178315,0.6336805555555556,0.5858747993579454,0.6088407005838199
33,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.676665770995821,0.6995427824951013,0.6546489563567363,0.5537720706260032,0.6
58,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.676068264260612,0.6982364467668191,0.651031894934334,0.5569823434991974,0.6003460207612455
54,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.676068264260612,0.6982364467668191,0.651031894934334,0.5569823434991974,0.6003460207612455
38,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6760505865465525,0.7015022860875245,0.6640316205533597,0.5393258426966292,0.595217006200177
59,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6754062338690858,0.6995427824951013,0.6576402321083172,0.5457463884430177,0.5964912280701755
79,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6753593879268285,0.6988896146309601,0.6551724137931034,0.5489566613162119,0.5973799126637556
37,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6752656960423135,0.697583278902678,0.650375939849624,0.5553772070626003,0.5991341991341992
27,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6752188501000558,0.6969301110385369,0.6480446927374302,0.5585874799357945,0.6
50,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6745568197085299,0.6982364467668191,0.654510556621881,0.5473515248796148,0.5961538461538461
63,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6745099737662723,0.697583278902678,0.6520912547528517,0.550561797752809,0.5970409051348999
66,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6741643744564103,0.6962769431743958,0.6479400749063671,0.5553772070626003,0.5980985306828003
49,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6741643744564103,0.6962769431743958,0.6479400749063671,0.5553772070626003,0.5980985306828003
28,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6740998508000934,0.6988896146309601,0.658203125,0.5409309791332263,0.5938325991189427
56,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6739593129733208,0.6969301110385369,0.650853889943074,0.550561797752809,0.5965217391304348
35,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6738656210888058,0.6956237753102548,0.6461824953445066,0.5569823434991974,0.5982758620689655
52,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6738187751465482,0.6949706074461136,0.6439114391143912,0.5601926163723917,0.5991416309012877
68,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6736428818916569,0.6995427824951013,0.6620278330019881,0.5345104333868379,0.5914742451154529
80,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6735960359493993,0.6988896146309601,0.6594488188976378,0.5377207062600321,0.5923961096374889
185,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.6730100197283289,0.7047681254082299,0.6879120879120879,0.5024077046548957,0.5807050092764379
41,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6727466217888433,0.697583278902678,0.65625,0.5393258426966292,0.5920704845814978
39,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6723073305944661,0.6949706074461136,0.6471698113207547,0.550561797752809,0.5949696444058976
69,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6715984542606827,0.6956237753102548,0.651252408477842,0.5425361155698234,0.5919439579684764
193,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6715109495760885,0.6838667537557153,0.6130081300813008,0.6051364365971108,0.6090468497576738
71,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6711414853522462,0.6962769431743958,0.6549019607843137,0.536115569823435,0.589585172109444
136,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.6703168199913732,0.6531678641410843,0.5536130536130536,0.7624398073836276,0.6414584740040513
32,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6698059340550554,0.6917047681254083,0.6405959031657356,0.5521669341894061,0.593103448275862
48,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.6697414103987385,0.6943174395819726,0.6504854368932039,0.5377207062600321,0.5887521968365554
166,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5}",0.6695717043437679,0.6884389288047028,0.6298932384341637,0.5682182985553772,0.5974683544303798
130,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.6695487233154905,0.674069235793599,0.5911764705882353,0.6452648475120385,0.6170376055257099
70,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.669190749605787,0.6936642717178315,0.6492248062015504,0.5377207062600321,0.588235294117647
76,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.6690970577212718,0.6923579359895493,0.6444866920152091,0.5441412520064205,0.5900783289817233
167,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 7}",0.6689741976085588,0.6871325930764206,0.6267605633802817,0.5714285714285714,0.5978169605373636
