,model,hyperparams,roc_auc,accuracy,precision,recall,f1
130,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.7751524390243902,0.7808219178082192,0.7608695652173914,0.7291666666666666,0.7446808510638298
124,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.7693089430894308,0.771689497716895,0.7346938775510204,0.75,0.7422680412371135
143,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.7693089430894308,0.771689497716895,0.7346938775510204,0.75,0.7422680412371135
128,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.7594004065040652,0.7579908675799086,0.7047619047619048,0.7708333333333334,0.7363184079601991
151,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500}",0.7581300813008129,0.7488584474885844,0.6722689075630253,0.8333333333333334,0.7441860465116281
134,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000}",0.7581300813008129,0.7488584474885844,0.6722689075630253,0.8333333333333334,0.7441860465116281
148,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.7574949186991871,0.7442922374429224,0.6587301587301587,0.8645833333333334,0.7477477477477478
173,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7}",0.7572408536585367,0.7671232876712328,0.7647058823529411,0.6770833333333334,0.7182320441988951
155,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000}",0.7541920731707318,0.7534246575342466,0.7019230769230769,0.7604166666666666,0.73
26,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.7536839430894309,0.7579908675799086,0.7263157894736842,0.71875,0.7225130890052356
157,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500}",0.7530487804878049,0.7534246575342466,0.7058823529411765,0.75,0.7272727272727272
177,XGBClassifier,{},0.7479674796747966,0.7579908675799086,0.7529411764705882,0.6666666666666666,0.707182320441989
53,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.7479674796747966,0.7579908675799086,0.7529411764705882,0.6666666666666666,0.707182320441989
171,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3}",0.7421239837398373,0.7488584474885844,0.7252747252747253,0.6875,0.7058823529411764
125,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.7402184959349595,0.7351598173515982,0.6696428571428571,0.78125,0.721153846153846
17,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.7397103658536586,0.7397260273972602,0.6893203883495146,0.7395833333333334,0.7135678391959799
150,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.7384400406504066,0.730593607305936,0.6581196581196581,0.8020833333333334,0.7230046948356808
57,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7375508130081302,0.7488584474885844,0.7469879518072289,0.6458333333333334,0.6927374301675977
66,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7364075203252032,0.7488584474885844,0.7530864197530864,0.6354166666666666,0.6892655367231637
48,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7364075203252032,0.7488584474885844,0.7530864197530864,0.6354166666666666,0.6892655367231637
166,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5}",0.7364075203252032,0.7488584474885844,0.7530864197530864,0.6354166666666666,0.6892655367231637
31,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.7364075203252032,0.7488584474885844,0.7530864197530864,0.6354166666666666,0.6892655367231637
24,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.7356453252032521,0.7351598173515982,0.6826923076923077,0.7395833333333334,0.7100000000000002
59,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.7352642276422763,0.7488584474885844,0.759493670886076,0.625,0.6857142857142857
120,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200}",0.7352642276422763,0.7488584474885844,0.759493670886076,0.625,0.6857142857142857
12,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.7351371951219511,0.7397260273972602,0.7052631578947368,0.6979166666666666,0.7015706806282722
116,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000}",0.7348831300813008,0.7214611872146118,0.6377952755905512,0.84375,0.726457399103139
168,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.5, 'max_depth': 3}",0.7346290650406504,0.7442922374429224,0.7325581395348837,0.65625,0.6923076923076923
165,GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3}",0.7346290650406504,0.7442922374429224,0.7325581395348837,0.65625,0.6923076923076923
129,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.7345020325203251,0.7351598173515982,0.6862745098039216,0.7291666666666666,0.7070707070707071
195,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.7339939024390244,0.7397260273972602,0.7096774193548387,0.6875,0.6984126984126984
144,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200}",0.733866869918699,0.730593607305936,0.6697247706422018,0.7604166666666666,0.7121951219512195
172,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 5}",0.7334857723577237,0.7442922374429224,0.7380952380952381,0.6458333333333334,0.6888888888888889
77,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.7334857723577237,0.7442922374429224,0.7380952380952381,0.6458333333333334,0.6888888888888889
131,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000}",0.7329776422764227,0.7488584474885844,0.7733333333333333,0.6041666666666666,0.6783625730994152
189,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.7328506097560976,0.7397260273972602,0.7142857142857143,0.6770833333333334,0.6951871657754011
127,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.7323424796747966,0.7442922374429224,0.7439024390243902,0.6354166666666666,0.6853932584269662
54,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7323424796747966,0.7442922374429224,0.7439024390243902,0.6354166666666666,0.6853932584269662
63,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7323424796747966,0.7442922374429224,0.7439024390243902,0.6354166666666666,0.6853932584269662
112,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.7318343495934959,0.7488584474885844,0.7808219178082192,0.59375,0.6745562130177515
36,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7318343495934959,0.7488584474885844,0.7808219178082192,0.59375,0.6745562130177515
175,GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 5}",0.7317073170731707,0.7397260273972602,0.7191011235955056,0.6666666666666666,0.6918918918918919
76,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.7311991869918699,0.7442922374429224,0.75,0.625,0.6818181818181818
62,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.7311991869918699,0.7442922374429224,0.75,0.625,0.6818181818181818
49,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.7311991869918699,0.7442922374429224,0.75,0.625,0.6818181818181818
55,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'gini'}",0.7311991869918699,0.7442922374429224,0.75,0.625,0.6818181818181818
23,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.7310721544715446,0.7351598173515982,0.6979166666666666,0.6979166666666666,0.6979166666666666
32,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.7300558943089431,0.7442922374429224,0.7564102564102564,0.6145833333333334,0.6781609195402298
111,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.7300558943089431,0.7442922374429224,0.7564102564102564,0.6145833333333334,0.6781609195402298
60,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7294207317073171,0.7397260273972602,0.7294117647058823,0.6458333333333334,0.6850828729281768
147,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.7292936991869918,0.730593607305936,0.6831683168316832,0.71875,0.700507614213198
193,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.7287855691056911,0.7351598173515982,0.7065217391304348,0.6770833333333334,0.6914893617021278
192,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.7287855691056911,0.7351598173515982,0.7065217391304348,0.6770833333333334,0.6914893617021278
156,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200}",0.7286585365853658,0.726027397260274,0.6666666666666666,0.75,0.7058823529411765
33,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'gini'}",0.7282774390243902,0.7397260273972602,0.7349397590361446,0.6354166666666666,0.6815642458100558
