,model,roc_auc,accuracy,precision,recall,f1
0,DecisionTreeClassifier,0.6597235615557697,0.6666666666666666,0.5978835978835979,0.6174863387978142,0.6075268817204301
1,DecisionTreeClassifier,0.6355512696882031,0.6484018264840182,0.5828571428571429,0.5573770491803278,0.5698324022346367
2,DecisionTreeClassifier,0.6441658630665381,0.6575342465753424,0.5953757225433526,0.5628415300546448,0.5786516853932585
3,DecisionTreeClassifier,0.6503375120540019,0.6575342465753424,0.5873015873015873,0.6065573770491803,0.5967741935483871
4,DecisionTreeClassifier,0.65200900032144,0.6666666666666666,0.6094674556213018,0.5628415300546448,0.5852272727272727
5,DecisionTreeClassifier,0.6273545483767278,0.6415525114155252,0.5755813953488372,0.5409836065573771,0.5577464788732395
6,DecisionTreeClassifier,0.6249116039858567,0.632420091324201,0.5578947368421052,0.5792349726775956,0.5683646112600536
7,DecisionTreeClassifier,0.6452909032465445,0.6552511415525114,0.5879120879120879,0.5846994535519126,0.5863013698630136
8,DecisionTreeClassifier,0.6652523304403729,0.6757990867579908,0.6145251396648045,0.6010928961748634,0.6077348066298344
9,DecisionTreeClassifier,0.6632272581163613,0.6689497716894978,0.5989583333333334,0.6284153005464481,0.6133333333333333
10,DecisionTreeClassifier,0.6593699774991963,0.6689497716894978,0.6043956043956044,0.6010928961748634,0.6027397260273973
11,DecisionTreeClassifier,0.6894246223079395,0.6940639269406392,0.6269430051813472,0.6612021857923497,0.6436170212765957
12,DecisionTreeClassifier,0.6679202828672453,0.6735159817351598,0.6041666666666666,0.6338797814207651,0.6186666666666666
13,DecisionTreeClassifier,0.6730311796849888,0.680365296803653,0.6149732620320856,0.6284153005464481,0.6216216216216216
14,DecisionTreeClassifier,0.6436837029893925,0.6506849315068494,0.5789473684210527,0.6010928961748634,0.5898123324396782
15,DecisionTreeClassifier,0.6678559948569592,0.6689497716894978,0.5931372549019608,0.6612021857923497,0.6253229974160207
16,DecisionTreeClassifier,0.6628093860495018,0.6666666666666666,0.5939086294416244,0.639344262295082,0.6157894736842104
17,DecisionTreeClassifier,0.6651880424300867,0.6712328767123288,0.6020942408376964,0.6284153005464481,0.6149732620320856
18,DecisionTreeClassifier,0.6452266152362585,0.6506849315068494,0.5773195876288659,0.6120218579234973,0.5941644562334217
19,DecisionTreeClassifier,0.644101575056252,0.6529680365296804,0.5837837837837838,0.5901639344262295,0.5869565217391304
20,DecisionTreeClassifier,0.6511732561877209,0.6621004566210046,0.5977653631284916,0.5846994535519126,0.5911602209944751
21,DecisionTreeClassifier,0.6554484088717454,0.6643835616438356,0.5978260869565217,0.6010928961748634,0.5994550408719346
22,DecisionTreeClassifier,0.64725168756027,0.6575342465753424,0.5911602209944752,0.5846994535519126,0.587912087912088
23,DecisionTreeClassifier,0.6390549662487945,0.6506849315068494,0.5842696629213483,0.5683060109289617,0.5761772853185596
24,DecisionTreeClassifier,0.6421407907425265,0.6506849315068494,0.5806451612903226,0.5901639344262295,0.5853658536585366
25,DecisionTreeClassifier,0.6550305368048859,0.6621004566210046,0.5925925925925926,0.6120218579234973,0.6021505376344086
26,DecisionTreeClassifier,0.6593699774991963,0.6689497716894978,0.6043956043956044,0.6010928961748634,0.6027397260273973
27,RandomForestClassifier,0.7001928640308582,0.7191780821917808,0.6948051948051948,0.5846994535519126,0.6350148367952522
28,RandomForestClassifier,0.7029251044680167,0.7214611872146118,0.6967741935483871,0.5901639344262295,0.6390532544378699
29,RandomForestClassifier,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121
30,RandomForestClassifier,0.7017357762777242,0.7191780821917808,0.689873417721519,0.5956284153005464,0.6392961876832844
31,RandomForestClassifier,0.7068466730954676,0.726027397260274,0.7058823529411765,0.5901639344262295,0.6428571428571429
32,RandomForestClassifier,0.7045323047251687,0.726027397260274,0.7142857142857143,0.5737704918032787,0.6363636363636364
33,RandomForestClassifier,0.6982320797171327,0.7168949771689498,0.6903225806451613,0.5846994535519126,0.6331360946745561
34,RandomForestClassifier,0.7076181292189007,0.726027397260274,0.7032258064516129,0.5956284153005464,0.6449704142011835
35,RandomForestClassifier,0.6873031179684989,0.7077625570776256,0.6821192052980133,0.5628415300546448,0.6167664670658682
36,RandomForestClassifier,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121
37,RandomForestClassifier,0.6892639022822243,0.7100456621004566,0.6866666666666666,0.5628415300546448,0.6186186186186187
38,RandomForestClassifier,0.6837994214079074,0.7054794520547946,0.6824324324324325,0.5519125683060109,0.6102719033232628
39,RandomForestClassifier,0.7009643201542912,0.7191780821917808,0.6923076923076923,0.5901639344262295,0.6371681415929203
40,RandomForestClassifier,0.6959177113468338,0.7168949771689498,0.697986577181208,0.5683060109289617,0.6265060240963854
41,RandomForestClassifier,0.679524268723883,0.7031963470319634,0.6853146853146853,0.5355191256830601,0.6012269938650308
42,RandomForestClassifier,0.6994856959177114,0.723744292237443,0.7214285714285714,0.5519125683060109,0.6253869969040247
43,RandomForestClassifier,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121
44,RandomForestClassifier,0.6924140147862423,0.7146118721461188,0.6986301369863014,0.5573770491803278,0.6200607902735563
