,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},6.8990680250192945e+19,0.08337528781142234,8306062860.95843,0.2887477927386153,5696430810.119183,0.24774224898257843,-7.490803007912211e+19,0.9088751252599588
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",126893265360.90503,60059898671.53109,356220.8098369676,245071.21142951713,156394.6625787481,86375.88031850613,-137776936014.4427,-65642361027.14446
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",1498311447.9092371,446168680.11058325,38708.0282100398,21122.70532177598,21354.58143711327,8550.418787768249,-1626822036.4238775,-487639276.23960954
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",8538789.019012006,9547300.649960093,2922.120637313252,3089.8706526261085,2346.4068247973687,2481.4622634908283,-9271162.32750814,-10434704.51850903
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",8464017.519567009,9461996.461103683,2909.2984583172297,3076.0358354713107,2333.3254709015064,2487.5707664672614,-9189977.655764434,-10341471.454751305
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",8464005.731567917,9461871.605122678,2909.2964323987194,3076.015540455327,2333.326614412084,2487.5593248196637,-9189964.856705382,-10341334.993625613
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",3879008.9175752453,1144345.14229555,1969.5199713572963,1069.740689277336,846.3982902231677,339.84167657535585,-4211711.591050974,-1250709.0183799376
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",2571138.2818364208,2727615.64759496,1603.4769352368062,1651.5494687095993,1295.5030578873257,1368.2419566191215,-2791664.5272122254,-2981141.7432579785
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",2543409.7768215137,2694482.9449380906,1594.8071284081702,1641.4880276560323,1294.2836325908743,1368.8246218734182,-2761557.7406118726,-2944929.4139376283
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",2452578.4817840126,2628323.7704369808,1566.0710334413354,1621.210587936367,1241.8476292651808,1321.9890938081671,-2662935.8201420316,-2872620.8600774733
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",1065808.8231604504,208239.2175938453,1032.3801737540539,456.3323543140956,663.564503725929,200.11007431218218,-1157222.5422866915,-227593.6880342124
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",84557.09401297515,94471.47476021585,290.7870251798989,307.3621231710502,233.2905419389927,248.75840948785546,-91808.57947880772,-103251.43282521238
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",84556.51204449896,94470.85028242542,290.7860244999731,307.36110730283593,233.30026177890122,248.75612115833601,-91807.9475947335,-103250.75030330544
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",84525.87275321888,94418.36968931941,290.7333361574123,307.2757225836747,233.31809242284734,248.74010285169987,-91774.68036292063,-103193.39173101618
2127,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",84101.39879418688,37237.82450435881,290.0024117040872,192.97104576686837,126.53626693543876,62.191505530282235,-91313.79915439125,-40698.01505139339
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",38250.10529473183,8405.378876578563,195.57634134713695,91.68085338050994,120.30437838255723,47.98683453411803,-41529.82746186354,-9185.644116937932
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",24788.01869564731,26591.087421101736,157.44211220523977,163.06773875019465,124.29822085013005,132.2232777528571,-26913.093951845,-29061.682409324378
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",20661.97709315562,18781.99161498505,143.74274622795969,137.04740645114396,107.04685997175685,90.66484538749035,-22433.160613801236,-20526.744829560183
3357,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",20586.516958766526,19094.67203477731,143.48002285602874,138.18347236474162,105.2995853352865,91.32785429017522,-22351.22824270279,-20868.488346556234
