,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},1.0225686602935648e+21,0.10650098978520958,31977627496.322563,0.3263448939162517,16954681999.638084,0.26590442833517086,-5.7630543218658633e+20,0.9414386787833475
2146,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",26235003294.547157,16122958753.11682,161972.23001041615,126976.21333587177,58641.23334857508,33401.9362847957,-14785681879.510557,-8865474098.426975
2145,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",10666689972.440546,2228971629.08705,103279.66872739544,47211.98607437575,51991.10482304175,17199.913397226792,-6011597667.955435,-1225636716.7152708
2147,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",1953738435.115929,943289210.5805384,44201.11350538501,30713.013700718762,21757.44685375066,9934.265252584895,-1101099726.5290895,-518683088.9169819
3358,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",53480375.69483045,49098696.41226053,7313.027806239386,7007.04619738307,5652.136771140429,5493.538693813782,-30140792.69444199,-26997724.915187676
3355,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",43803749.421106584,49079992.375213034,6618.44010482127,7005.711411071186,5182.56007254703,5478.903020400771,-24687181.114770144,-26987440.192728326
3352,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",43803475.51354273,49079648.48031234,6618.419412030544,7005.686867132468,5182.55512205198,5478.897363441345,-24687026.744288146,-26987251.096459977
2144,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",40859926.73276651,12669789.388779666,6392.176994793441,3559.4647615589156,3888.8208040582513,1572.6535565948182,-23028083.71372379,-6966691.118449223
3359,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",25962636.056122273,21330419.162468065,5095.3543602111,4618.486674492854,3540.7287760668314,3312.888718428776,-14632178.504436508,-11728880.8702848
3353,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",25844933.557679452,21261775.18180797,5083.79125827167,4611.049249553508,3539.657190506105,3312.305492576957,-14565843.018255014,-11691135.84829831
3356,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",25640261.56793418,21142621.838156484,5063.621388683615,4598.110681373001,3535.8188852556104,3312.3145651099226,-14450492.739993237,-11625617.422172079
3316,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",430820.26273909863,409066.8771194374,656.368998916843,639.5833621346301,514.0737048486799,494.8072058181919,-242803.29016992962,-224931.15169546823
3322,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",430166.9933041299,405144.78579303564,655.8711712707991,636.50984736533,515.4937194212872,494.7454244069459,-242435.1166294401,-222774.5252596982
3319,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",427884.5661074435,406761.019766431,654.1288604758572,637.7781900993723,513.9886273136964,494.8158597205072,-241148.77250107302,-223663.23809765544
3320,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",261846.71095616097,213830.08641687513,511.70959631040824,462.4176536604924,354.2830943750825,331.15538315953694,-147572.1535532335,-117576.9906055127
3323,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",260100.82523319824,213649.17081859245,510.0008090515134,462.2219930061663,354.15444313415844,331.33524544090403,-146588.19671474447,-117477.51118766409
3317,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",254095.98391620093,210152.42526298028,504.07934287788555,458.4238489247481,355.3624988123762,329.98781672734293,-143203.95191556343,-115554.76812106825
2126,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",149626.23903516526,50830.09803543742,386.81551033427456,225.45531272391304,169.45447515495047,77.54996508831313,-84326.26104558971,-27948.765579930547
3354,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",141340.33345113852,124355.27958119156,375.9525680869044,352.64043951480033,274.3814533830033,242.64666917541345,-79656.44024618356,-68377.79617107683
3351,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",130374.5322135078,121385.88887027711,361.07413672749783,348.40477733561164,264.1327805047855,237.94058173572213,-73476.2676407463,-66745.02784103306
3357,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",128324.72950928174,122327.12210644313,358.22441221848874,349.7529443856665,262.51896388432345,237.73592368257997,-72321.02743123597,-67262.58041959663
2125,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",82970.92688138306,22546.148009783396,288.04674426450833,150.1537479045508,112.87283955627062,49.12822236041896,-46760.25695224188,-12396.3703761998
2124,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",67711.8162919725,12359.966813487248,260.2149424840405,111.17538762463232,117.54352575726072,36.25561515556781,-38160.4350874797,-6795.3310787212195
2127,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",17669.51320697317,3855.4529017370837,132.92672119244185,62.0922934166317,63.470018449669965,24.55987939900772,-9957.291155087683,-2118.9842017398378
3280,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",4394.423230078122,4929.888507634769,66.29044599395996,70.21316477438378,52.07458970445545,54.857606754906286,-2475.6356306029306,-2709.7802945318417
3283,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",4392.256179891983,4928.46941646586,66.27409886141028,70.20305845521162,52.058262187293735,54.8577232755237,-2474.414311348208,-2708.9999839080087
3286,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",4374.732947732908,4908.099315693424,66.14176402041987,70.05782836838024,52.030035249009906,54.85551820385887,-2464.5384621511057,-2697.7991489020983
3284,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",2538.090337608815,2071.4655739436994,50.37946345098184,45.51335599517684,35.895565793234326,33.24212928809261,-1429.432308109582,-1138.0294222580178
3287,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",2528.8678695725116,2074.3035633639856,50.28785011881609,45.544522868990356,35.79687585132013,33.155791969459756,-1424.2346537770475,-1139.5899374268067
3281,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",2454.149309697594,2049.1759398217587,49.53937130906684,45.26782455366901,35.765233570462044,33.22181730705623,-1382.1243157497588,-1125.773100262803
3315,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",1500.4810966286168,1285.288962449763,38.736043894912875,35.85092693989603,27.49550707871287,24.21850581334068,-844.6502144629633,-705.7372795129785
3321,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",1416.8321959909931,1231.885090078429,37.64083149972903,35.098220611284965,27.193217076402643,24.098255606284454,-797.5068609593864,-676.372281774853
1987,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",1370.756874718056,14.23812559132876,37.02373393808431,3.7733440859970298,16.303004160561056,1.9337800179713338,-771.5394526371787,-6.82906757916947
3318,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",1201.1800102761417,1219.372427184493,34.65804394763417,34.919513558818274,25.48218012194719,23.818130150496145,-675.968297422049,-669.4919882443863
2106,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",1092.2067696411584,453.05246997589325,33.04855170262622,21.285029245361475,15.403024688283828,6.761387052370453,-614.5524991685728,-248.11835350792808
1985,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",667.1300125137655,4.075524006764262,25.828860069963703,2.0187927102018826,17.425493528217817,1.7418944554575524,-374.985168639935,-1.240993919095441
1984,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",627.9617614711913,19.02012428085467,25.05916521896113,4.3612067459425345,11.170875270792079,1.4702484232635062,-352.9104887464567,-9.458528224368363
2064,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",291.1914504038645,1.9439818451325084,17.06433269729187,1.3942674941102615,6.203292498844884,1.089780670893054,-163.1114393490807,-0.06893039681360302
1965,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",235.30723146690082,3.1591385002593,15.339727229220891,1.7773965512117154,8.316009073432342,1.3422564541345092,-131.6158731368024,-0.7371042734409503
2044,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",222.9758575177259,1.947034999487525,14.932376151092829,1.395361960025973,6.9748543599009905,1.0897806708930542,-124.66608280077408,-0.0706092239613012
1986,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",220.0734736342276,2.8369386122769407,14.834873563135872,1.6843214100274748,9.453429131518151,1.4036383478500551,-123.03033973206837,-0.5599373647187109
2105,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",201.23826092927706,35.265641091439015,14.185847205199874,5.938488114953082,8.461776483333335,2.7872271890848954,-112.41507660133979,-18.391392887822203
1967,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",188.7084907454487,2.663001801913104,13.737120904521758,1.631870644969479,8.865407919636965,1.2863946999999998,-105.35347291507311,-0.46429534821107477
1907,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",153.69014771343546,1.9867909529605128,12.397183055574983,1.409535722484717,5.1819224648514846,1.1532604146637266,-85.61762328544651,-0.09246968897952645
2046,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",147.0817260758117,1.976232651086202,12.127725511232999,1.4057854214232703,5.934771498844884,1.114733024586549,-81.89320903745988,-0.0866640330057098
2104,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",144.52767150320446,21.556928147006822,12.02196620787151,4.642943909526242,6.3063805859735975,1.9512170239250277,-80.45377950920505,-10.8534315615955
1904,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",128.63734409924405,2.047787546565805,11.341840419404782,1.4310092754995702,5.444223720957095,1.1085237800441017,-71.49821265318903,-0.12600966939140035
2067,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",127.33258741739589,1.9074101933133245,11.284174201836654,1.3810902191071097,6.355105384983499,1.110252623484013,-70.76286998855565,-0.04882087244273903
