,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1584,LinearRegression,{},1.3684136557239134e+22,0.10728725301836588,116979214210.214,0.32754732943250486,61228255867.59032,0.2710086615727985,-1.5508579887755167e+22,0.885554863518646
2651,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",99555631.40347594,106167153.41037571,9977.756832248215,10303.744630491175,8059.201493861088,8334.873095996096,-112828927.3316111,-113250306.18987052
2648,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",99555324.41895048,106167119.96154857,9977.74144879243,10303.743007351677,8059.195396300112,8334.878978349037,-112828579.41824311,-113250270.50943804
2654,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",99482698.01101771,106197227.69910194,9974.101363582471,10305.203913513888,8053.554406277263,8335.100646384128,-112746270.06356263,-113282386.94486257
2649,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",28153911.35953354,32060923.40017792,5306.025947876013,5662.236607576367,4252.728541248318,4631.220146952757,-31907542.573958315,-34199930.9679057
2655,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",27784760.248147827,31946994.733916104,5271.125140626793,5652.16725990271,4243.786620124334,4634.172154552303,-31489174.23353494,-34078401.32302571
2652,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",27782909.087612174,31947094.126478296,5270.949543261838,5652.176052325183,4243.605148168349,4634.183045549233,-31487076.266233012,-34078507.34676129
2618,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",995501.0524535471,1061620.8894722487,997.7479904532743,1030.3498869181522,805.8371645927961,833.4455800850877,-1128225.653961064,-1132448.0484094091
2612,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",995450.1399201466,1061475.15339667,997.7224764032063,1030.2791628469781,805.8493597147473,833.4234227934824,-1128167.9534924792,-1132292.5892603432
2615,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",994661.3379886351,1061763.4722599287,997.3270967885286,1030.419076036507,805.270869691897,833.4499937171214,-1127273.9842077317,-1132600.1438926735
2616,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",281752.2664464624,320512.68245632865,530.8034160086598,566.1383951440926,426.35397510469124,463.13021101979706,-319316.00728530536,-341895.3265043256
2613,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",280654.9810801393,320986.69622733764,529.7687996476758,566.5568781925939,424.48213569195616,463.1351974657514,-318072.4258805082,-342400.96505122626
2650,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",273373.86335753306,258764.54784310816,522.851664774564,508.6890482830431,382.05479036591385,345.80216920146523,-309820.5500386633,-276027.54170728807
2653,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",263137.4403461713,246092.69301778288,512.9692391812314,496.077305485529,375.40522499497405,337.6657949265289,-298219.35157265,-262510.2587668068
2647,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",257516.86912282385,247892.2503881182,507.46119962300946,497.88778895260947,369.6681588118361,340.1524948711453,-291849.4152988126,-264429.87720292056
2619,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",246578.2336874577,269829.5383723258,496.5664443832846,519.4511895956402,401.1293887899095,426.1257090284932,-279452.3816385002,-287830.75518936344
2582,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",9948.849936563229,10606.849208634478,99.74392180260023,102.98955873599265,80.51690834844165,83.28180797428924,-11274.284588625029,-11313.506347846504
2576,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",9945.83020365086,10605.793648714985,99.7287832255606,102.98443401172328,80.5154797157107,83.28096685967945,-11270.862248536907,-11312.380364137798
2579,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",9935.086759862636,10606.530685388485,99.6749053667102,102.98801233827403,80.47466239456966,83.29142437601932,-11258.686430533167,-11313.16657368569
2580,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",2813.930165347703,3205.4802454097953,53.046490603504616,56.6169607574426,42.593029417391165,46.322693554749954,-3188.0986022623874,-3418.3402650677335
2583,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",2795.09645663651,3207.9637234967213,52.86867178808741,56.638888791154095,42.50290463154413,46.346833053689764,-3166.753881321574,-3420.9894333576335
2577,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",2780.2923682824658,3198.8132889879553,52.72847777323432,56.55805237972711,42.419172558593424,46.32749457086708,-3149.976031587049,-3411.228509326517
2611,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",2720.352799197504,2499.030339844375,52.15700143985948,49.990302458020544,37.796079161168386,33.77725676635941,-3082.044993943319,-2664.7581424475
2614,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",2598.492499224671,2491.636130207857,50.97541073129937,49.916291230497656,36.58848709274059,34.0065859068305,-2943.9376176123874,-2656.870613340215
2617,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",2589.4839683032933,2468.947901344033,50.886972481208716,49.688508745423555,36.926621000001106,34.16817190643071,-2933.728020471851,-2632.668693952867
2543,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",99.12975681500755,105.8415668006445,9.956392761186532,10.287933067465229,8.000474360811797,8.268212238049273,-111.34627383238127,-111.90299841889461
2540,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",98.40409551765849,105.19976716993303,9.919883845976146,10.256693773820734,7.984561489989747,8.261083219925109,-110.52386343371884,-111.21837984339724
2546,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",97.14978673827619,104.0253348827539,9.856459137960051,10.19928109636919,7.957005498241035,8.230992671347195,-109.10232340248666,-109.96559295946692
2541,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",27.853144217110227,32.177922271796305,5.277607811983591,5.672558705892457,4.265690067845207,4.598970700492757,-30.56667652426374,-33.32473665302741
2544,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",27.604932190704876,31.99542563147172,5.254039606883914,5.65644991416628,4.281861951309995,4.606062026971206,-30.28537152379788,-33.13006438468477
2547,SVR,"{'C': 1, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",27.073032402745124,31.227308632041805,5.203175223144529,5.588139997534225,4.208850573262888,4.5304198379841445,-29.682555970229764,-32.31070092481172
2578,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale'}",26.640447039812372,25.533996818627113,5.161438466146078,5.05311753461436,3.8431735377645366,3.5235599288465935,-29.192295979673975,-26.237548437576248
2575,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale'}",26.60681110612668,25.361087004574415,5.158179049444356,5.035979249815711,3.7755801323765272,3.501692088497996,-29.154175520814057,-26.05310259977631
2581,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",24.88599167922528,23.633971376142462,4.988586140303211,4.861478311804184,3.7114547379150946,3.38654735309555,-27.20392711143354,-24.21075900112775
2630,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1}",4.028591109210965,0.12385486282678114,2.0071350500678737,0.3519301959576375,1.4399470093735298,0.27753306793902044,-3.5657047334306746,0.8678819125170081
2631,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05}",4.028591109210965,0.12385486282678114,2.0071350500678737,0.3519301959576375,1.4399470093735298,0.27753306793902044,-3.5657047334306746,0.8678819125170081
2629,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale'}",4.028591109210965,0.12385486282678114,2.0071350500678737,0.3519301959576375,1.4399470093735298,0.27753306793902044,-3.5657047334306746,0.8678819125170081
2593,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 'scale'}",3.1737430486197917,0.12805597208735497,1.781500224142504,0.3578490912205241,1.2629189352448111,0.28020575868026987,-2.5968836913344995,0.8634005178575965
2594,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.1}",3.1737430486197917,0.12805597208735497,1.781500224142504,0.3578490912205241,1.2629189352448111,0.28020575868026987,-2.5968836913344995,0.8634005178575965
2595,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 0.01, 'gamma': 0.05}",3.1737430486197917,0.12805597208735497,1.781500224142504,0.3578490912205241,1.2629189352448111,0.28020575868026987,-2.5968836913344995,0.8634005178575965
2632,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale'}",2.6851677912496945,0.12639490935545677,1.6386481596882518,0.3555206173423094,1.1802213876368488,0.28210608298157763,-2.0431689298359905,0.8651724017087343
