,model,roc_auc,accuracy,precision,recall,f1
24,XGBClassifier,0.7317904210864673,0.7442922374429224,0.7100591715976331,0.6557377049180327,0.6818181818181818
25,XGBClassifier,0.7247830279652845,0.7397260273972602,0.7116564417177914,0.6338797814207651,0.6705202312138728
20,XGBClassifier,0.7216329154612666,0.7351598173515982,0.7005988023952096,0.639344262295082,0.6685714285714286
21,XGBClassifier,0.7149791063966571,0.728310502283105,0.6904761904761905,0.6338797814207651,0.6609686609686609
19,XGBClassifier,0.7130826100932176,0.730593607305936,0.7070063694267515,0.6065573770491803,0.6529411764705881
15,XGBClassifier,0.7111218257794921,0.728310502283105,0.7025316455696202,0.6065573770491803,0.6510263929618768
17,XGBClassifier,0.7099324975891996,0.726027397260274,0.6956521739130435,0.6120218579234973,0.6511627906976744
13,XGBClassifier,0.7087431693989072,0.723744292237443,0.6890243902439024,0.6174863387978142,0.6512968299711815
23,XGBClassifier,0.7064288010286082,0.723744292237443,0.6962025316455697,0.6010928961748634,0.6451612903225807
22,XGBClassifier,0.7064288010286082,0.723744292237443,0.6962025316455697,0.6010928961748634,0.6451612903225807
26,XGBClassifier,0.7048216007714561,0.7191780821917808,0.6807228915662651,0.6174863387978142,0.6475644699140402
14,XGBClassifier,0.7017357762777242,0.7191780821917808,0.689873417721519,0.5956284153005464,0.6392961876832844
10,XGBClassifier,0.7013821922211507,0.7214611872146118,0.7019867549668874,0.5792349726775956,0.6347305389221557
9,XGBClassifier,0.7013821922211507,0.7214611872146118,0.7019867549668874,0.5792349726775956,0.6347305389221557
18,XGBClassifier,0.7001285760205722,0.7146118721461188,0.6746987951807228,0.6120218579234973,0.6418338108882522
12,XGBClassifier,0.6985856637737062,0.7146118721461188,0.6790123456790124,0.6010928961748634,0.6376811594202898
16,XGBClassifier,0.6982320797171327,0.7168949771689498,0.6903225806451613,0.5846994535519126,0.6331360946745561
8,XGBClassifier,0.6842815814850531,0.7123287671232876,0.7175572519083969,0.5136612021857924,0.5987261146496815
11,XGBClassifier,0.6826100932176149,0.7031963470319634,0.6754966887417219,0.5573770491803278,0.6107784431137724
7,XGBClassifier,0.6768563162970106,0.7054794520547946,0.7076923076923077,0.5027322404371585,0.5878594249201279
6,XGBClassifier,0.6748955319832851,0.7031963470319634,0.7022900763358778,0.5027322404371585,0.5859872611464968
5,XGBClassifier,0.6644487303117969,0.7009132420091324,0.7363636363636363,0.4426229508196721,0.552901023890785
4,XGBClassifier,0.6624879459980714,0.6986301369863014,0.7297297297297297,0.4426229508196721,0.5510204081632653
3,XGBClassifier,0.6624879459980714,0.6986301369863014,0.7297297297297297,0.4426229508196721,0.5510204081632653
1,XGBClassifier,0.6231115396978464,0.6689497716894978,0.7159090909090909,0.3442622950819672,0.46494464944649444
2,XGBClassifier,0.6231115396978464,0.6689497716894978,0.7159090909090909,0.3442622950819672,0.46494464944649444
0,XGBClassifier,0.6231115396978464,0.6689497716894978,0.7159090909090909,0.3442622950819672,0.46494464944649444
