,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
12,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",0.7145612343297976,0.9404565424894564,0.726027397260274,0.9433638443935927,0.6820809248554913,0.9362606232294618,0.644808743169399,0.9244755244755245,0.6629213483146068,0.9303307529908516
11,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05}",0.7137897782063645,0.9306663326992466,0.726027397260274,0.9353546910755148,0.6842105263157895,0.934971098265896,0.639344262295082,0.9048951048951049,0.6610169491525425,0.9196872778962331
7,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",0.7104789456766313,0.8397064697161503,0.7374429223744292,0.8558352402745996,0.7575757575757576,0.8788870703764321,0.546448087431694,0.7510489510489511,0.634920634920635,0.8099547511312218
17,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.05}",0.7083252973320475,0.9848320121311408,0.7214611872146118,0.9851258581235698,0.6804733727810651,0.9804741980474198,0.6284153005464481,0.9832167832167832,0.6534090909090908,0.9818435754189944
14,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05}",0.7051751848280297,0.9826806301152865,0.7168949771689498,0.982837528604119,0.6705202312138728,0.9763560500695411,0.6338797814207651,0.9818181818181818,0.651685393258427,0.9790794979079498
10,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",0.7036322725811637,0.9657904534961651,0.7168949771689498,0.9679633867276888,0.6745562130177515,0.9673758865248226,0.6229508196721312,0.9538461538461539,0.6477272727272727,0.9605633802816902
9,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.7013821922211507,0.8245398357692646,0.7214611872146118,0.8386727688787186,0.7019867549668874,0.8409448818897638,0.5792349726775956,0.7468531468531469,0.6347305389221557,0.7911111111111112
13,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.1}",0.6895531983285118,0.9848320121311408,0.7031963470319634,0.9851258581235698,0.6568047337278107,0.9804741980474198,0.6065573770491803,0.9832167832167832,0.6306818181818182,0.9818435754189944
15,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 'scale'}",0.6891353262616522,0.9812820287166851,0.7009132420091324,0.9816933638443935,0.6494252873563219,0.9762900976290098,0.6174863387978142,0.9790209790209791,0.6330532212885155,0.9776536312849162
16,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.1}",0.6786242365798779,0.9848320121311408,0.6940639269406392,0.9851258581235698,0.6484848484848484,0.9804741980474198,0.5846994535519126,0.9832167832167832,0.6149425287356322,0.9818435754189944
8,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05}",0.6702667952426873,0.7724145167513997,0.7031963470319634,0.7969107551487414,0.7226890756302521,0.8260869565217391,0.46994535519125685,0.6377622377622377,0.5695364238410596,0.7198105761641673
6,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",0.6308903889424622,0.6961907405276234,0.6735159817351598,0.7345537757437071,0.7083333333333334,0.7832957110609481,0.37158469945355194,0.4853146853146853,0.4874551971326165,0.5993091537132987
5,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.05}",0.596978463516554,0.6584244409994652,0.6484018264840182,0.7105263157894737,0.6933333333333334,0.8235294117647058,0.28415300546448086,0.37202797202797205,0.40310077519379844,0.51252408477842
4,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.1}",0.580295724847316,0.6314177593945262,0.6415525114155252,0.6933638443935927,0.76,0.8776371308016878,0.20765027322404372,0.2909090909090909,0.32618025751072965,0.43697478991596644
3,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",0.5588556734169077,0.5853173931586323,0.6255707762557078,0.6561784897025171,0.7567567567567568,0.8433734939759037,0.15300546448087432,0.1958041958041958,0.2545454545454546,0.3178206583427923
1,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.1}",0.5,0.5,0.5821917808219178,0.5909610983981693,0.0,0.0,0.0,0.0,0.0,0.0
2,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.05}",0.5,0.5,0.5821917808219178,0.5909610983981693,0.0,0.0,0.0,0.0,0.0,0.0
0,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 'scale'}",0.5,0.5,0.5821917808219178,0.5909610983981693,0.0,0.0,0.0,0.0,0.0,0.0
