,model,roc_auc,accuracy,precision,recall,f1
125,MLPClassifier,0.7514946962391514,0.7465753424657534,0.6682242990654206,0.7814207650273224,0.7204030226700252
108,MLPClassifier,0.7388942462230794,0.728310502283105,0.6391304347826087,0.8032786885245902,0.711864406779661
143,MLPClassifier,0.7351012536162007,0.7328767123287672,0.6586538461538461,0.7486338797814208,0.70076726342711
145,MLPClassifier,0.7303439408550305,0.723744292237443,0.6409090909090909,0.7704918032786885,0.6997518610421836
27,RandomForestClassifier,0.7240115718418515,0.7397260273972602,0.7142857142857143,0.6284153005464481,0.6686046511627907
146,MLPClassifier,0.7238829958212794,0.730593607305936,0.6756756756756757,0.6830601092896175,0.6793478260869565
135,MLPClassifier,0.7232079717132753,0.7100456621004566,0.6176470588235294,0.8032786885245902,0.6983372921615202
166,GradientBoostingClassifier,0.7212150433944069,0.7328767123287672,0.6918604651162791,0.6502732240437158,0.6704225352112675
114,MLPClassifier,0.7211828993892639,0.7031963470319634,0.6055776892430279,0.8306010928961749,0.7004608294930876
122,MLPClassifier,0.7190613950498231,0.7168949771689498,0.6411483253588517,0.73224043715847,0.6836734693877552
131,MLPClassifier,0.7189971070395371,0.7123287671232876,0.6289592760180995,0.7595628415300546,0.6881188118811881
144,MLPClassifier,0.7175184828029573,0.7168949771689498,0.6439024390243903,0.7213114754098361,0.6804123711340206
152,MLPClassifier,0.7170041787206686,0.7351598173515982,0.7161290322580646,0.6065573770491803,0.6568047337278106
57,RandomForestClassifier,0.7170041787206686,0.7351598173515982,0.7161290322580646,0.6065573770491803,0.6568047337278106
118,MLPClassifier,0.7170041787206686,0.7351598173515982,0.7161290322580646,0.6065573770491803,0.6568047337278106
139,MLPClassifier,0.7169398907103826,0.730593607305936,0.6946107784431138,0.6338797814207651,0.6628571428571429
112,MLPClassifier,0.7164577306332369,0.723744292237443,0.6684782608695652,0.6721311475409836,0.670299727520436
48,RandomForestClassifier,0.7158148505303761,0.7328767123287672,0.7088607594936709,0.6120218579234973,0.656891495601173
30,RandomForestClassifier,0.7158148505303761,0.7328767123287672,0.7088607594936709,0.6120218579234973,0.656891495601173
130,MLPClassifier,0.7155898424943747,0.6894977168949772,0.5860805860805861,0.8743169398907104,0.7017543859649122
190,SVC,0.7145612343297976,0.726027397260274,0.6820809248554913,0.644808743169399,0.6629213483146068
138,MLPClassifier,0.7144969463195114,0.7214611872146118,0.6648648648648648,0.6721311475409836,0.6684782608695652
156,MLPClassifier,0.7143362262937961,0.7374429223744292,0.7394366197183099,0.5737704918032787,0.6461538461538461
189,SVC,0.7137897782063645,0.726027397260274,0.6842105263157895,0.639344262295082,0.6610169491525425
97,LogisticRegression,0.7134361941497911,0.728310502283105,0.6951219512195121,0.6229508196721312,0.6570605187319885
158,MLPClassifier,0.7130183220829316,0.726027397260274,0.6863905325443787,0.6338797814207651,0.6590909090909091
129,MLPClassifier,0.7113789778206365,0.6917808219178082,0.59375,0.8306010928961749,0.69248291571754
175,GradientBoostingClassifier,0.7111218257794921,0.728310502283105,0.7025316455696202,0.6065573770491803,0.6510263929618768
185,SVC,0.7104789456766313,0.7374429223744292,0.7575757575757576,0.546448087431694,0.634920634920635
151,MLPClassifier,0.7103503696560591,0.728310502283105,0.7051282051282052,0.6010928961748634,0.6489675516224189
140,MLPClassifier,0.7102860816457731,0.723744292237443,0.6845238095238095,0.6284153005464481,0.6552706552706553
169,GradientBoostingClassifier,0.7095146255223401,0.723744292237443,0.6867469879518072,0.6229508196721312,0.6532951289398281
103,LogisticRegression,0.7095146255223401,0.723744292237443,0.6867469879518072,0.6229508196721312,0.6532951289398281
195,SVC,0.7083252973320475,0.7214611872146118,0.6804733727810651,0.6284153005464481,0.6534090909090908
34,RandomForestClassifier,0.70803600128576,0.728310502283105,0.7133333333333334,0.5846994535519126,0.6426426426426427
51,RandomForestClassifier,0.70803600128576,0.728310502283105,0.7133333333333334,0.5846994535519126,0.6426426426426427
173,GradientBoostingClassifier,0.7079717132754741,0.723744292237443,0.691358024691358,0.6120218579234973,0.6492753623188405
78,RandomForestClassifier,0.7076181292189007,0.726027397260274,0.7032258064516129,0.5956284153005464,0.6449704142011835
115,MLPClassifier,0.7066538090646095,0.7123287671232876,0.6507936507936508,0.6721311475409836,0.6612903225806451
177,XGBClassifier,0.7064288010286082,0.723744292237443,0.6962025316455697,0.6010928961748634,0.6451612903225807
55,RandomForestClassifier,0.7064288010286082,0.723744292237443,0.6962025316455697,0.6010928961748634,0.6451612903225807
67,RandomForestClassifier,0.7060752169720346,0.726027397260274,0.7086092715231788,0.5846994535519126,0.6407185628742516
124,MLPClassifier,0.7055930568948892,0.7191780821917808,0.6785714285714286,0.6229508196721312,0.6495726495726496
113,MLPClassifier,0.705528768884603,0.7146118721461188,0.6611111111111111,0.6502732240437158,0.6556473829201102
70,RandomForestClassifier,0.7053037608486017,0.726027397260274,0.7114093959731543,0.5792349726775956,0.6385542168674699
192,SVC,0.7051751848280297,0.7168949771689498,0.6705202312138728,0.6338797814207651,0.651685393258427
95,LogisticRegression,0.7045323047251687,0.726027397260274,0.7142857142857143,0.5737704918032787,0.6363636363636364
76,RandomForestClassifier,0.7041144326583092,0.723744292237443,0.7039473684210527,0.5846994535519126,0.6388059701492537
188,SVC,0.7036322725811637,0.7168949771689498,0.6745562130177515,0.6229508196721312,0.6477272727272727
132,MLPClassifier,0.7032786885245902,0.7191780821917808,0.6851851851851852,0.6065573770491803,0.6434782608695653
101,LogisticRegression,0.7027965284474444,0.7123287671232876,0.659217877094972,0.644808743169399,0.6519337016574586
75,RandomForestClassifier,0.7025715204114432,0.723744292237443,0.7094594594594594,0.5737704918032787,0.634441087613293
171,GradientBoostingClassifier,0.7025072324011572,0.7191780821917808,0.6875,0.6010928961748634,0.641399416909621
29,RandomForestClassifier,0.7021536483445837,0.7214611872146118,0.6993464052287581,0.5846994535519126,0.6369047619047619
172,GradientBoostingClassifier,0.7020893603342976,0.7168949771689498,0.6787878787878788,0.6120218579234973,0.6436781609195402
187,SVC,0.7013821922211507,0.7214611872146118,0.7019867549668874,0.5792349726775956,0.6347305389221557
46,RandomForestClassifier,0.7013821922211507,0.7214611872146118,0.7019867549668874,0.5792349726775956,0.6347305389221557
45,RandomForestClassifier,0.7013179042108647,0.7168949771689498,0.6809815950920245,0.6065573770491803,0.6416184971098265
72,RandomForestClassifier,0.7009643201542912,0.7191780821917808,0.6923076923076923,0.5901639344262295,0.6371681415929203
79,RandomForestClassifier,0.7009643201542912,0.7191780821917808,0.6923076923076923,0.5901639344262295,0.6371681415929203
120,MLPClassifier,0.7009000321440051,0.7146118721461188,0.6726190476190477,0.6174863387978142,0.6438746438746439
58,RandomForestClassifier,0.7001928640308582,0.7191780821917808,0.6948051948051948,0.5846994535519126,0.6350148367952522
116,MLPClassifier,0.6999035679845709,0.726027397260274,0.7333333333333333,0.5409836065573771,0.6226415094339622
165,GradientBoostingClassifier,0.6994214079074252,0.7191780821917808,0.6973684210526315,0.5792349726775956,0.6328358208955223
150,MLPClassifier,0.6991963998714239,0.730593607305936,0.768595041322314,0.5081967213114754,0.6118421052631579
60,RandomForestClassifier,0.6990035358405657,0.7168949771689498,0.6878980891719745,0.5901639344262295,0.6352941176470588
35,RandomForestClassifier,0.6990035358405657,0.7168949771689498,0.6878980891719745,0.5901639344262295,0.6352941176470588
47,RandomForestClassifier,0.6986499517839923,0.7191780821917808,0.7,0.5737704918032787,0.6306306306306306
109,MLPClassifier,0.6983606557377049,0.726027397260274,0.7404580152671756,0.5300546448087432,0.6178343949044586
33,RandomForestClassifier,0.6978784956605593,0.7191780821917808,0.7027027027027027,0.5683060109289617,0.6283987915407855
73,RandomForestClassifier,0.6974606235936998,0.7168949771689498,0.6928104575163399,0.5792349726775956,0.6309523809523809
32,RandomForestClassifier,0.6974606235936998,0.7168949771689498,0.6928104575163399,0.5792349726775956,0.6309523809523809
28,RandomForestClassifier,0.6974606235936998,0.7168949771689498,0.6928104575163399,0.5792349726775956,0.6309523809523809
133,MLPClassifier,0.6972677595628416,0.7031963470319634,0.6402116402116402,0.6612021857923497,0.6505376344086021
99,LogisticRegression,0.6966248794599806,0.7123287671232876,0.6748466257668712,0.6010928961748634,0.6358381502890174
163,GradientBoostingClassifier,0.6962712954034073,0.7146118721461188,0.6858974358974359,0.5846994535519126,0.6312684365781711
36,RandomForestClassifier,0.6955641272902604,0.7191780821917808,0.7112676056338029,0.5519125683060109,0.6215384615384615
66,RandomForestClassifier,0.6954998392799743,0.7146118721461188,0.6883116883116883,0.5792349726775956,0.6290801186943619
111,MLPClassifier,0.6954355512696881,0.7100456621004566,0.6686746987951807,0.6065573770491803,0.6361031518624642
54,RandomForestClassifier,0.6947283831565413,0.7146118721461188,0.6907894736842105,0.5737704918032787,0.626865671641791
65,RandomForestClassifier,0.6939569270331083,0.7146118721461188,0.6933333333333334,0.5683060109289617,0.6246246246246245
61,RandomForestClassifier,0.6935390549662488,0.7123287671232876,0.6838709677419355,0.5792349726775956,0.6272189349112426
31,RandomForestClassifier,0.6927675988428158,0.7123287671232876,0.6862745098039216,0.5737704918032787,0.625
80,RandomForestClassifier,0.6924140147862423,0.7146118721461188,0.6986301369863014,0.5573770491803278,0.6200607902735563
62,RandomForestClassifier,0.6924140147862423,0.7146118721461188,0.6986301369863014,0.5573770491803278,0.6200607902735563
77,RandomForestClassifier,0.6919961427193828,0.7123287671232876,0.6887417218543046,0.5683060109289617,0.622754491017964
39,RandomForestClassifier,0.6912246865959498,0.7123287671232876,0.6912751677852349,0.5628415300546448,0.6204819277108434
149,MLPClassifier,0.690646094503375,0.726027397260274,0.7837837837837838,0.47540983606557374,0.5918367346938777
68,RandomForestClassifier,0.6904532304725168,0.7123287671232876,0.6938775510204082,0.5573770491803278,0.6181818181818182
174,GradientBoostingClassifier,0.6899710703953712,0.7054794520547946,0.6646341463414634,0.5956284153005464,0.628242074927954
40,RandomForestClassifier,0.6896817743490838,0.7123287671232876,0.696551724137931,0.5519125683060109,0.6158536585365854
191,SVC,0.6895531983285118,0.7031963470319634,0.6568047337278107,0.6065573770491803,0.6306818181818182
