,model,set,rmse,mse,mae,r2
0,RandomForestRegressor,test,0.7141462124268906,0.5100048127236735,0.5501049385798243,0.720191265214193
1,RandomForestRegressor,valid,0.6909175498695602,0.4773670607177562,0.5162245825781485,0.7176879263392405
2,LinearRegression,test,3.626330115736766,13.150270108299424,1.8550638458984379,-6.214756310718401
3,LinearRegression,valid,19.193284628269428,368.3821748217635,4.129031501197575,-216.85905277423788
4,MLPRegressor,test,0.8519437201730232,0.7258081023422506,0.6708375637241112,0.6017930777376648
5,MLPRegressor,valid,0.7387765994911337,0.545790863955683,0.5995941172971908,0.6772224913115061
6,GradientBoostingRegressor,test,0.6980640505857749,0.48729341872021936,0.5423905314144575,0.7326516308083734
7,GradientBoostingRegressor,valid,0.6991624251956969,0.48882809680552847,0.5276075797070592,0.7109099369669222
8,SVR,test,0.7673504543110078,0.5888267197313101,0.5861063995381904,0.6769464613947416
9,SVR,valid,0.6510773398040193,0.42390170240627834,0.5026062250694369,0.7493070249658488
