,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.7893
1,RandomForestClassifier-50-None-2-2,0.7992
2,RandomForestClassifier-50-None-2-4,0.8005
3,RandomForestClassifier-50-None-5-1,0.7900
4,RandomForestClassifier-50-None-5-2,0.7920
5,RandomForestClassifier-50-None-5-4,0.7992
6,RandomForestClassifier-50-None-10-1,0.8104
7,RandomForestClassifier-50-None-10-2,0.7959
8,RandomForestClassifier-50-None-10-4,0.7992
9,RandomForestClassifier-50-10-2-1,0.7873
10,RandomForestClassifier-50-10-2-2,0.7893
11,RandomForestClassifier-50-10-2-4,0.7782
12,RandomForestClassifier-50-10-5-1,0.7900
13,RandomForestClassifier-50-10-5-2,0.7854
14,RandomForestClassifier-50-10-5-4,0.7893
15,RandomForestClassifier-50-10-10-1,0.7794
16,RandomForestClassifier-50-10-10-2,0.7920
17,RandomForestClassifier-50-10-10-4,0.7854
18,RandomForestClassifier-50-20-2-1,0.7900
19,RandomForestClassifier-50-20-2-2,0.7985
20,RandomForestClassifier-50-20-2-4,0.7972
21,RandomForestClassifier-50-20-5-1,0.7913
22,RandomForestClassifier-50-20-5-2,0.7939
23,RandomForestClassifier-50-20-5-4,0.7952
24,RandomForestClassifier-50-20-10-1,0.7880
25,RandomForestClassifier-50-20-10-2,0.7985
26,RandomForestClassifier-50-20-10-4,0.8018
27,RandomForestClassifier-100-None-2-1,0.8071
28,RandomForestClassifier-100-None-2-2,0.8018
29,RandomForestClassifier-100-None-2-4,0.8038
30,RandomForestClassifier-100-None-5-1,0.7999
31,RandomForestClassifier-100-None-5-2,0.8051
32,RandomForestClassifier-100-None-5-4,0.7985
33,RandomForestClassifier-100-None-10-1,0.8124
34,RandomForestClassifier-100-None-10-2,0.8051
35,RandomForestClassifier-100-None-10-4,0.8012
36,RandomForestClassifier-100-10-2-1,0.7972
37,RandomForestClassifier-100-10-2-2,0.8031
38,RandomForestClassifier-100-10-2-4,0.8031
39,RandomForestClassifier-100-10-5-1,0.8025
40,RandomForestClassifier-100-10-5-2,0.8045
41,RandomForestClassifier-100-10-5-4,0.8064
42,RandomForestClassifier-100-10-10-1,0.7926
43,RandomForestClassifier-100-10-10-2,0.7952
44,RandomForestClassifier-100-10-10-4,0.7933
45,RandomForestClassifier-100-20-2-1,0.7893
46,RandomForestClassifier-100-20-2-2,0.8071
47,RandomForestClassifier-100-20-2-4,0.8025
48,RandomForestClassifier-100-20-5-1,0.8045
49,RandomForestClassifier-100-20-5-2,0.8104
50,RandomForestClassifier-100-20-5-4,0.8012
51,RandomForestClassifier-100-20-10-1,0.7926
52,RandomForestClassifier-100-20-10-2,0.7959
53,RandomForestClassifier-100-20-10-4,0.7952
54,RandomForestClassifier-200-None-2-1,0.8097
55,RandomForestClassifier-200-None-2-2,0.8071
56,RandomForestClassifier-200-None-2-4,0.7979
57,RandomForestClassifier-200-None-5-1,0.8038
58,RandomForestClassifier-200-None-5-2,0.8078
59,RandomForestClassifier-200-None-5-4,0.7972
60,RandomForestClassifier-200-None-10-1,0.8071
61,RandomForestClassifier-200-None-10-2,0.8058
62,RandomForestClassifier-200-None-10-4,0.8051
63,RandomForestClassifier-200-10-2-1,0.8031
64,RandomForestClassifier-200-10-2-2,0.8097
65,RandomForestClassifier-200-10-2-4,0.8045
66,RandomForestClassifier-200-10-5-1,0.7999
67,RandomForestClassifier-200-10-5-2,0.8012
68,RandomForestClassifier-200-10-5-4,0.7992
69,RandomForestClassifier-200-10-10-1,0.8038
70,RandomForestClassifier-200-10-10-2,0.7906
71,RandomForestClassifier-200-10-10-4,0.7979
72,RandomForestClassifier-200-20-2-1,0.8025
73,RandomForestClassifier-200-20-2-2,0.8071
74,RandomForestClassifier-200-20-2-4,0.8084
75,RandomForestClassifier-200-20-5-1,0.8045
76,RandomForestClassifier-200-20-5-2,0.8018
77,RandomForestClassifier-200-20-5-4,0.7979
78,RandomForestClassifier-200-20-10-1,0.8104
79,RandomForestClassifier-200-20-10-2,0.8058
80,RandomForestClassifier-200-20-10-4,0.8012
81,LogisticRegression-0.001-l1-liblinear,0.5609
82,LogisticRegression-0.001-l1-saga,0.5609
83,LogisticRegression-0.001-l2-liblinear,0.8368
84,LogisticRegression-0.001-l2-saga,0.8328
85,LogisticRegression-0.01-l1-liblinear,0.7788
86,LogisticRegression-0.01-l1-saga,0.7874
87,LogisticRegression-0.01-l2-liblinear,0.8210
88,LogisticRegression-0.01-l2-saga,0.8190
89,LogisticRegression-0.1-l1-liblinear,0.8176
90,LogisticRegression-0.1-l1-saga,0.8229
91,LogisticRegression-0.1-l2-liblinear,0.7768
92,LogisticRegression-0.1-l2-saga,0.8091
93,LogisticRegression-1-l1-liblinear,0.7597
94,LogisticRegression-1-l1-saga,0.8065
95,LogisticRegression-1-l2-liblinear,0.7452
96,LogisticRegression-1-l2-saga,0.8071
97,LogisticRegression-10-l1-liblinear,0.7261
98,LogisticRegression-10-l1-saga,0.8071
99,LogisticRegression-10-l2-liblinear,0.7248
100,LogisticRegression-10-l2-saga,0.8058
101,LogisticRegression-100-l1-liblinear,0.7044
102,LogisticRegression-100-l1-saga,0.8058
103,LogisticRegression-100-l2-liblinear,0.7103
104,LogisticRegression-100-l2-saga,0.8071
105,"NeuralNetwork-(50,)-relu-0.0001-200",0.7854
106,"NeuralNetwork-(50,)-relu-0.0001-500",0.7834
107,"NeuralNetwork-(50,)-relu-0.0001-1000",0.7801
108,"NeuralNetwork-(50,)-relu-0.001-200",0.7907
109,"NeuralNetwork-(50,)-relu-0.001-500",0.7926
110,"NeuralNetwork-(50,)-relu-0.001-1000",0.7828
111,"NeuralNetwork-(50,)-relu-0.01-200",0.7861
112,"NeuralNetwork-(50,)-relu-0.01-500",0.7860
113,"NeuralNetwork-(50,)-relu-0.01-1000",0.7834
114,"NeuralNetwork-(50,)-tanh-0.0001-200",0.7768
115,"NeuralNetwork-(50,)-tanh-0.0001-500",0.7768
116,"NeuralNetwork-(50,)-tanh-0.0001-1000",0.7867
117,"NeuralNetwork-(50,)-tanh-0.001-200",0.7768
118,"NeuralNetwork-(50,)-tanh-0.001-500",0.7722
119,"NeuralNetwork-(50,)-tanh-0.001-1000",0.7861
120,"NeuralNetwork-(50,)-tanh-0.01-200",0.7887
121,"NeuralNetwork-(50,)-tanh-0.01-500",0.7900
122,"NeuralNetwork-(50,)-tanh-0.01-1000",0.7782
123,"NeuralNetwork-(100,)-relu-0.0001-200",0.7847
124,"NeuralNetwork-(100,)-relu-0.0001-500",0.7847
125,"NeuralNetwork-(100,)-relu-0.0001-1000",0.7992
126,"NeuralNetwork-(100,)-relu-0.001-200",0.7940
127,"NeuralNetwork-(100,)-relu-0.001-500",0.7966
128,"NeuralNetwork-(100,)-relu-0.001-1000",0.7907
129,"NeuralNetwork-(100,)-relu-0.01-200",0.7926
130,"NeuralNetwork-(100,)-relu-0.01-500",0.7854
131,"NeuralNetwork-(100,)-relu-0.01-1000",0.7834
132,"NeuralNetwork-(100,)-tanh-0.0001-200",0.7801
133,"NeuralNetwork-(100,)-tanh-0.0001-500",0.7808
134,"NeuralNetwork-(100,)-tanh-0.0001-1000",0.7867
135,"NeuralNetwork-(100,)-tanh-0.001-200",0.7828
136,"NeuralNetwork-(100,)-tanh-0.001-500",0.7874
137,"NeuralNetwork-(100,)-tanh-0.001-1000",0.7821
138,"NeuralNetwork-(100,)-tanh-0.01-200",0.7828
139,"NeuralNetwork-(100,)-tanh-0.01-500",0.7814
140,"NeuralNetwork-(100,)-tanh-0.01-1000",0.7834
141,"NeuralNetwork-(50, 50)-relu-0.0001-200",0.7893
142,"NeuralNetwork-(50, 50)-relu-0.0001-500",0.7992
143,"NeuralNetwork-(50, 50)-relu-0.0001-1000",0.7801
144,"NeuralNetwork-(50, 50)-relu-0.001-200",0.7939
145,"NeuralNetwork-(50, 50)-relu-0.001-500",0.7834
146,"NeuralNetwork-(50, 50)-relu-0.001-1000",0.7801
147,"NeuralNetwork-(50, 50)-relu-0.01-200",0.7920
148,"NeuralNetwork-(50, 50)-relu-0.01-500",0.7926
149,"NeuralNetwork-(50, 50)-relu-0.01-1000",0.7828
150,"NeuralNetwork-(50, 50)-tanh-0.0001-200",0.7808
151,"NeuralNetwork-(50, 50)-tanh-0.0001-500",0.7913
152,"NeuralNetwork-(50, 50)-tanh-0.0001-1000",0.7749
153,"NeuralNetwork-(50, 50)-tanh-0.001-200",0.7801
154,"NeuralNetwork-(50, 50)-tanh-0.001-500",0.7716
155,"NeuralNetwork-(50, 50)-tanh-0.001-1000",0.7795
156,"NeuralNetwork-(50, 50)-tanh-0.01-200",0.7808
157,"NeuralNetwork-(50, 50)-tanh-0.01-500",0.7768
158,"NeuralNetwork-(50, 50)-tanh-0.01-1000",0.7788
159,GradientBoostingClassifier-10-0.1,0.7801
160,GradientBoostingClassifier-10-0.5,0.7847
161,GradientBoostingClassifier-10-1.0,0.7610
162,GradientBoostingClassifier-10-2.0,0.7202
163,GradientBoostingClassifier-100-0.1,0.8163
164,GradientBoostingClassifier-100-0.5,0.8196
165,GradientBoostingClassifier-100-1.0,0.7861
166,GradientBoostingClassifier-100-2.0,0.7083
167,GradientBoostingClassifier-1000-0.1,0.8242
168,GradientBoostingClassifier-1000-0.5,0.8216
169,GradientBoostingClassifier-1000-1.0,0.8058
170,GradientBoostingClassifier-1000-2.0,0.7142
