,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,-0.6371
1,RandomForestRegressor-50-None-2-2,-0.6476
2,RandomForestRegressor-50-None-2-4,-0.6429
3,RandomForestRegressor-50-None-5-1,-0.6338
4,RandomForestRegressor-50-None-5-2,-0.6526
5,RandomForestRegressor-50-None-5-4,-0.6507
6,RandomForestRegressor-50-None-10-1,-0.6488
7,RandomForestRegressor-50-None-10-2,-0.6402
8,RandomForestRegressor-50-None-10-4,-0.6536
9,RandomForestRegressor-50-10-2-1,-0.6426
10,RandomForestRegressor-50-10-2-2,-0.6469
11,RandomForestRegressor-50-10-2-4,-0.6640
12,RandomForestRegressor-50-10-5-1,-0.6395
13,RandomForestRegressor-50-10-5-2,-0.6542
14,RandomForestRegressor-50-10-5-4,-0.6411
15,RandomForestRegressor-50-10-10-1,-0.6458
16,RandomForestRegressor-50-10-10-2,-0.6596
17,RandomForestRegressor-50-10-10-4,-0.6470
18,RandomForestRegressor-50-20-2-1,-0.6367
19,RandomForestRegressor-50-20-2-2,-0.6425
20,RandomForestRegressor-50-20-2-4,-0.6451
21,RandomForestRegressor-50-20-5-1,-0.6505
22,RandomForestRegressor-50-20-5-2,-0.6437
23,RandomForestRegressor-50-20-5-4,-0.6538
24,RandomForestRegressor-50-20-10-1,-0.6454
25,RandomForestRegressor-50-20-10-2,-0.6503
26,RandomForestRegressor-50-20-10-4,-0.6620
27,RandomForestRegressor-100-None-2-1,-0.6321
28,RandomForestRegressor-100-None-2-2,-0.6399
29,RandomForestRegressor-100-None-2-4,-0.6476
30,RandomForestRegressor-100-None-5-1,-0.6388
31,RandomForestRegressor-100-None-5-2,-0.6433
32,RandomForestRegressor-100-None-5-4,-0.6516
33,RandomForestRegressor-100-None-10-1,-0.6454
34,RandomForestRegressor-100-None-10-2,-0.6398
35,RandomForestRegressor-100-None-10-4,-0.6587
36,RandomForestRegressor-100-10-2-1,-0.6363
37,RandomForestRegressor-100-10-2-2,-0.6396
38,RandomForestRegressor-100-10-2-4,-0.6453
39,RandomForestRegressor-100-10-5-1,-0.6390
40,RandomForestRegressor-100-10-5-2,-0.6407
41,RandomForestRegressor-100-10-5-4,-0.6520
42,RandomForestRegressor-100-10-10-1,-0.6478
43,RandomForestRegressor-100-10-10-2,-0.6532
44,RandomForestRegressor-100-10-10-4,-0.6454
45,RandomForestRegressor-100-20-2-1,-0.6340
46,RandomForestRegressor-100-20-2-2,-0.6395
47,RandomForestRegressor-100-20-2-4,-0.6514
48,RandomForestRegressor-100-20-5-1,-0.6443
49,RandomForestRegressor-100-20-5-2,-0.6474
50,RandomForestRegressor-100-20-5-4,-0.6417
51,RandomForestRegressor-100-20-10-1,-0.6426
52,RandomForestRegressor-100-20-10-2,-0.6428
53,RandomForestRegressor-100-20-10-4,-0.6375
54,LinearRegression-0.001-l1-liblinear,-15693011674192725147648.0000
55,"MLPRegressor-(50,)-relu-0.0001-200",-1.1114
56,"MLPRegressor-(50,)-relu-0.0001-500",-1.0130
57,"MLPRegressor-(50,)-relu-0.0001-1000",-1.1977
58,"MLPRegressor-(50,)-relu-0.001-200",-1.0996
59,"MLPRegressor-(50,)-relu-0.001-500",-1.0781
60,"MLPRegressor-(50,)-relu-0.001-1000",-1.0092
61,"MLPRegressor-(50,)-relu-0.01-200",-1.1211
62,"MLPRegressor-(50,)-relu-0.01-500",-1.2013
63,"MLPRegressor-(50,)-relu-0.01-1000",-1.0218
64,"MLPRegressor-(50,)-tanh-0.0001-200",-3.3025
65,"MLPRegressor-(50,)-tanh-0.0001-500",-3.9040
66,"MLPRegressor-(50,)-tanh-0.0001-1000",-3.9607
67,"MLPRegressor-(50,)-tanh-0.001-200",-3.6807
68,"MLPRegressor-(50,)-tanh-0.001-500",-3.4994
69,"MLPRegressor-(50,)-tanh-0.001-1000",-3.5263
70,"MLPRegressor-(50,)-tanh-0.01-200",-3.8306
71,"MLPRegressor-(50,)-tanh-0.01-500",-3.7315
72,"MLPRegressor-(50,)-tanh-0.01-1000",-3.7385
73,"MLPRegressor-(100,)-relu-0.0001-200",-1.0422
74,"MLPRegressor-(100,)-relu-0.0001-500",-1.0645
75,"MLPRegressor-(100,)-relu-0.0001-1000",-1.2626
76,"MLPRegressor-(100,)-relu-0.001-200",-1.1812
77,"MLPRegressor-(100,)-relu-0.001-500",-1.0374
78,"MLPRegressor-(100,)-relu-0.001-1000",-1.2442
79,"MLPRegressor-(100,)-relu-0.01-200",-1.0831
80,"MLPRegressor-(100,)-relu-0.01-500",-1.1986
81,"MLPRegressor-(100,)-relu-0.01-1000",-1.1803
82,"MLPRegressor-(100,)-tanh-0.0001-200",-3.6712
83,"MLPRegressor-(100,)-tanh-0.0001-500",-3.3532
84,"MLPRegressor-(100,)-tanh-0.0001-1000",-3.6237
85,"MLPRegressor-(100,)-tanh-0.001-200",-3.6726
86,"MLPRegressor-(100,)-tanh-0.001-500",-3.3413
87,"MLPRegressor-(100,)-tanh-0.001-1000",-3.4620
88,"MLPRegressor-(100,)-tanh-0.01-200",-3.5348
89,"MLPRegressor-(100,)-tanh-0.01-500",-3.5187
90,"MLPRegressor-(100,)-tanh-0.01-1000",-3.6822
91,"MLPRegressor-(50, 50)-relu-0.0001-200",-0.9885
92,"MLPRegressor-(50, 50)-relu-0.0001-500",-0.9856
93,"MLPRegressor-(50, 50)-relu-0.0001-1000",-1.0219
94,"MLPRegressor-(50, 50)-relu-0.001-200",-1.0411
95,"MLPRegressor-(50, 50)-relu-0.001-500",-1.0381
96,"MLPRegressor-(50, 50)-relu-0.001-1000",-1.0057
97,"MLPRegressor-(50, 50)-relu-0.01-200",-1.0227
98,"MLPRegressor-(50, 50)-relu-0.01-500",-0.9259
99,"MLPRegressor-(50, 50)-relu-0.01-1000",-0.9267
100,"MLPRegressor-(50, 50)-tanh-0.0001-200",-3.0884
101,"MLPRegressor-(50, 50)-tanh-0.0001-500",-3.4548
102,"MLPRegressor-(50, 50)-tanh-0.0001-1000",-3.1421
103,"MLPRegressor-(50, 50)-tanh-0.001-200",-3.3079
104,"MLPRegressor-(50, 50)-tanh-0.001-500",-3.3323
105,"MLPRegressor-(50, 50)-tanh-0.001-1000",-3.5959
106,"MLPRegressor-(50, 50)-tanh-0.01-200",-3.1344
107,"MLPRegressor-(50, 50)-tanh-0.01-500",-3.5254
108,"MLPRegressor-(50, 50)-tanh-0.01-1000",-3.5660
109,GradientBoostingRegressor-10-0.1,-0.9845
110,GradientBoostingRegressor-10-0.5,-0.7242
111,GradientBoostingRegressor-10-1.0,-1.0254
112,GradientBoostingRegressor-10-2.0,-2.4315
113,GradientBoostingRegressor-100-0.1,-0.6188
114,GradientBoostingRegressor-100-0.5,-0.7279
115,GradientBoostingRegressor-100-1.0,-1.2001
116,GradientBoostingRegressor-100-2.0,-2.5230
117,GradientBoostingRegressor-200-0.1,-0.6101
118,GradientBoostingRegressor-200-0.5,-0.7231
119,GradientBoostingRegressor-200-1.0,-1.1987
120,GradientBoostingRegressor-200-2.0,-2.5077
121,SVR-0.01-2-0.01,-1.7154
122,SVR-0.01-2-0.1,-1.7038
123,SVR-0.01-2-1,-1.6850
124,SVR-0.01-3-0.01,-1.8017
125,SVR-0.01-3-0.1,-1.8045
126,SVR-0.01-3-1,-1.6882
127,SVR-0.01-4-0.01,-2.6371
128,SVR-0.01-4-0.1,-2.5515
129,SVR-0.01-4-1,-2.0100
130,SVR-0.01-5-0.01,-19.5917
131,SVR-0.01-5-0.1,-20.5296
132,SVR-0.01-5-1,-17.1380
133,SVR-0.1-2-0.01,-1.2492
134,SVR-0.1-2-0.1,-1.2466
135,SVR-0.1-2-1,-1.3178
136,SVR-0.1-3-0.01,-1.6303
137,SVR-0.1-3-0.1,-1.6455
138,SVR-0.1-3-1,-1.6379
139,SVR-0.1-4-0.01,-11.4768
140,SVR-0.1-4-0.1,-10.6130
141,SVR-0.1-4-1,-9.8146
