,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,-0.7446
1,RandomForestRegressor-50-None-2-2,-0.7557
2,RandomForestRegressor-50-None-2-4,-0.7751
3,RandomForestRegressor-50-None-5-1,-0.7592
4,RandomForestRegressor-50-None-5-2,-0.7659
5,RandomForestRegressor-50-None-5-4,-0.7678
6,RandomForestRegressor-50-None-10-1,-0.7653
7,RandomForestRegressor-50-None-10-2,-0.7677
8,RandomForestRegressor-50-None-10-4,-0.7902
9,RandomForestRegressor-50-10-2-1,-0.7393
10,RandomForestRegressor-50-10-2-2,-0.7684
11,RandomForestRegressor-50-10-2-4,-0.7732
12,RandomForestRegressor-50-10-5-1,-0.7750
13,RandomForestRegressor-50-10-5-2,-0.7712
14,RandomForestRegressor-50-10-5-4,-0.7773
15,RandomForestRegressor-50-10-10-1,-0.7791
16,RandomForestRegressor-50-10-10-2,-0.7751
17,RandomForestRegressor-50-10-10-4,-0.7724
18,RandomForestRegressor-50-20-2-1,-0.7474
19,RandomForestRegressor-50-20-2-2,-0.7536
20,RandomForestRegressor-50-20-2-4,-0.7688
21,RandomForestRegressor-50-20-5-1,-0.7586
22,RandomForestRegressor-50-20-5-2,-0.7561
23,RandomForestRegressor-50-20-5-4,-0.7694
24,RandomForestRegressor-50-20-10-1,-0.7601
25,RandomForestRegressor-50-20-10-2,-0.7541
26,RandomForestRegressor-50-20-10-4,-0.7768
27,RandomForestRegressor-100-None-2-1,-0.7541
28,RandomForestRegressor-100-None-2-2,-0.7535
29,RandomForestRegressor-100-None-2-4,-0.7557
30,RandomForestRegressor-100-None-5-1,-0.7512
31,RandomForestRegressor-100-None-5-2,-0.7529
32,RandomForestRegressor-100-None-5-4,-0.7537
33,RandomForestRegressor-100-None-10-1,-0.7657
34,RandomForestRegressor-100-None-10-2,-0.7515
35,RandomForestRegressor-100-None-10-4,-0.7596
36,RandomForestRegressor-100-10-2-1,-0.7587
37,RandomForestRegressor-100-10-2-2,-0.7538
38,RandomForestRegressor-100-10-2-4,-0.7578
39,RandomForestRegressor-100-10-5-1,-0.7628
40,RandomForestRegressor-100-10-5-2,-0.7558
41,RandomForestRegressor-100-10-5-4,-0.7554
42,RandomForestRegressor-100-10-10-1,-0.7518
43,RandomForestRegressor-100-10-10-2,-0.7672
44,RandomForestRegressor-100-10-10-4,-0.7609
45,RandomForestRegressor-100-20-2-1,-0.7517
46,RandomForestRegressor-100-20-2-2,-0.7540
47,RandomForestRegressor-100-20-2-4,-0.7497
48,RandomForestRegressor-100-20-5-1,-0.7471
49,RandomForestRegressor-100-20-5-2,-0.7566
50,RandomForestRegressor-100-20-5-4,-0.7619
51,RandomForestRegressor-100-20-10-1,-0.7663
52,RandomForestRegressor-100-20-10-2,-0.7728
53,RandomForestRegressor-100-20-10-4,-0.7577
54,LinearRegression-0.001-l1-liblinear,-0.8406
55,"MLPRegressor-(50,)-relu-0.0001-200",-1.4421
56,"MLPRegressor-(50,)-relu-0.0001-500",-1.6075
57,"MLPRegressor-(50,)-relu-0.0001-1000",-1.3962
58,"MLPRegressor-(50,)-relu-0.001-200",-1.4091
59,"MLPRegressor-(50,)-relu-0.001-500",-1.4283
60,"MLPRegressor-(50,)-relu-0.001-1000",-1.5503
61,"MLPRegressor-(50,)-relu-0.01-200",-1.3476
62,"MLPRegressor-(50,)-relu-0.01-500",-1.4834
63,"MLPRegressor-(50,)-relu-0.01-1000",-1.6833
