,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,-0.8528
1,RandomForestRegressor-50-None-2-2,-0.8601
2,RandomForestRegressor-50-None-2-4,-0.8499
3,RandomForestRegressor-50-None-5-1,-0.8601
4,RandomForestRegressor-50-None-5-2,-0.8680
5,RandomForestRegressor-50-None-5-4,-0.8390
6,RandomForestRegressor-50-None-10-1,-0.8303
7,RandomForestRegressor-50-None-10-2,-0.8510
8,RandomForestRegressor-50-None-10-4,-0.8467
9,RandomForestRegressor-50-10-2-1,-0.8399
10,RandomForestRegressor-50-10-2-2,-0.8339
11,RandomForestRegressor-50-10-2-4,-0.8370
12,RandomForestRegressor-50-10-5-1,-0.8345
13,RandomForestRegressor-50-10-5-2,-0.8501
14,RandomForestRegressor-50-10-5-4,-0.8629
15,RandomForestRegressor-50-10-10-1,-0.8572
16,RandomForestRegressor-50-10-10-2,-0.8487
17,RandomForestRegressor-50-10-10-4,-0.8543
18,RandomForestRegressor-50-20-2-1,-0.8454
19,RandomForestRegressor-50-20-2-2,-0.8561
20,RandomForestRegressor-50-20-2-4,-0.8494
21,RandomForestRegressor-50-20-5-1,-0.8545
22,RandomForestRegressor-50-20-5-2,-0.8420
23,RandomForestRegressor-50-20-5-4,-0.8473
24,RandomForestRegressor-50-20-10-1,-0.8551
25,RandomForestRegressor-50-20-10-2,-0.8473
26,RandomForestRegressor-50-20-10-4,-0.8572
27,RandomForestRegressor-100-None-2-1,-0.8415
28,RandomForestRegressor-100-None-2-2,-0.8290
29,RandomForestRegressor-100-None-2-4,-0.8322
30,RandomForestRegressor-100-None-5-1,-0.8251
31,RandomForestRegressor-100-None-5-2,-0.8409
32,RandomForestRegressor-100-None-5-4,-0.8285
33,RandomForestRegressor-100-None-10-1,-0.8403
34,RandomForestRegressor-100-None-10-2,-0.8381
35,RandomForestRegressor-100-None-10-4,-0.8494
36,RandomForestRegressor-100-10-2-1,-0.8336
37,RandomForestRegressor-100-10-2-2,-0.8354
38,RandomForestRegressor-100-10-2-4,-0.8384
39,RandomForestRegressor-100-10-5-1,-0.8278
40,RandomForestRegressor-100-10-5-2,-0.8260
41,RandomForestRegressor-100-10-5-4,-0.8246
42,RandomForestRegressor-100-10-10-1,-0.8199
43,RandomForestRegressor-100-10-10-2,-0.8377
44,RandomForestRegressor-100-10-10-4,-0.8412
45,RandomForestRegressor-100-20-2-1,-0.8284
46,RandomForestRegressor-100-20-2-2,-0.8224
47,RandomForestRegressor-100-20-2-4,-0.8500
48,RandomForestRegressor-100-20-5-1,-0.8298
49,RandomForestRegressor-100-20-5-2,-0.8337
50,RandomForestRegressor-100-20-5-4,-0.8317
51,RandomForestRegressor-100-20-10-1,-0.8227
52,RandomForestRegressor-100-20-10-2,-0.8328
53,RandomForestRegressor-100-20-10-4,-0.8428
54,LinearRegression-0.001-l1-liblinear,-80.1432
55,"MLPRegressor-(50,)-relu-0.0001-200",-13.4711
56,"MLPRegressor-(50,)-relu-0.0001-500",-9.7697
57,"MLPRegressor-(50,)-relu-0.0001-1000",-10.0669
58,"MLPRegressor-(50,)-relu-0.001-200",-7.2476
59,"MLPRegressor-(50,)-relu-0.001-500",-11.2956
60,"MLPRegressor-(50,)-relu-0.001-1000",-13.3733
61,"MLPRegressor-(50,)-relu-0.01-200",-8.0817
62,"MLPRegressor-(50,)-relu-0.01-500",-9.5235
63,"MLPRegressor-(50,)-relu-0.01-1000",-7.8250
64,"MLPRegressor-(50,)-tanh-0.0001-200",-40.0918
65,"MLPRegressor-(50,)-tanh-0.0001-500",-36.1709
66,"MLPRegressor-(50,)-tanh-0.0001-1000",-38.6287
67,"MLPRegressor-(50,)-tanh-0.001-200",-42.2315
68,"MLPRegressor-(50,)-tanh-0.001-500",-38.7510
69,"MLPRegressor-(50,)-tanh-0.001-1000",-40.8444
70,"MLPRegressor-(50,)-tanh-0.01-200",-41.7161
71,"MLPRegressor-(50,)-tanh-0.01-500",-43.3802
72,"MLPRegressor-(50,)-tanh-0.01-1000",-36.8014
73,"MLPRegressor-(100,)-relu-0.0001-200",-11.0507
74,"MLPRegressor-(100,)-relu-0.0001-500",-11.5628
75,"MLPRegressor-(100,)-relu-0.0001-1000",-8.8423
76,"MLPRegressor-(100,)-relu-0.001-200",-11.8357
77,"MLPRegressor-(100,)-relu-0.001-500",-7.8881
78,"MLPRegressor-(100,)-relu-0.001-1000",-10.6060
79,"MLPRegressor-(100,)-relu-0.01-200",-6.8555
80,"MLPRegressor-(100,)-relu-0.01-500",-8.9156
81,"MLPRegressor-(100,)-relu-0.01-1000",-8.9820
82,"MLPRegressor-(100,)-tanh-0.0001-200",-37.7133
83,"MLPRegressor-(100,)-tanh-0.0001-500",-37.2137
84,"MLPRegressor-(100,)-tanh-0.0001-1000",-38.8853
85,"MLPRegressor-(100,)-tanh-0.001-200",-38.0760
86,"MLPRegressor-(100,)-tanh-0.001-500",-37.4208
87,"MLPRegressor-(100,)-tanh-0.001-1000",-36.4073
88,"MLPRegressor-(100,)-tanh-0.01-200",-38.6007
89,"MLPRegressor-(100,)-tanh-0.01-500",-37.8865
90,"MLPRegressor-(100,)-tanh-0.01-1000",-38.6636
91,"MLPRegressor-(50, 50)-relu-0.0001-200",-3.0427
92,"MLPRegressor-(50, 50)-relu-0.0001-500",-2.6518
93,"MLPRegressor-(50, 50)-relu-0.0001-1000",-2.6932
94,"MLPRegressor-(50, 50)-relu-0.001-200",-2.5166
95,"MLPRegressor-(50, 50)-relu-0.001-500",-2.7456
96,"MLPRegressor-(50, 50)-relu-0.001-1000",-2.5494
97,"MLPRegressor-(50, 50)-relu-0.01-200",-2.9269
98,"MLPRegressor-(50, 50)-relu-0.01-500",-3.1457
99,"MLPRegressor-(50, 50)-relu-0.01-1000",-2.5797
100,"MLPRegressor-(50, 50)-tanh-0.0001-200",-33.1629
101,"MLPRegressor-(50, 50)-tanh-0.0001-500",-32.3422
102,"MLPRegressor-(50, 50)-tanh-0.0001-1000",-30.6186
103,"MLPRegressor-(50, 50)-tanh-0.001-200",-34.0006
104,"MLPRegressor-(50, 50)-tanh-0.001-500",-32.4906
105,"MLPRegressor-(50, 50)-tanh-0.001-1000",-35.2186
106,"MLPRegressor-(50, 50)-tanh-0.01-200",-34.7341
107,"MLPRegressor-(50, 50)-tanh-0.01-500",-30.4468
108,"MLPRegressor-(50, 50)-tanh-0.01-1000",-30.5972
109,GradientBoostingRegressor-10-0.1,-1.1482
110,GradientBoostingRegressor-10-0.5,-0.9505
111,GradientBoostingRegressor-10-1.0,-1.4087
112,GradientBoostingRegressor-10-2.0,-2.9857
113,GradientBoostingRegressor-100-0.1,-0.7990
114,GradientBoostingRegressor-100-0.5,-0.9479
115,GradientBoostingRegressor-100-1.0,-1.5726
116,GradientBoostingRegressor-100-2.0,-2.7750
117,GradientBoostingRegressor-200-0.1,-0.7837
118,GradientBoostingRegressor-200-0.5,-0.9480
119,GradientBoostingRegressor-200-1.0,-1.5704
120,GradientBoostingRegressor-200-2.0,-74.9457
121,SVR-0.01-2-0.01,-1.8641
122,SVR-0.01-2-0.1,-1.8544
123,SVR-0.01-2-1,-1.7939
124,SVR-0.01-3-0.01,-1.8746
125,SVR-0.01-3-0.1,-1.8637
126,SVR-0.01-3-1,-1.8018
127,SVR-0.01-4-0.01,-1.8758
128,SVR-0.01-4-0.1,-1.8651
129,SVR-0.01-4-1,-1.8029
130,SVR-0.01-5-0.01,-1.8704
131,SVR-0.01-5-0.1,-1.8592
132,SVR-0.01-5-1,-1.8000
133,SVR-0.1-2-0.01,-1.6319
134,SVR-0.1-2-0.1,-1.6273
135,SVR-0.1-2-1,-1.6269
136,SVR-0.1-3-0.01,-1.7312
137,SVR-0.1-3-0.1,-1.7210
138,SVR-0.1-3-1,-1.6990
139,SVR-0.1-4-0.01,-1.7688
140,SVR-0.1-4-0.1,-1.7590
141,SVR-0.1-4-1,-1.7304
142,SVR-0.1-5-0.01,-1.7909
143,SVR-0.1-5-0.1,-1.7796
144,SVR-0.1-5-1,-1.7461
145,SVR-1-2-0.01,-0.9240
146,SVR-1-2-0.1,-0.9264
147,SVR-1-2-1,-1.1685
148,SVR-1-3-0.01,-1.2479
149,SVR-1-3-0.1,-1.2463
150,SVR-1-3-1,-1.3817
151,SVR-1-4-0.01,-1.4650
152,SVR-1-4-0.1,-1.4600
153,SVR-1-4-1,-1.5260
154,SVR-1-5-0.01,-1.5978
155,SVR-1-5-0.1,-1.5947
156,SVR-1-5-1,-1.6102
157,SVR-10-2-0.01,-0.7813
158,SVR-10-2-0.1,-0.7805
159,SVR-10-2-1,-1.0216
160,SVR-10-3-0.01,-0.9400
161,SVR-10-3-0.1,-0.9427
162,SVR-10-3-1,-1.1752
163,SVR-10-4-0.01,-1.1316
164,SVR-10-4-0.1,-1.1310
165,SVR-10-4-1,-1.3114
166,SVR-10-5-0.01,-1.3246
167,SVR-10-5-0.1,-1.3213
168,SVR-10-5-1,-1.4338
169,SVR-100-2-0.01,-0.7972
170,SVR-100-2-0.1,-0.7861
171,SVR-100-2-1,-0.9980
172,SVR-100-3-0.01,-0.9035
173,SVR-100-3-0.1,-0.9030
174,SVR-100-3-1,-1.1122
175,SVR-100-4-0.01,-1.0129
176,SVR-100-4-0.1,-1.0119
177,SVR-100-4-1,-1.2177
178,SVR-100-5-0.01,-1.1308
179,SVR-100-5-0.1,-1.1254
180,SVR-100-5-1,-1.3009
181,SVR-1000-2-0.01,-0.8058
182,SVR-1000-2-0.1,-0.7941
183,SVR-1000-2-1,-0.9980
184,SVR-1000-3-0.01,-0.8846
185,SVR-1000-3-0.1,-0.8868
186,SVR-1000-3-1,-1.1190
187,SVR-1000-4-0.01,-1.0021
188,SVR-1000-4-0.1,-0.9976
189,SVR-1000-4-1,-1.1969
190,SVR-1000-5-0.01,-1.1114
191,SVR-1000-5-0.1,-1.1088
192,SVR-1000-5-1,-1.2490
