,Classifier,Accuracy
0,SVR-0.01-2,-1.7038
1,SVR-0.01-3,-1.8045
2,SVR-0.01-4,-2.5515
3,SVR-0.01-5,-20.5296
4,SVR-0.1-2,-1.2466
5,SVR-0.1-3,-1.6455
6,SVR-0.1-4,-10.6130
7,SVR-0.1-5,-48.9506
8,SVR-1-2,-0.9552
9,SVR-1-3,-1.6164
10,SVR-1-4,-25.4547
11,SVR-1-5,-16.4434
12,SVR-10-2,-1.4629
13,SVR-10-3,-2.1094
14,SVR-10-4,-7.3191
15,SVR-10-5,-161.6741
16,SVR-100-2,-1.6870
17,SVR-100-3,-1.9429
18,SVR-100-4,-2.9383
19,SVR-100-5,-410.5389
20,SVR-1000-2,-1.6697
21,SVR-1000-3,-1.9870
22,SVR-1000-4,-2.9572
23,SVR-1000-5,-468.3448
