,Classifier,Accuracy
0,SVR-0.01-2,-1.6907
1,SVR-0.01-3,-1.7812
2,SVR-0.01-4,-2.9892
3,SVR-0.01-5,-13.3042
4,SVR-0.1-2,-1.2630
5,SVR-0.1-3,-1.4661
6,SVR-0.1-4,-14.3375
7,SVR-0.1-5,-21.1224
8,SVR-1-2,-1.1799
9,SVR-1-3,-1.3294
10,SVR-1-4,-34.3333
11,SVR-1-5,-19.5687
12,SVR-10-2,-2.3979
13,SVR-10-3,-1.5834
14,SVR-10-4,-2.6234
15,SVR-10-5,-1657.4749
16,SVR-100-2,-2.9643
17,SVR-100-3,-11.5547
18,SVR-100-4,-150.4415
19,SVR-100-5,-4121.0386
20,SVR-1000-2,-4.3891
21,SVR-1000-3,-14.9259
22,SVR-1000-4,-211.4917
23,SVR-1000-5,-5813.3302
