,Classifier,Accuracy
0,SVR-0.01-2,-1.8576
1,SVR-0.01-3,-1.8673
2,SVR-0.01-4,-1.8683
3,SVR-0.01-5,-1.8663
4,SVR-0.1-2,-1.6518
5,SVR-0.1-3,-1.7431
6,SVR-0.1-4,-1.7784
7,SVR-0.1-5,-1.7986
8,SVR-1-2,-0.9566
9,SVR-1-3,-1.2958
10,SVR-1-4,-1.5084
11,SVR-1-5,-1.6359
12,SVR-10-2,-0.7820
13,SVR-10-3,-0.9680
14,SVR-10-4,-1.1785
15,SVR-10-5,-1.3814
16,SVR-100-2,-0.7636
17,SVR-100-3,-0.9211
18,SVR-100-4,-1.0534
19,SVR-100-5,-1.1801
20,SVR-1000-2,-0.7629
21,SVR-1000-3,-0.8945
22,SVR-1000-4,-1.0210
23,SVR-1000-5,-1.1419
