,Classifier,Accuracy
0,SVR-0.01-2,-1.8544
1,SVR-0.01-3,-1.8637
2,SVR-0.01-4,-1.8651
3,SVR-0.01-5,-1.8592
4,SVR-0.1-2,-1.6273
5,SVR-0.1-3,-1.7210
6,SVR-0.1-4,-1.7590
7,SVR-0.1-5,-1.7796
8,SVR-1-2,-0.9264
9,SVR-1-3,-1.2463
10,SVR-1-4,-1.4600
11,SVR-1-5,-1.5947
12,SVR-10-2,-0.7805
13,SVR-10-3,-0.9427
14,SVR-10-4,-1.1310
15,SVR-10-5,-1.3213
16,SVR-100-2,-0.7861
17,SVR-100-3,-0.9030
18,SVR-100-4,-1.0119
19,SVR-100-5,-1.1254
20,SVR-1000-2,-0.7941
21,SVR-1000-3,-0.8868
22,SVR-1000-4,-0.9976
23,SVR-1000-5,-1.1088
