,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.8111
1,RandomForestClassifier-50-None-2-2,0.8170
2,RandomForestClassifier-50-None-2-4,0.8111
3,RandomForestClassifier-50-None-5-1,0.8124
4,RandomForestClassifier-50-None-5-2,0.8150
5,RandomForestClassifier-50-None-5-4,0.8097
6,RandomForestClassifier-50-None-10-1,0.8150
7,RandomForestClassifier-50-None-10-2,0.8051
8,RandomForestClassifier-50-None-10-4,0.8104
9,RandomForestClassifier-50-10-2-1,0.8150
10,RandomForestClassifier-50-10-2-2,0.8098
11,RandomForestClassifier-50-10-2-4,0.8157
12,RandomForestClassifier-50-10-5-1,0.8150
13,RandomForestClassifier-50-10-5-2,0.8150
14,RandomForestClassifier-50-10-5-4,0.8124
15,RandomForestClassifier-50-10-10-1,0.8097
16,RandomForestClassifier-50-10-10-2,0.8111
17,RandomForestClassifier-50-10-10-4,0.8137
18,RandomForestClassifier-50-20-2-1,0.8170
19,RandomForestClassifier-50-20-2-2,0.8170
20,RandomForestClassifier-50-20-2-4,0.8018
21,RandomForestClassifier-50-20-5-1,0.8130
22,RandomForestClassifier-50-20-5-2,0.8117
23,RandomForestClassifier-50-20-5-4,0.8150
24,RandomForestClassifier-50-20-10-1,0.8124
25,RandomForestClassifier-50-20-10-2,0.8163
26,RandomForestClassifier-50-20-10-4,0.8150
27,RandomForestClassifier-100-None-2-1,0.8150
28,RandomForestClassifier-100-None-2-2,0.8150
29,RandomForestClassifier-100-None-2-4,0.8150
30,RandomForestClassifier-100-None-5-1,0.8190
31,RandomForestClassifier-100-None-5-2,0.8190
32,RandomForestClassifier-100-None-5-4,0.8130
33,RandomForestClassifier-100-None-10-1,0.8144
34,RandomForestClassifier-100-None-10-2,0.8196
35,RandomForestClassifier-100-None-10-4,0.8091
36,RandomForestClassifier-100-10-2-1,0.8170
37,RandomForestClassifier-100-10-2-2,0.8104
38,RandomForestClassifier-100-10-2-4,0.8196
39,RandomForestClassifier-100-10-5-1,0.8150
40,RandomForestClassifier-100-10-5-2,0.8111
41,RandomForestClassifier-100-10-5-4,0.8104
42,RandomForestClassifier-100-10-10-1,0.8176
43,RandomForestClassifier-100-10-10-2,0.8183
44,RandomForestClassifier-100-10-10-4,0.8150
45,RandomForestClassifier-100-20-2-1,0.8176
46,RandomForestClassifier-100-20-2-2,0.8124
47,RandomForestClassifier-100-20-2-4,0.8157
48,RandomForestClassifier-100-20-5-1,0.8203
49,RandomForestClassifier-100-20-5-2,0.8177
50,RandomForestClassifier-100-20-5-4,0.8150
51,RandomForestClassifier-100-20-10-1,0.8150
52,RandomForestClassifier-100-20-10-2,0.8209
53,RandomForestClassifier-100-20-10-4,0.8137
54,RandomForestClassifier-200-None-2-1,0.8236
55,RandomForestClassifier-200-None-2-2,0.8216
56,RandomForestClassifier-200-None-2-4,0.8209
57,RandomForestClassifier-200-None-5-1,0.8170
58,RandomForestClassifier-200-None-5-2,0.8170
59,RandomForestClassifier-200-None-5-4,0.8144
60,RandomForestClassifier-200-None-10-1,0.8143
61,RandomForestClassifier-200-None-10-2,0.8216
62,RandomForestClassifier-200-None-10-4,0.8124
63,RandomForestClassifier-200-10-2-1,0.8216
64,RandomForestClassifier-200-10-2-2,0.8190
65,RandomForestClassifier-200-10-2-4,0.8144
66,RandomForestClassifier-200-10-5-1,0.8150
67,RandomForestClassifier-200-10-5-2,0.8216
68,RandomForestClassifier-200-10-5-4,0.8163
69,RandomForestClassifier-200-10-10-1,0.8196
70,RandomForestClassifier-200-10-10-2,0.8229
71,RandomForestClassifier-200-10-10-4,0.8176
72,RandomForestClassifier-200-20-2-1,0.8183
73,RandomForestClassifier-200-20-2-2,0.8183
74,RandomForestClassifier-200-20-2-4,0.8130
75,RandomForestClassifier-200-20-5-1,0.8216
76,RandomForestClassifier-200-20-5-2,0.8170
77,RandomForestClassifier-200-20-5-4,0.8176
78,RandomForestClassifier-200-20-10-1,0.8157
79,RandomForestClassifier-200-20-10-2,0.8223
80,RandomForestClassifier-200-20-10-4,0.8144
81,LogisticRegression-0.001-l1-liblinear,0.5609
82,LogisticRegression-0.001-l1-saga,0.5609
83,LogisticRegression-0.001-l2-liblinear,0.8012
84,LogisticRegression-0.001-l2-saga,0.7992
85,LogisticRegression-0.01-l1-liblinear,0.7301
86,LogisticRegression-0.01-l1-saga,0.7215
87,LogisticRegression-0.01-l2-liblinear,0.8157
88,LogisticRegression-0.01-l2-saga,0.8150
89,LogisticRegression-0.1-l1-liblinear,0.8058
90,LogisticRegression-0.1-l1-saga,0.8018
91,LogisticRegression-0.1-l2-liblinear,0.8091
92,LogisticRegression-0.1-l2-saga,0.8124
93,LogisticRegression-1-l1-liblinear,0.8078
94,LogisticRegression-1-l1-saga,0.8097
95,LogisticRegression-1-l2-liblinear,0.7953
96,LogisticRegression-1-l2-saga,0.8111
97,LogisticRegression-10-l1-liblinear,0.7578
98,LogisticRegression-10-l1-saga,0.8117
99,LogisticRegression-10-l2-liblinear,0.7617
100,LogisticRegression-10-l2-saga,0.8104
101,LogisticRegression-100-l1-liblinear,0.7373
102,LogisticRegression-100-l1-saga,0.8104
103,LogisticRegression-100-l2-liblinear,0.7380
104,LogisticRegression-100-l2-saga,0.8097
105,"MLPClassifier-(50,)-relu-0.0001-200",0.7959
106,"MLPClassifier-(50,)-relu-0.0001-500",0.8058
107,"MLPClassifier-(50,)-relu-0.0001-1000",0.8005
108,"MLPClassifier-(50,)-relu-0.001-200",0.8084
109,"MLPClassifier-(50,)-relu-0.001-500",0.8051
110,"MLPClassifier-(50,)-relu-0.001-1000",0.7992
111,"MLPClassifier-(50,)-relu-0.01-200",0.8012
112,"MLPClassifier-(50,)-relu-0.01-500",0.8005
113,"MLPClassifier-(50,)-relu-0.01-1000",0.7999
114,"MLPClassifier-(50,)-tanh-0.0001-200",0.8097
115,"MLPClassifier-(50,)-tanh-0.0001-500",0.8091
116,"MLPClassifier-(50,)-tanh-0.0001-1000",0.8058
117,"MLPClassifier-(50,)-tanh-0.001-200",0.8124
118,"MLPClassifier-(50,)-tanh-0.001-500",0.8150
119,"MLPClassifier-(50,)-tanh-0.001-1000",0.8091
120,"MLPClassifier-(50,)-tanh-0.01-200",0.8150
121,"MLPClassifier-(50,)-tanh-0.01-500",0.8038
122,"MLPClassifier-(50,)-tanh-0.01-1000",0.8071
123,"MLPClassifier-(100,)-relu-0.0001-200",0.7959
124,"MLPClassifier-(100,)-relu-0.0001-500",0.7847
125,"MLPClassifier-(100,)-relu-0.0001-1000",0.7874
126,"MLPClassifier-(100,)-relu-0.001-200",0.8065
127,"MLPClassifier-(100,)-relu-0.001-500",0.8117
128,"MLPClassifier-(100,)-relu-0.001-1000",0.8091
129,"MLPClassifier-(100,)-relu-0.01-200",0.7985
130,"MLPClassifier-(100,)-relu-0.01-500",0.7992
131,"MLPClassifier-(100,)-relu-0.01-1000",0.7966
132,"MLPClassifier-(100,)-tanh-0.0001-200",0.8163
133,"MLPClassifier-(100,)-tanh-0.0001-500",0.8117
134,"MLPClassifier-(100,)-tanh-0.0001-1000",0.8064
135,"MLPClassifier-(100,)-tanh-0.001-200",0.8130
136,"MLPClassifier-(100,)-tanh-0.001-500",0.8064
137,"MLPClassifier-(100,)-tanh-0.001-1000",0.8163
138,"MLPClassifier-(100,)-tanh-0.01-200",0.8091
139,"MLPClassifier-(100,)-tanh-0.01-500",0.8183
140,"MLPClassifier-(100,)-tanh-0.01-1000",0.8064
